jonasschnelli,2017-07-13T07:27:48Z,utACK dcc0e0f2c93888f904001703a7ef6be11f61a9e4,https://github.com/bitcoin/bitcoin/pull/10735#issuecomment-314995532,314995532,
paveljanik,2017-07-13T08:36:57Z,"OS X, Apple LLVM version 7.0.2:\n```\n  CXX      bench/bench_bench_bitcoin-verify_script.o\nbench/verify_script.cpp:58:48: error: implicit instantiation of undefined template 'std::__1::array<unsigned char, 32>'\n    static const std::array<unsigned char, 32> vchKey = {\n                                               ^\n/Applications/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoo",https://github.com/bitcoin/bitcoin/pull/10735#issuecomment-315011180,315011180,
practicalswift,2017-07-15T12:27:34Z,@paveljanik Missing `#include <array>` added. Thanks for reviewing! :-),https://github.com/bitcoin/bitcoin/pull/10735#issuecomment-315530846,315530846,
paveljanik,2017-07-15T13:05:36Z,utACK https://github.com/bitcoin/bitcoin/pull/10735/commits/6835cb0ab26c913423cc2307c989579d05aabdcb,https://github.com/bitcoin/bitcoin/pull/10735#issuecomment-315532837,315532837,
sipa,2017-07-15T18:02:56Z,utACK 6835cb0ab26c913423cc2307c989579d05aabdcb,https://github.com/bitcoin/bitcoin/pull/10735#issuecomment-315551566,315551566,
TheBlueMatt,2017-07-16T15:19:59Z,utACK 6835cb0ab26c913423cc2307c989579d05aabdcb,https://github.com/bitcoin/bitcoin/pull/10735#issuecomment-315616142,315616142,
sipa,2017-07-03T15:56:12Z,"While you're at it, make these `static const` ?",https://github.com/bitcoin/bitcoin/pull/10735#discussion_r125320386,125320386,src/bench/base58.cpp
practicalswift,2017-07-03T20:10:12Z,@sipa Good point! Fixed! :-),https://github.com/bitcoin/bitcoin/pull/10735#discussion_r125351786,125351786,src/bench/base58.cpp
TheBlueMatt,2017-07-14T19:18:06Z,"tiny nit: I might prefer this if it kept the benchmarked-against data on stack instead of heap, but it doesnt matter much.\n",https://github.com/bitcoin/bitcoin/pull/10735#discussion_r127530159,127530159,src/bench/base58.cpp
sipa,2017-07-14T19:20:06Z,std::array stores on the stack,https://github.com/bitcoin/bitcoin/pull/10735#discussion_r127530528,127530528,src/bench/base58.cpp
TheBlueMatt,2017-07-14T22:48:18Z,"static implies not-on-stack, no?",https://github.com/bitcoin/bitcoin/pull/10735#discussion_r127563362,127563362,src/bench/base58.cpp
sipa,2017-07-15T01:41:39Z,"@TheBlueMatt static const is just statically allocated by the binary, not even on the heap.",https://github.com/bitcoin/bitcoin/pull/10735#discussion_r127573325,127573325,src/bench/base58.cpp
TheBlueMatt,2017-07-15T01:57:27Z,"Yes, indeed, my point was to prefer stack over binary or other allocations. It shouldnt matter cause the memory usage of these benchmarks should be trivial, so whatever, it doesnt matter.",https://github.com/bitcoin/bitcoin/pull/10735#discussion_r127573727,127573727,src/bench/base58.cpp
