sipa,2012-04-10T20:22:42Z,"Wow, nice!\n\nSmall request: make responses copy-pastable.\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5055310,5055310,
laanwj,2012-04-10T20:31:49Z,"They are (though not really intuitively), you can click on the table cell\nand press ctrl-c\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5055498,5055498,
Diapolo,2012-04-10T20:48:02Z,"I really like the idea, but would place the function under help and add a seperator line. It simply is no setting or option :). Is there a way export to a text file? Would be consistent to offer such a function, as this is possible ""all over the GUI"".\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5055876,5055876,
laanwj,2012-04-10T20:59:37Z,"It's not help either, nor file. We really need a ""tools"" menu like other\nprograms. Maybe the settings menu could be renamed ""tools"", then it makes\nmore sense.\n\nExporting the console contents to a file could be useful. I'll keep that in\nmind for a future update.\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5056139,5056139,
Diapolo,2012-04-10T21:04:47Z,"Sign message would be a tool, too then ;). So why not create a new tools point, which holds your console and the sign message dialog?\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5056231,5056231,
laanwj,2012-04-11T06:17:24Z,"Rebased, added build date to info window\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5062806,5062806,
laanwj,2012-04-11T17:08:09Z,"New commit moved the option to the ""Help"" menu (until we have something better) and adds explicit ""Copy"" context menu to console.\n",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5073704,5073704,
gavinandresen,2012-04-11T17:20:08Z,Nifty.  Tagged for 0.7.\n,https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5073945,5073945,
laanwj,2012-04-22T08:58:53Z,"Rebased, I've been able to structure the code better because of the recent RPC refactorings:\n- Added a execute() method to CRPCTable.\n- Factored out function RPCConvertValues() to convert parameter values for RPC call from list of strings to command-specific JSON objects.\n- LocalRPC is completely gone (and with it, most changes to the core), no more code additions to bitcoinrpc.cpp. This is now",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5266463,5266463,
gmaxwell,2012-05-05T22:48:25Z,"Pretty awesome.     Should this go under a tools menu or should it really be burried under help->debug window->console tab?\n\nDoes everyone else really like the nested scrollbars you get?  (type help a couple times)  I'm concerned that this might confuse users that I'm trying to support  ""scroll down and you'll see it"" ""I'm scrolled all the way down!"". It's also a bit annoying if you're running a",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5531153,5531153,
laanwj,2012-05-06T05:54:10Z,"- Eventually it makes sense to add a tools menu where Sign message and verify message should also go. However, it's hidden in the second tab for a good reason. Users should not stumble too easy on it so it's now a second tab of a dangerous-looking window.\n- I don't like the nested scrollbars either. However, the Qt QTableWidget doesn't like rows that are too tall (they break scrolling, as the y o",https://github.com/bitcoin/bitcoin/pull/1075#issuecomment-5533417,5533417,
