promag,2017-07-31T14:50:45Z,utACK 6ab2ce8.,https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-319090491,319090491,
jonasschnelli,2017-08-03T09:52:55Z,"This seems to be an over-cosmetic change... not sure if its worth.\nutACK 6ab2ce83d9268fc81ac3bec41365ce2d2adfd349",https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-319923686,319923686,
practicalswift,2017-08-24T07:23:55Z,@laanwj @MeshCollider @sipa Thanks for reviewing! Changed to `&vchRet[vchRet.size() - 4]`. Looks good? :-),https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-324555394,324555394,
meshcollider,2017-08-24T08:24:57Z,"Just confirmed this should be identical behavior, ACK https://github.com/bitcoin/bitcoin/pull/10961/commits/c6a995e7e5e6ae37dc1684f6060038e96864e947",https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-324568517,324568517,
practicalswift,2017-08-25T07:49:11Z,"Travis have completed without errors, but GitHub still reports ""1 pending check"". ",https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-324848742,324848742,
practicalswift,2017-08-28T20:26:42Z,Seems like Travis CI is stuck. Anyone able to re-start Travis? :-),https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-325470861,325470861,
sipa,2017-08-29T18:12:06Z,utACK c6a995e7e5e6ae37dc1684f6060038e96864e947,https://github.com/bitcoin/bitcoin/pull/10961#issuecomment-325748347,325748347,
laanwj,2017-08-23T10:05:43Z,I guess there's some reason `vchRet.end() - 4` doesn't work (pointer versus iterator conflict or something like that)?,https://github.com/bitcoin/bitcoin/pull/10961#discussion_r134709635,134709635,src/base58.cpp
meshcollider,2017-08-23T20:20:28Z,"Yeah `vchRet.end()-4` would still be an iterator I believe, so you'd have to do some ugly thing like `&*(vchRet.end()-4)` to make it into a pointer iirc?",https://github.com/bitcoin/bitcoin/pull/10961#discussion_r134859783,134859783,src/base58.cpp
sipa,2017-08-23T22:59:15Z,How about `&vchRet[vchRet.size() - 4]` ?,https://github.com/bitcoin/bitcoin/pull/10961#discussion_r134891847,134891847,src/base58.cpp
meshcollider,2017-08-24T00:56:45Z,"Believe that would work, and yeah that's a lot clearer imo 👍 ",https://github.com/bitcoin/bitcoin/pull/10961#discussion_r134905770,134905770,src/base58.cpp
