practicalswift,2017-10-25T21:19:31Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339475012,339475012,
MarcoFalke,2017-10-25T22:33:02Z,Concept ACK. This is what the google bench does.,https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339494427,339494427,
fanquake,2017-10-26T00:23:01Z,"master https://github.com/bitcoin/bitcoin/commit/57ee73990f1ce29916adfd99f93eae1ccea1a43b\n```\nsrc/bench/bench_bitcoin\n#Benchmark,count,min,max,average,min_cycles,max_cycles,average_cycles\nBase58CheckEncode,294912,0.000003700712114,0.000003791210474,0.000003750498258,12553,12860,12723\nBase58Decode,1048576,0.000000986561645,0.000001043212251,0.000001009610287,3346,3542,3425\nBase58Encode,",https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339513040,339513040,
laanwj,2017-10-26T14:52:18Z,Does this also use a monotonic clock? That's another issue with using plain gettimeofday for benchmarks.,https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339692066,339692066,
theuni,2017-10-26T16:38:45Z,"@laanwj Yes, if the resolution is no worse than the high precision clock. See the last commit: https://github.com/bitcoin/bitcoin/pull/11562/commits/e2dc48c3e5f70c75b762be656e0c9419b2b0208f",https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339725632,339725632,
laanwj,2017-10-26T19:00:44Z,"> @laanwj Yes, if the resolution is no worse than the high precision clock. See the last commit: e2dc48c\n\nNice! concept ACK",https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339766054,339766054,
martinus,2017-10-27T07:28:14Z,I've also switched to std::chrono in https://github.com/bitcoin/bitcoin/pull/11517,https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-339895035,339895035,
laanwj,2017-11-06T10:23:53Z,utACK apart from output format nits.,https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-342106514,342106514,
theuni,2017-11-07T22:20:58Z,"Fixed up formatting as @laanwj suggested. I just dropped the commit which added the clock precision display, as there's no obvious (to me) way to show it without breaking csv.",https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-342642906,342642906,
MarcoFalke,2017-11-09T15:53:40Z,"post merge utACK 24a0bddf4ae13d8f1fa0436a547de67dcf6d4f2a\n\nLooks like a clear improvement.",https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-343198117,343198117,
TheBlueMatt,2017-11-09T16:50:17Z,Postumous utACK 24a0bddf4ae13d8f1fa0436a547de67dcf6d4f2a modulo changes in #11646.,https://github.com/bitcoin/bitcoin/pull/11562#issuecomment-343217270,343217270,
laanwj,2017-11-06T10:21:38Z,"Please use a `,`, to separate here, instead of a dot, otherwise programs will get confused re: CSV parsing.",https://github.com/bitcoin/bitcoin/pull/11562#discussion_r149040350,149040350,src/bench/bench.cpp
laanwj,2017-11-06T10:23:09Z,"Please put the unit id in the row header, not in the data. Adding it to every record complicates parsing (for example, spreadsheets won't see it as number anymore, and will not be able to compute with it or plot it).",https://github.com/bitcoin/bitcoin/pull/11562#discussion_r149040666,149040666,src/bench/bench.cpp
