jgarzik,2012-05-01T22:05:01Z,"NAK for ""Grammer"", ACK for ""fixed non-sensical error message""\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5449255,5449255,
petertodd,2012-05-01T23:02:36Z,"Sure, I'll delete ""grammer"" if that's the consensus.\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5450320,5450320,
sipa,2012-05-02T00:44:04Z,"Not sure whether it's intentional or not, but it's called ""grammar"" in English.\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5451737,5451737,
petertodd,2012-05-02T01:12:26Z,"I need to follow this up for the pull request ""Me and my buddies fixed them spelling.""\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5452074,5452074,
Diapolo,2012-05-03T12:58:25Z,"NACK, as he included an already merged commit.\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5486865,5486865,
sipa,2012-05-03T13:01:36Z,"Oh, thanks for noticing.\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5486926,5486926,
Diapolo,2012-05-03T15:22:55Z,"@retep You have to rebase to current master, so that only your commit goes into this pull-req.\ne.g. rebase origin upstream\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5490156,5490156,
petertodd,2012-05-04T04:42:53Z,"@Diapolo Thanks. I think I fixed it.\n\nSorry, this is the first time I've used github pull requests before.\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5504159,5504159,
Diapolo,2012-05-04T04:47:10Z,"Looks good now :) and I had a hard time learning Git, too ... don't worry.\n",https://github.com/bitcoin/bitcoin/pull/1160#issuecomment-5504193,5504193,
sipa,2012-04-28T22:36:11Z,"""must require"" sounds strange\n",https://github.com/bitcoin/bitcoin/pull/1160#discussion_r748590,748590,src/bitcoinrpc.cpp
petertodd,2012-04-28T23:00:39Z,See my update below for a better version. Also a small grammer fix.\n,https://github.com/bitcoin/bitcoin/pull/1160#discussion_r748603,748603,src/bitcoinrpc.cpp
Diapolo,2012-04-29T22:15:39Z,"Should read ""Add a n-required..."", as ""an"" goes before words that begin with vowels. Perhaps the devs intended to use the spelling ""nrequired""?\n",https://github.com/bitcoin/bitcoin/pull/1160#discussion_r749258,749258,src/bitcoinrpc.cpp
petertodd,2012-04-29T22:51:33Z,"Ha, yeah you're right. Elementary school was  a long time ago...\n\nThe term nrequired is always capitalized as nRequired elsewhere in the code, so I think it's meant to read as two words.\n",https://github.com/bitcoin/bitcoin/pull/1160#discussion_r749276,749276,src/bitcoinrpc.cpp
sipa,2012-04-30T01:38:18Z,n is just the prefix given to variable names that hold numbers\n,https://github.com/bitcoin/bitcoin/pull/1160#discussion_r749411,749411,src/bitcoinrpc.cpp
petertodd,2012-04-30T02:06:42Z,"Ahh, Hungarian.\n\nSince it's user facing though, I'd still use the english writing convention of n-required for the rpc docs.\n",https://github.com/bitcoin/bitcoin/pull/1160#discussion_r749431,749431,src/bitcoinrpc.cpp
