fanquake,2017-11-20T23:26:19Z,e874478a42eded1c5952fc0407f04279dd4837c1 forgot to add `node_network_limited.py` to test_runner.py.,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-345865506,345865506,
jonasschnelli,2017-11-20T23:28:40Z,@fanquake! Thanks. Done.,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-345865947,345865947,
laanwj,2017-11-29T11:10:20Z,utACK af05b92,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-347828327,347828327,
theuni,2017-11-30T18:50:50Z,utACK af05b92591b72c34f8fa04a0917b3c1225e2417c,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-348283864,348283864,
jonasschnelli,2017-12-05T21:21:32Z,"Fixed points reported by @TheBlueMatt.\nHad to rebase and therefor amend changed the fixes.\nThe only code change is the [two blocks buffer extension](https://github.com/bitcoin/bitcoin/pull/11740/files#diff-eff7adeaec73a769788bb78858815c91R1096) for possible race conditions.",https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-349445390,349445390,
jonasschnelli,2017-12-07T07:14:23Z,Improved the disconnect test (amend commit).,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-349882952,349882952,
TheBlueMatt,2017-12-08T15:54:27Z,utACK de74c625833bba8d8171a2d0dd6ede2e9d5da88b,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-350297843,350297843,
jonasschnelli,2017-12-08T21:10:05Z,"@laanwj, @gmaxwell: mind to re-ack?",https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-350372513,350372513,
laanwj,2017-12-09T07:38:22Z,utACK de74c62,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-350430470,350430470,
jnewbery,2017-12-11T18:42:23Z,"test is racy:\n\n```\nnode_network_limited.py failed, Duration: 61 s\n\nstdout:\n2017-12-11 18:39:35.906000 TestFramework (INFO): Initializing test directory /tmp/user/1000/bitcoin_test_runner_20171211_183839/node_network_limited_227\n2017-12-11 18:39:36.171000 TestFramework.mininode (INFO): Connecting to Bitcoin Node: 127.0.0.1:12816\n2017-12-11 18:39:36.498000 TestFramework.mininode (INF",https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-350817586,350817586,
jonasschnelli,2017-12-11T18:43:37Z,Thanks @jnewbery!,https://github.com/bitcoin/bitcoin/pull/11740#issuecomment-350817973,350817973,
TheBlueMatt,2017-12-04T15:49:56Z,"This needs a buffer beyond NODE_NETWORK_LIMITED_MIN_BLOCK. Because it gets a disconnect, one or two blocks should suffice.",https://github.com/bitcoin/bitcoin/pull/11740#discussion_r154686982,154686982,src/net_processing.cpp
TheBlueMatt,2017-12-04T15:50:31Z,Can you fill out this comment a bit more? Something about how we could otherwise stall a node if we were just finishing IBD and announced blocks to our peers which they wanted?,https://github.com/bitcoin/bitcoin/pull/11740#discussion_r154687171,154687171,src/net_processing.cpp
TheBlueMatt,2017-12-04T15:53:30Z,"Can you move this into the try block? This checks that the node disconnected us, we didn't just timeout in the fail case.",https://github.com/bitcoin/bitcoin/pull/11740#discussion_r154688098,154688098,test/functional/node_network_limited.py
TheBlueMatt,2017-12-06T21:51:58Z,"It seems we never check anything if we got disconnected, I guess this check needs to move to after the except?",https://github.com/bitcoin/bitcoin/pull/11740#discussion_r155372284,155372284,test/functional/node_network_limited.py
