TheBlueMatt,2017-12-02T03:22:12Z,Prefer #11604.,https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-348664303,348664303,
practicalswift,2017-12-03T12:52:12Z,@TheBlueMatt But #11604 doesn't touch `FindNode(…)` from what I can see? :-),https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-348764404,348764404,
practicalswift,2018-02-04T13:44:31Z,Rebased!,https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-362907863,362907863,
practicalswift,2018-02-08T09:07:10Z,Rebased!,https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-364047075,364047075,
practicalswift,2018-03-20T12:19:54Z,@TheBlueMatt Could you explain how #11604 overlaps with the `FindNode(…)` work in this PR? :-),https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-374577464,374577464,
practicalswift,2018-07-11T23:35:32Z,Friendly ping @TheBlueMatt :-),https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-404342929,404342929,
DrahtBot,2018-07-21T17:29:33Z,"<!--5d09a71f8925f3f132321140b44b946d-->The last travis run for this pull request was 131 days ago and is thus outdated. To trigger a fresh travis build, this pull request should be closed and re-opened.",https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-406811447,406811447,
sipa,2018-07-21T21:19:12Z,"Opinion, @theuni?",https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-406824157,406824157,
theuni,2018-07-24T20:33:25Z,"I think it's really confusing to require the lock for some functions, and forbid it for others.\n\nIt's also kinda a step in the wrong direction... ideally cs_vNodes wouldn't be held while using a Node*. Instead, it should just have its refcount increased for the duration of its use.",https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-407542523,407542523,
promag,2018-07-24T20:39:10Z,"@theuni that's how it's done with wallets:\n```cpp\nstatic CCriticalSection cs_wallets;\nstatic std::vector<std::shared_ptr<CWallet>> vpwallets GUARDED_BY(cs_wallets);\n```\nWhere `cs_wallets` is locked when accessing/modifying `vpwallets`, not while a wallet is used.",https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-407544238,407544238,
practicalswift,2018-08-01T08:42:43Z,@sipa @theuni @promag Thanks for your input! Closing this PR due to lack of consensus ACK :-),https://github.com/bitcoin/bitcoin/pull/11795#issuecomment-409498866,409498866,
