jtimon,2017-12-15T00:20:39Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-351876406,351876406,
ryanofsky,2017-12-15T02:43:31Z,Suggest moving LockWalletDirectory to wallet/db.cpp and calling it from CDBEnv::Open instead of VerifyWallets. That way this will be compatible with #11687. Also would suggest renaming LockWalletDirectory to LockEnvDirectory to be a little more consistent with terminology used in that file (even though the file isn't totally consistent right now).,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-351897871,351897871,
meshcollider,2017-12-16T19:14:49Z,"@ryanofsky something like this? I had to probe the lock before calling open because of the weird database log backup thing when open fails, perhaps there is a cleaner way to do it e.g. returning different errors from open rather than just true/false. But I think this is ok",https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-352204896,352204896,
meshcollider,2017-12-17T07:42:48Z,Removed the probing with a bit of a rework,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-352237886,352237886,
promag,2017-12-21T15:23:26Z,Tested ACK. Needs squash.,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-353377831,353377831,
meshcollider,2017-12-23T23:46:40Z,"Squashed and added a commit to modify the error message as suggested.\n\nNote travis failure on second commit is just because the last three tests were cancelled due to third commit being pushed before they started",https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-353754724,353754724,
sipa,2017-12-26T07:06:10Z,utACK 005d4cdef7a7a9f98cf202db7542a7fd01e048b8,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-353929270,353929270,
meshcollider,2017-12-26T07:53:43Z,Thanks for the feedback @sipa ,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-353934275,353934275,
laanwj,2018-01-15T11:48:07Z,"utACK, needs rebase",https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-357660855,357660855,
meshcollider,2018-01-16T06:06:14Z,Rebased,https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-357862498,357862498,
laanwj,2018-01-16T10:11:24Z,"Tested ACK 2f3bd47\n```\n2018-01-16 10:09:49 Cannot obtain a lock on wallet directory /tmp/wallet1. Another instance of bitcoin may be using it.\n```\n",https://github.com/bitcoin/bitcoin/pull/11904#issuecomment-357913481,357913481,
