meshcollider,2018-01-20T04:23:39Z,utACK https://github.com/bitcoin/bitcoin/commit/16a8389bb14a892c204efe0d39580b4c1458e098,https://github.com/bitcoin/bitcoin/pull/12225#issuecomment-359144267,359144267,
sdaftuar,2018-01-22T17:03:00Z,"@promag After further investigation, it looks like FlushUnconfirmed() doesn't need the mempool at all, so I re-wrote it a bit.",https://github.com/bitcoin/bitcoin/pull/12225#issuecomment-359493121,359493121,
sdaftuar,2018-01-25T23:24:38Z,Squashed [12225.1](https://github.com/sdaftuar/bitcoin/commits/12225.1) -> 669c943,https://github.com/bitcoin/bitcoin/pull/12225#issuecomment-360634570,360634570,
promag,2018-02-03T14:48:05Z,utACK 669c943.,https://github.com/bitcoin/bitcoin/pull/12225#issuecomment-362816749,362816749,
laanwj,2018-02-08T21:10:26Z,utACK 669c943,https://github.com/bitcoin/bitcoin/pull/12225#issuecomment-364249295,364249295,
promag,2018-01-20T15:58:26Z,Remove?,https://github.com/bitcoin/bitcoin/pull/12225#discussion_r162785977,162785977,src/policy/fees.cpp
promag,2018-01-20T16:00:08Z,"Nit, can early exit loop if `mapMemPoolTxs` is empty.",https://github.com/bitcoin/bitcoin/pull/12225#discussion_r162786011,162786011,src/policy/fees.cpp
promag,2018-01-20T16:03:27Z,"`txids` is empty, update logging.",https://github.com/bitcoin/bitcoin/pull/12225#discussion_r162786072,162786072,src/policy/fees.cpp
promag,2018-01-22T20:56:56Z,"IMO decreasing one by one is avoidable when the end result is to be empty. Prefer something like?\n```cpp\nLOCK(cs_feeEstimator);\nsize_t num_entries = mapMemPoolTxs.size();\nfor (const auto& it = mapMemPoolTxs.begin(); it != mapMemPoolTxs.end(); ++it) {\n    const auto& stat = it->second;\n    feeStats->removeTx(stat.blockHeight, nBestSeenHeight, stat.bucketIndex, false);\n    shortStats->",https://github.com/bitcoin/bitcoin/pull/12225#discussion_r163065783,163065783,src/policy/fees.cpp
sdaftuar,2018-01-23T17:58:04Z,"I didn't want to duplicate the code in `removeTx()` or figure out how to refactor it to be more efficient for this purpose -- since `FlushUnconfirmed()` is only called in shutdown, I don't think the performance savings here from more code changes is worth the review/maintenance burden.\n\nIf you'd rather see a bigger refactor here to clean things up, I think I'd prefer to just remove this commit",https://github.com/bitcoin/bitcoin/pull/12225#discussion_r163325957,163325957,src/policy/fees.cpp
promag,2018-01-23T23:52:32Z,I think it's fine as it is. I'll take note to measure an alternative implementation.,https://github.com/bitcoin/bitcoin/pull/12225#discussion_r163414631,163414631,src/policy/fees.cpp
promag,2018-01-23T23:56:10Z,Remove `+delta`?,https://github.com/bitcoin/bitcoin/pull/12225#discussion_r163415565,163415565,src/txmempool.h
sdaftuar,2018-01-25T23:03:25Z,Fixed!,https://github.com/bitcoin/bitcoin/pull/12225#discussion_r163994414,163994414,src/txmempool.h
