meshcollider,2018-01-24T01:57:41Z,"Big Concept ACK, excited about this",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-359994997,359994997,
laanwj,2018-01-24T14:36:42Z,"Should this be labeled consensus? This is a P2P change, right?\n",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-360154896,360154896,
jimpo,2018-01-24T17:09:36Z,"@laanwj This is a data structure to be used in a P2P change. I first thought that it shouldn't be tagged ""Consensus"", but there's an argument to be made for it. It doesn't affect blockchain consensus, but it is kind of a softer P2P consensus change, where network clients (though not other full nodes) may disconnect/ban you if you serve incorrectly computed block filters. I'll let you make the call",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-360204783,360204783,
sipa,2018-01-24T17:12:29Z,Any fork that can be resolved by a P2P adaptor that speaks both protocols is not a consensus change.,https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-360205706,360205706,
laanwj,2018-01-24T17:19:23Z,"> This is a data structure to be used in a P2P change.\n\nThanks for the explanation. With ""consensus"" we mean the blockchain consensus rules code. Banning\disconnecting is a P2P level issue. So changing the label to P2P.",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-360207830,360207830,
jonasschnelli,2018-01-25T22:33:27Z,"Great work @jimpo!\nBig Concept ACK,... will help to get this done.",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-360623262,360623262,
jonasschnelli,2018-02-09T09:46:28Z,"Reviewed and tested a bit... nice, clean PR!\nI would wish we had more test vectors... ",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-364385727,364385727,
Sjors,2018-02-09T15:14:18Z,Concept ACK. Would it useful to add some (hidden) RPC commands so other developers can test it?,https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-364461376,364461376,
jimpo,2018-02-09T18:15:09Z,"@jonasschnelli Thanks for reviewing. The test vectors were generated from a Go program I have that cross-validates against the [btcsuite implementation](https://github.com/Roasbeef/btcutil/pull/6). I can easily add any specific testnet blocks to the list of cases. The blocks were chosen to exercise certain edge cases (eg. empty filters, duplicate pushdatas, invalid output scripts), but the vectors",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-364513902,364513902,
Sjors,2018-03-15T19:07:04Z,"> @Sjors I'd definitely like to see RPC commands to fetch specific filters and filter headers, but I think it makes more sense to do that after adding the filter index, so that the RPC handlers just have to look up a precomputed filter/header. (So basically, in a subsequent PR).\n\nEven a proof-of-concept PR for that would be useful for review.",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-373489502,373489502,
jimpo,2018-03-20T01:48:16Z,@Sjors Here is a branch that exposes an RPC for testing/playing around: https://github.com/jimpo/bitcoin/tree/bip158-rpc. Is not intended to be merged for reasons stated [above](https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-364513902).,https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-374444591,374444591,
practicalswift,2018-04-15T06:19:50Z,"Concept ACK\n\nNice work!",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-381383206,381383206,
braydonf,2018-04-17T01:20:09Z,"Has there been any work yet on using this to implement BIP 157? I've worked on indexing in the past, and could take a look at implementing it.",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-381799042,381799042,
jimpo,2018-05-14T05:41:12Z,@sipa Thanks for the review. I agree on the extended filter -- I have dropped it from this PR. The code is in a new branch https://github.com/jimpo/bitcoin/tree/bip-158-extended in case it becomes useful in the future.,https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-388702764,388702764,
jonasschnelli,2018-05-14T06:19:50Z,"utACK f1b341a9262f24ff72b5961538f83ffbf532d8d9\nI think this is a good and sane start since this is not used yet. I wish there would be more test vectors.",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-388708714,388708714,
TheBlueMatt,2018-05-14T19:54:44Z,Why match on the txid of each transaction? I can't imagine a use-case where you'd ever want that where you couldn't simply match by one (or multiple) of the output scripts for little additional cost.,https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-388941774,388941774,
jimpo,2018-05-14T20:07:04Z,"@TheBlueMatt I can definitely think of use cases where one only has the txid. For example, if a lightning wallet wants to determine if a channel exists, it only gets the txid from the `channel_announcement`.\n\nI definitely think txids should be included in a filter, though I think there's a valid argument for putting them in their own filter given that a basic wallet does not need them.",https://github.com/bitcoin/bitcoin/pull/12254#issuecomment-388945360,388945360,
