sipa,2018-02-05T21:00:33Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/12336#issuecomment-363219684,363219684,
jnewbery,2018-02-08T14:12:24Z,"> I would reword commit ""[tests] Remove tests for deprecated estimatefee RPC"" to ""[qa] Replace deprecated estimatefee with estimatesmartfee"".\n\nThat's not what the commit does. It removes the tests for estimatefee and leaves the (minimal) checking of estimatesmartfee in place.\n\nPlease see original comment:\n\n> The `feature_fee_estimation.py` test has been updated to remove the RPC, but d",https://github.com/bitcoin/bitcoin/pull/12336#issuecomment-364122999,364122999,
promag,2018-02-02T19:50:24Z,Why not remove?,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r165742624,165742624,src/rpc/mining.cpp
promag,2018-02-02T19:51:50Z,"Nit, to align or not to align 👀 IMO one space.",https://github.com/bitcoin/bitcoin/pull/12336#discussion_r165742981,165742981,src/rpc/mining.cpp
jnewbery,2018-02-02T20:35:22Z,Fine. Done.,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r165753044,165753044,src/rpc/mining.cpp
jnewbery,2018-02-02T20:36:48Z,"Because there's no harm in leaving the warning in for one additional release. Output is now:\n\n```\n→ bcli estimatefee 4\nerror code: -32\nerror message:\nestimatefee was removed in v0.17.\nClients should use estimatesmartfee.\n```",https://github.com/bitcoin/bitcoin/pull/12336#discussion_r165753417,165753417,src/rpc/mining.cpp
promag,2018-02-02T20:43:04Z,"Alright, in the future we should do the same for others. Not sure if this is documented (or should be).",https://github.com/bitcoin/bitcoin/pull/12336#discussion_r165754945,165754945,src/rpc/mining.cpp
MarcoFalke,2018-02-03T13:24:57Z,"Should be hidden, I guess.",https://github.com/bitcoin/bitcoin/pull/12336#discussion_r165814509,165814509,src/rpc/mining.cpp
jnewbery,2018-02-05T20:19:38Z,Yes. Fixed.,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166100391,166100391,src/rpc/mining.cpp
laanwj,2018-02-06T09:41:35Z,"Please add a comment here that newly deprecated functionality should be tested here, otherwise this empty function looks really strange.\nAlternatively, maybe it's better to remove this test entirely if it's empty, It can always be brought back.",https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166234757,166234757,test/functional/rpc_deprecated.py
laanwj,2018-02-06T10:02:25Z,"~~Nit: No need for \n at the end of exception messages.~~\nEdit: never mind, I didn't see it was continued on the next line due to the comment interrupting it, sorry.",https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166240419,166240419,src/rpc/mining.cpp
promag,2018-02-08T11:32:51Z,IMO should stay otherwise it's easy to add deprecated tests elsewhere. A comment would be nice.,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166907207,166907207,test/functional/rpc_deprecated.py
promag,2018-02-08T11:35:15Z,I believe there is no test for this error?,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166907698,166907698,src/rpc/misc.cpp
promag,2018-02-08T11:39:15Z,I guess there is no need for `\n`. There are other multiple sentence errors without it.,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166908753,166908753,src/rpc/mining.cpp
jnewbery,2018-02-08T13:59:43Z,Comment added.,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166940718,166940718,test/functional/rpc_deprecated.py
jnewbery,2018-02-08T14:06:00Z,ugh. This error message was split over two lines before the commit. Please can we focus on reviewing the code changes and not how many new lines there should be in error messages?,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166942468,166942468,src/rpc/mining.cpp
jnewbery,2018-02-08T14:10:24Z,https://github.com/bitcoin/bitcoin/blob/b2645286745b77a8268d00497e0cbccecf42952c/test/functional/rpc_rawtransaction.py#L155,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166943608,166943608,src/rpc/misc.cpp
laanwj,2018-02-08T14:25:37Z,Thanks,https://github.com/bitcoin/bitcoin/pull/12336#discussion_r166948043,166948043,test/functional/rpc_deprecated.py
