randolf,2018-02-28T21:38:08Z,"Just to confirm:  With a higher debug level set, all those ""connect"" errors can still be logged?",https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-369391868,369391868,
practicalswift,2018-02-28T21:42:42Z,@randolf Exactly :-),https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-369393168,369393168,
practicalswift,2018-03-09T15:17:02Z,@Empact Thanks for reviewing. Updated in light of review. Please re-review :-),https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-371841521,371841521,
practicalswift,2018-03-11T09:50:00Z,@eklitzke Good point! Updated. Please re-review :-),https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-372102559,372102559,
eklitzke,2018-03-13T05:19:27Z,"That change looks good, but one other thing occurred to me just now. I think we already have special logic for handling peers added using `addnode`, and that should definitely be treated as a ""manual"" connection case. Can you take a look at that?",https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-372550205,372550205,
practicalswift,2018-03-13T06:58:16Z,"@eklitzke It already is:\n\n```\n$ src/bitcoind -printtoconsole &\n$ src/bitcoin-cli addnode 127.0.0.1:1234 onetry\n…\n2018-02-28 18:33:40 connect() to 127.0.0.1:1234 failed after select(): Connection refused (111)\n```\n\n:-)",https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-372565624,372565624,
sipa,2018-03-17T00:21:19Z,utACK cba2800e8c4e73c2eddff76880b55d930c5010f6,https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-373878068,373878068,
eklitzke,2018-03-17T01:16:14Z,utACK cba2800e8c4e73c2eddff76880b55d930c5010f6,https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-373882862,373882862,
practicalswift,2018-03-28T02:38:42Z,@laanwj Would it be possible to get this PR tagged with a 0.17.0 milestone? :-),https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-376741241,376741241,
ajtowns,2018-04-12T09:15:00Z,utACK  cba2800e8c4e73c2eddff76880b55d930c5010f6,https://github.com/bitcoin/bitcoin/pull/12569#issuecomment-380734925,380734925,
Empact,2018-03-01T00:18:01Z,"FYI the style guide prefers the prior style:\n""Variable and namespace names are all lowercase, and may use `_` to separate words (snake_case)""",https://github.com/bitcoin/bitcoin/pull/12569#discussion_r171429313,171429313,src/net.cpp
Empact,2018-03-01T00:22:44Z,Maybe extract a `LogConnectFailure` method to DRY these two up?,https://github.com/bitcoin/bitcoin/pull/12569#discussion_r171430059,171430059,src/netbase.cpp
instagibbs,2018-03-09T20:15:40Z,"not totally clear to me this should be `true`?\n\nI admit I don't know the networking code as well.",https://github.com/bitcoin/bitcoin/pull/12569#discussion_r173556673,173556673,src/netbase.cpp
practicalswift,2018-03-10T17:20:43Z,"This is the connection to the proxy server. Since the proxy server is specified by the user it is handled as a ""manual"" connection since any connection errors are likely of relevance to the end-user and thus should be logged. Makes sense? :-)",https://github.com/bitcoin/bitcoin/pull/12569#discussion_r173628458,173628458,src/netbase.cpp
eklitzke,2018-03-11T08:29:16Z,"I know this is annoying, but can you use argument forwarding or make this variadic? That would avoid allocation when the message is not going to be logged.",https://github.com/bitcoin/bitcoin/pull/12569#discussion_r173647027,173647027,src/netbase.cpp
