jonasschnelli,2018-03-26T11:48:53Z,utACK e999dd4a44d1e43fa11657dfe19fbdd89b1d2b91,https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-376138736,376138736,
MarcoFalke,2018-03-26T12:19:45Z,"* Please don't include pings in the first comment, since that is included in the commit and they get an email every time someone pushes the commit\n* Shoulnd't that be initialized where it was defined according to the developer notes? https://github.com/bitcoin/bitcoin/blob/master/doc/developer-notes.md#c-data-structures",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-376146323,376146323,
MarcoFalke,2018-03-26T12:21:37Z,"(Imo, you might as well remove the `SetNull`)",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-376146778,376146778,
practicalswift,2018-03-26T12:53:04Z,@MarcoFalke I see! What is the preferred form of pinging - it is via comment or commit message? :-),https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-376155003,376155003,
MarcoFalke,2018-03-26T13:09:37Z,"Usually I don't ping, but when I do, I use the second or n-th comment, since they don't end up in the commit body of the merge commit.",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-376159773,376159773,
laanwj,2018-03-28T10:01:55Z,"> (Imo, you might as well remove the SetNull)\n\nI checked and `SetNull` is never used outside the constructor. Agree to get rid of it, and initialize CWallet's fields in the proper way. If code needs a clean-slate wallet it can simply create a new object.",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-376831657,376831657,
practicalswift,2018-04-05T08:01:08Z,Updated. Please re-review :-),https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-378852442,378852442,
practicalswift,2018-04-05T13:45:14Z,"@MarcoFalke Oh, I misread and thought you referred to ""Make sure that constructors initialize all fields"" instead of the correct ""Initialize all non-static class members where they are defined"" in your first developer notes comment. Now fixed :-)",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-378941151,378941151,
MarcoFalke,2018-04-05T14:34:44Z,"utACK f63bc5e06310ea25051e2bf89c231f6096dda169\n\nRe developer notes: Might want to remove that statement, since it seems to conflict the latter one?",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-378957785,378957785,
laanwj,2018-04-07T14:36:58Z,"Thank you, looks good like this.\nutACK f63bc5e06310ea25051e2bf89c231f6096dda169",https://github.com/bitcoin/bitcoin/pull/12785#issuecomment-379473951,379473951,
MarcoFalke,2018-04-05T13:11:59Z,Shoulnd't that be initialized where it was defined according to the developer notes? https://github.com/bitcoin/bitcoin/blob/master/doc/developer-notes.md#c-data-structures,https://github.com/bitcoin/bitcoin/pull/12785#discussion_r179456500,179456500,src/wallet/wallet.h
