Empact,2018-03-27T21:38:59Z,utACK 6d4bf33,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-376684598,376684598,
sipa,2018-04-01T21:24:59Z,@kallewoof You may be interested in this for message script signing.,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-377817952,377817952,
sipa,2018-04-03T19:27:23Z,@ryanofsky My preference for having a singleton is because it reduces the amount of code in header files.,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378367818,378367818,
ryanofsky,2018-04-03T19:30:07Z,"> My preference for having a singleton is because it reduces the amount of code in header files.\n\nSounds good, thanks for explanation.",https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378368548,378368548,
sipa,2018-04-03T19:58:13Z,Updated to use LOUD_SCREAMING_NOTATION for global constants.,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378376428,378376428,
promag,2018-04-03T20:57:10Z,"> Updated to use LOUD_SCREAMING_NOTATION for global constants.\n\nWhy? Isn't it a global variable?",https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378396727,378396727,
promag,2018-04-03T22:05:46Z,"utACK 9ea9521.\n\n> Either notation would seem fine to use in this case.\n\nUsually I see upper case names as `#define` macros.",https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378414607,378414607,
sipa,2018-04-03T22:20:10Z,"> Usually I see upper case names as #define macros.\n\nFrom https://github.com/bitcoin/bitcoin/blob/master/doc/developer-notes.md:\n\n> Constant names are all uppercase, and use `_` to separate words.\n",https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378417781,378417781,
promag,2018-04-03T22:32:54Z,"@sipa the first thing I did was looking the developer notes, hence the utACK. I still see that as macros 😄",https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378420500,378420500,
promag,2018-04-03T22:33:40Z,@sipa PR description needs to be updated.,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378420700,378420700,
sipa,2018-04-03T22:42:57Z,Done!,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378422624,378422624,
instagibbs,2018-04-04T21:27:49Z,"utACK https://github.com/bitcoin/bitcoin/pull/12803/commits/9ea9521fc882b93a51e426cb10f04f530dedb813\n\nThough now I do wish `SigningProvider` was renamed `SigningSupporter` to reduce confusion ;)",https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-378750951,378750951,
laanwj,2018-04-12T20:04:01Z,utACK be678312102ed9bee66738c4721df1343518e3ea,https://github.com/bitcoin/bitcoin/pull/12803#issuecomment-380927813,380927813,
promag,2018-03-28T12:51:08Z,Remove `final` since class definition is final? Or add `final` in `DummySignatureChecker::CheckSig` above?,https://github.com/bitcoin/bitcoin/pull/12803#discussion_r177737418,177737418,src/script/sign.cpp
ryanofsky,2018-04-03T19:09:21Z,"In commit ""Make DummySignatureCreator a singleton""\n\nNew global variable should probably have g_ prefix.",https://github.com/bitcoin/bitcoin/pull/12803#discussion_r178931444,178931444,src/script/sign.cpp
sipa,2018-04-03T19:49:51Z,"Actually, it's a constant.",https://github.com/bitcoin/bitcoin/pull/12803#discussion_r178941584,178941584,src/script/sign.cpp
jtimon,2018-04-03T23:08:26Z,why not just use a std::unique_ptr ? when is this being destroyed?,https://github.com/bitcoin/bitcoin/pull/12803#discussion_r178987269,178987269,src/script/sign.cpp
sipa,2018-04-03T23:22:16Z,"That seems unnecessarily complicated. This is just a constant, with no storage associated with it, that exists at the start of the program and is always there.",https://github.com/bitcoin/bitcoin/pull/12803#discussion_r178989510,178989510,src/script/sign.cpp
laanwj,2018-04-11T15:04:49Z,"What is the scope of the object that this reference points to? It's not just this line, I hope?",https://github.com/bitcoin/bitcoin/pull/12803#discussion_r180788539,180788539,src/script/sign.cpp
sipa,2018-04-11T16:17:27Z,"Initializing a const reference with a temporary extends the lifetime of the temporary to that of the reference. The goal here is avoiding the need to have the `DummySignatureCreator` type externally visible (the reference type can be different from the dynamic type). An alternative would be to have a static object of type `DummySignatureCreator`, and then `const BaseSignatureCreator&` exported ref",https://github.com/bitcoin/bitcoin/pull/12803#discussion_r180814342,180814342,src/script/sign.cpp
