promag,2018-05-16T14:51:56Z,"Concept ACK.\n\nThere are more references to 17.10 that could be bumped? ",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389547663,389547663,
fanquake,2018-05-16T14:56:26Z,"Concept ACK\nThis will need a few more updates though. For example Ubuntu and Ubuntu 18.04 are two different items in the Windows Store, so we should link to 18.04 from here.",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389549375,389549375,
MarcoFalke,2018-05-16T14:57:10Z,"I had the impression that we only support windows cross builds for bionic, due to qt 5.9. So might as well remove all previous versions/workarounds?",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389549630,389549630,
ken2812221,2018-05-16T15:26:31Z,"According to @MarcoFalke's comment, removed all other distros except for Ubuntu 18.04. Also changed the Ubuntu 18.04 WSL link according to @fanquake's comment.",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389560612,389560612,
fanquake,2018-05-17T03:00:45Z,Thanks @ken2812221 . Instructions are looking simpler now. Was going to run through a build but VirtualBox has crashed twice while building depends using 18.04 WSL.. Will ACK once I've got a build finished.,https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389729480,389729480,
ken2812221,2018-05-17T06:39:10Z,"Update: Search ""Ubuntu 18.04""",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389760966,389760966,
laanwj,2018-05-17T10:29:34Z,"Concept ACK. I like this as it gets rid of a lot of confusing backwards compatibility cruft.\n",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-389821242,389821242,
fanquake,2018-05-23T13:03:15Z,"TestedACK https://github.com/bitcoin/bitcoin/pull/13246/commits/9d4f9421a4898f75a4c49aaefaba2868de071d79\n\nThis is a good cleanup, less workarounds.\n\nI've done a 64 bit depends build using WSL on a clean Windows 10 VM @ https://github.com/bitcoin/bitcoin/commit/6916024768ec57a00f54224640ab4e4871d2a30a\n![wsl](https://user-images.githubusercontent.com/863730/40425978-75011ffa-5ecc-11e8-89f2",https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-391338544,391338544,
MarcoFalke,2018-05-23T13:07:34Z,utACK 9d4f9421a4898f75a4c49aaefaba2868de071d79,https://github.com/bitcoin/bitcoin/pull/13246#issuecomment-391339832,391339832,
laanwj,2018-05-17T10:31:46Z,"Finally, no more need to install packages from a different version of ubuntu.",https://github.com/bitcoin/bitcoin/pull/13246#discussion_r188911600,188911600,doc/build-windows.md
laanwj,2018-05-17T10:32:15Z,"Will this stay this way? Or is this temporarily, until `1804` becomes the default",https://github.com/bitcoin/bitcoin/pull/13246#discussion_r188911724,188911724,doc/build-windows.md
laanwj,2018-05-17T10:33:05Z,"Please add that the steps in this document only apply for `18.04`. Only saying that it is recommended is not enough, as it means you'd still have to warn people against using `16.04`.",https://github.com/bitcoin/bitcoin/pull/13246#discussion_r188911934,188911934,doc/build-windows.md
ken2812221,2018-05-17T11:10:09Z,"I'm not sure, it's a different app in Microsoft Store now.",https://github.com/bitcoin/bitcoin/pull/13246#discussion_r188920755,188920755,doc/build-windows.md
ken2812221,2018-05-17T11:14:07Z,Change `recommended` to `required`,https://github.com/bitcoin/bitcoin/pull/13246#discussion_r188921589,188921589,doc/build-windows.md
fanquake,2018-05-23T13:00:08Z,"There are multiple different Ubuntu ""Apps"" available in the Windows store, so I think this should be ok for now.",https://github.com/bitcoin/bitcoin/pull/13246#discussion_r190235708,190235708,doc/build-windows.md
