sipa,2018-07-03T18:56:05Z,utACK 5e59bb250272447362fa9ae573d201a02afe1edf. Does this need release notes as well?,https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-402259452,402259452,
satwo,2018-07-03T19:17:47Z,Added release notes for #13004 to 0.16.1.,https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-402265226,402265226,
promag,2018-07-03T21:11:17Z,"Travis error (unrelated):\n```\nwallet_encryption.py failed, Duration: 3 s\nstdout:\n2018-07-03T20:07:21.836000Z TestFramework (INFO): Initializing test directory /tmp/bitcoin_test_runner_20180703_200428/wallet_encryption_16\n2018-07-03T20:07:24.958000Z TestFramework (ERROR): Assertion failed\nTraceback (most recent call last):\n  File ""/home/travis/build/bitcoin/bitcoin/build/bitcoin-x86_6",https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-402293058,402293058,
satwo,2018-07-03T22:39:25Z,"Thanks, Promag. Working on squashing these into a single commit...",https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-402312032,402312032,
satwo,2018-07-04T02:13:00Z,"Well, my inexperience with Git is showing. All relevant changes have been squashed into f52734a, but I don't know how to get rid of the other 8 commits.",https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-402342613,402342613,
laanwj,2018-07-04T12:53:44Z,"> Added release notes for #13004 to 0.16.1.\n\nThis is wrong, #13004 isn't in 0.16.1.\nIf you want to add to the release notes for the next release you need to update `doc/release-notes.md`. There, you can mention that the interpretation of `-printtoconsole` and `-debuglogfile` changed in a seperate section.",https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-402470543,402470543,
MarcoFalke,2018-07-08T08:01:01Z,@satwo Are you still working on this?,https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-403270273,403270273,
fanquake,2018-07-08T13:17:56Z,I've rebased and PR'd a version of this with the release note changes removed in #13614. @satwo Your changes are still attributed to you there.,https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-403287247,403287247,
satwo,2018-07-08T14:26:50Z,Sorry; have been traveling the last few days and hadn't had the opportunity to complete this. Thank you @fanquake for rebasing and fixing the release note changes.,https://github.com/bitcoin/bitcoin/pull/13589#issuecomment-403291434,403291434,
laanwj,2018-07-04T12:50:07Z,Did you intend to update the historical release notes for `0.16.1`?,https://github.com/bitcoin/bitcoin/pull/13589#discussion_r200116387,200116387,doc/release-notes/release-notes-0.16.1.md
satwo,2018-07-08T14:56:06Z,"Sorry for the late reply. I did intend that, because I figured the changes went into effect in 0.16.1 and that was the version that I was having problems with. ",https://github.com/bitcoin/bitcoin/pull/13589#discussion_r200843316,200843316,doc/release-notes/release-notes-0.16.1.md
