Empact,2018-07-09T04:30:05Z,0f57c60 could be a scripted-diff,https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-403356651,403356651,
practicalswift,2018-07-09T13:08:56Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-403472590,403472590,
DrahtBot,2018-07-09T23:09:47Z,"<!--e57a25ab6845829454e8d69fc972939a-->Note to reviewers: This pull request conflicts with the following ones:\n\n* #13755 ([WIP] Full unicode support on Windows by ken2812221)\n* #13426 ([bugfix] Add u8path and u8string to fix encoding issue for Windows by ken2812221)\n\nIf you consider this pull request important, please also help to review the conflicting pull requests. Ideally, start with the ",https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-403647927,403647927,
MarcoFalke,2018-07-11T15:55:50Z,"Appears to time out, but builds on my travis when merged with #13634",https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-404221305,404221305,
fanquake,2018-07-22T04:27:01Z,"Rebased on master. Removed the [wip] tag. There were a couple todos left, but they aren't critical for 0.17.0, and can be done for 0.18.0 alongside PRs like #13561.",https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-406840264,406840264,
MarcoFalke,2018-07-22T12:43:18Z,Should the darwin11 also be updated when `make download-osx` in depends?,https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-406863894,406863894,
Sjors,2018-07-24T14:46:24Z,"tACK 5eb615c, modulo #13752 and the `depends/Makefile` darwin11 reference @MarcoFalke pointed out.\n\nI also built depends, ran functional test with that, then ran regular tests without depends (see #13750). I switched GUI to Mandarin, looks nice. I didn't check if the progress bar uses CPU when disconnected.",https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-407433374,407433374,
theuni,2018-07-24T20:13:31Z,utACK after the Makefile change.,https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-407536699,407536699,
fanquake,2018-07-24T23:36:46Z,Added the makefile change to 26b15df,https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-407585726,407585726,
DrahtBot,2018-07-25T04:21:01Z,<!--a722867cd34abeea1fadc8d60700f111-->\nGitian builds for commit 1211b15bf6c0b2904d90b96a9b3834c5cb9e7b4e (master):\n * `265a79d5a7168dde89e02a069d1796b8...` [bitcoin-0.16.99-aarch64-linux-gnu-debug.tar.gz](https://drahtbot.space/gitian/bitcoin/bitcoin/1211b15bf6c0b2904d90b96a9b3834c5cb9e7b4e/bitcoin-0.16.99-aarch64-linux-gnu-debug.tar.gz)\n * `932a5a47bd47e181d45400add111e875...` [bitcoin-0.16.9,https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-407628681,407628681,
kallewoof,2018-07-25T10:02:55Z,"utACK 3828a79\n\nI assume the `__APPLE__` define is still available, as it is still used in\n\nhttps://github.com/bitcoin/bitcoin/blob/1211b15bf6c0b2904d90b96a9b3834c5cb9e7b4e/src/tinyformat.h#L157",https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-407702836,407702836,
Sjors,2018-08-28T17:13:17Z,"@fanquake what was the rationale for using `MAC_OSX`? I can't find any documentation about it.\n\nThis (fairly old) blog post recommends a different strategy: http://nadeausoftware.com/articles/2012/01/c_c_tip_how_use_compiler_predefined_macros_detect_operating_system#OSXiOSandDarwin",https://github.com/bitcoin/bitcoin/pull/13617#issuecomment-416667376,416667376,
theuni,2018-07-09T19:42:58Z,"Do we for sure mean ""Apple"" in all of these changes and not just ""macOS""? This would affect iOS as well, which seems likely incorrect here. I suspect that we want to keep using MAC_OSX (which we define ourselves) so that we can differentiate later if needed.",https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201123774,201123774,src/util.cpp
theuni,2018-07-09T19:45:48Z,Does this change anything?,https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201124513,201124513,depends/README.md
fanquake,2018-07-10T02:24:40Z,"@theuni  In the readme it's cosmetic, darwin11 refers to OS X 10.7, darwin14 should be 10.10. \nHowever good catch, as we should also be changing this in [travis.yml](https://github.com/bitcoin/bitcoin/blob/master/.travis.yml#L43) and [gitian-osx.yml](https://github.com/bitcoin/bitcoin/blob/master/contrib/gitian-descriptors/gitian-osx.yml#L37) ?",https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201200957,201200957,depends/README.md
MarcoFalke,2018-07-10T17:02:28Z,"Huh, how does this even compile on travis/gitian, given that support for 10.7 has been removed?",https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201420832,201420832,depends/README.md
theuni,2018-07-10T18:04:45Z,"I've never seen a case where this changes anything in practice. As a test, I just had a look at gcc's configure.ac though, and it at least checks for >=10 in a few places. So I guess we should keep these in sync to be on the safe side.",https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201440639,201440639,depends/README.md
jonasschnelli,2018-07-10T20:30:07Z,Has someone verified that this BUG no longer appears on OSX 10.10+?,https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201483702,201483702,src/qt/guiutil.h
jonasschnelli,2018-07-10T20:30:30Z,Agree with @theuni ,https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201483839,201483839,src/util.cpp
fanquake,2018-07-11T08:09:03Z,Updated in travis.yml and gitian-osx.yml,https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201598969,201598969,depends/README.md
fanquake,2018-07-11T08:09:33Z,"@jonasschnelli I haven't been able to recreate it yet, will test further though.",https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201599101,201599101,src/qt/guiutil.h
fanquake,2018-07-11T08:15:16Z,I've dropped this change and replaced it with a scripted-diff that converts __APPLE__ usage to MAC_OSX.,https://github.com/bitcoin/bitcoin/pull/13617#discussion_r201600548,201600548,src/util.cpp
kallewoof,2018-07-25T10:00:09Z,The new URL for the bug appears to be https://bugreports.qt.io/browse/QTBUG-15631 but that bug seems unrelated to the comment.,https://github.com/bitcoin/bitcoin/pull/13617#discussion_r205051046,205051046,src/qt/guiutil.h
fanquake,2018-07-25T10:01:53Z,"@kallewoof I mentioned in the PR description, from what I can tell the correct link is https://bugreports.qt.io/browse/QTBUG-20880",https://github.com/bitcoin/bitcoin/pull/13617#discussion_r205051560,205051560,src/qt/guiutil.h
