practicalswift,2018-07-20T11:21:15Z,"Concept ACK\n\nThanks for taking another look at this code",https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-406572078,406572078,
DrahtBot,2018-07-22T13:19:15Z,"<!--e57a25ab6845829454e8d69fc972939a-->Note to reviewers: This pull request conflicts with the following ones:\n\n* #14021 (Import key origin data through importmulti by achow101)\n* #13932 (Additional utility RPCs for PSBT by achow101)\n* #13815 (util: Add [[nodiscard]] to all {Decode,Parse}[...](...) functions returning bool by practicalswift)\n* #13671 (Remove the boost/algorithm/string/case_co",https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-406866073,406866073,
laanwj,2018-07-23T14:05:33Z,"utACK f6ba1ca1e51d044b6fc8398edfa4dd03061572c4\nverified that `[MOVEONLY] Move ParseHDKeypair` is move-only\n",https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-407069663,407069663,
sipa,2018-07-24T22:13:36Z,Rebased.,https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-407569398,407569398,
sipa,2018-08-07T21:43:51Z,I don't understand why this is causing the no-wallet Travis test to timeout: https://api.travis-ci.org/v3/job/413228232/log.txt,https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-411212635,411212635,
MarcoFalke,2018-08-07T21:54:28Z,Should be fixed by deleting the travis cache and resetting that particular job.,https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-411215207,411215207,
achow101,2018-08-09T21:15:52Z,utACK 9c28a0c0ddfb09dcd4d5c0ca83ce5cdae9bc1fa2,https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-411899994,411899994,
sipa,2018-08-10T03:34:36Z,"Rebased on top of #13917, which has far higher priority.",https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-411965544,411965544,
laanwj,2018-08-28T14:22:53Z,re-utACK 917353c8b0eff4cd95f9a5f7719f6756bb8338b1,https://github.com/bitcoin/bitcoin/pull/13723#issuecomment-416604045,416604045,
promag,2018-07-20T09:58:26Z,"Commit ""Make SigningProvider expose key origin information""\n\nnit `CKeyID& keyid`.",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r203995195,203995195,src/script/sign.cpp
promag,2018-07-20T09:59:16Z,"Commit ""Make SigningProvider expose key origin information""\n\nnit, remove.",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r203995410,203995410,src/wallet/wallet.cpp
promag,2018-07-20T09:59:53Z,"Commit ""Make SigningProvider expose key origin information""\n\nnit, `CKeyID& address`.",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r203995551,203995551,src/script/sign.h
promag,2018-07-20T10:01:43Z,"Commit ""Generalize PublicOnlySigningProvider into HidingSigningProvider""\n\nnit, `CKeyID& keyid`.",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r203996013,203996013,src/script/sign.cpp
promag,2018-07-20T10:09:20Z,"Commit ""Generalize PublicOnlySigningProvider into HidingSigningProvider""\n\nnit, `CScriptID& scriptid` and some more below.",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r203997870,203997870,src/script/sign.h
sipa,2018-07-20T18:54:06Z,done,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204139354,204139354,src/script/sign.cpp
sipa,2018-07-20T18:54:14Z,done,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204139388,204139388,src/wallet/wallet.cpp
sipa,2018-07-20T18:54:22Z,done,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204139428,204139428,src/script/sign.h
sipa,2018-07-20T18:54:29Z,done,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204139455,204139455,src/script/sign.h
sipa,2018-07-20T18:54:38Z,done,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204139500,204139500,src/script/sign.cpp
achow101,2018-07-20T18:58:35Z,"Shouldn't this change be part of the earlier "" Generalize PublicOnlySigningProvider into HidingSigningProvider"" commit?",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204140467,204140467,src/wallet/rpcwallet.cpp
sipa,2018-07-20T19:01:44Z,"It could be, but doesn't matter. There is no bip32 information in SignatureData until this commit.",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204141198,204141198,src/wallet/rpcwallet.cpp
achow101,2018-07-20T23:11:58Z,"In commit ""Make SigningProvider expose key origin information""\n\nYou should change `address` to `keyid` in this commit instead of ""Generalize PublicOnlySigningProvider into HidingSigningProvider""",https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204188846,204188846,src/script/sign.cpp
sipa,2018-07-20T23:40:43Z,Done.,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r204191583,204191583,src/script/sign.cpp
Empact,2018-08-20T22:26:37Z,Looks like this is no longer called.,https://github.com/bitcoin/bitcoin/pull/13723#discussion_r211426923,211426923,src/wallet/rpcwallet.cpp
