promag,2018-08-12T00:15:25Z,"Concept ACK. Add an entry in doc/README.md, maybe in Miscellaneous section?",https://github.com/bitcoin/bitcoin/pull/13941#issuecomment-412309780,412309780,
meshcollider,2018-08-14T13:35:40Z,"Concept ACK, although would it be sensible to put it in https://github.com/bitcoin-core/docs instead?",https://github.com/bitcoin/bitcoin/pull/13941#issuecomment-412873726,412873726,
sipa,2018-08-14T18:17:20Z,"@MeshCollider I expect this document will grow in future versions, as more PSBT RPCs are being worked on. By keeping it inside the repo we can keep it in sync with the actual implementation in releases.",https://github.com/bitcoin/bitcoin/pull/13941#issuecomment-412967431,412967431,
laanwj,2018-08-16T09:33:02Z,"Looks good to me, thanks a lot for adding documentation!\nutACK",https://github.com/bitcoin/bitcoin/pull/13941#issuecomment-413484698,413484698,
achow101,2018-08-11T00:16:25Z,"`""includeWatching"":true` is also necessary here since Amulti is only solvable by Bob, not spendable. By default watching only outputs will not be selected.",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r209409590,209409590,doc/psbt.md
achow101,2018-08-11T00:17:49Z,Should probably also say that we are assuming no other addresses in the wallets are being used. Otherwise `walletcreatefundedpsbt` below may choose outputs that are not for Amulti,https://github.com/bitcoin/bitcoin/pull/13941#discussion_r209409675,209409675,doc/psbt.md
achow101,2018-08-11T00:18:20Z,`walletcreatefundedpsbt` does not sign. Carol needs to use `walletprocesspsbt` first.,https://github.com/bitcoin/bitcoin/pull/13941#discussion_r209409703,209409703,doc/psbt.md
Sjors,2018-08-11T11:45:02Z,"Maybe suggest all participants use `bech32` as their address type as well as the multisig address type, or at least suggest that being consistent will reduce the chances of confusion?",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r209424835,209424835,doc/psbt.md
achow101,2018-08-14T02:32:41Z,"I don't think it matters since they only need the pubkeys which `getaddressinfo` will provide for all address types. Maybe it is needed with `addmultisigaddress`, but I don't think this is necessary.",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r209813775,209813775,doc/psbt.md
sipa,2018-08-14T18:15:35Z,Fixed.,https://github.com/bitcoin/bitcoin/pull/13941#discussion_r210052828,210052828,doc/psbt.md
sipa,2018-08-14T18:15:49Z,"Done, added a note about having separate walets.",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r210052903,210052903,doc/psbt.md
sipa,2018-08-14T18:15:57Z,Fixed.,https://github.com/bitcoin/bitcoin/pull/13941#discussion_r210052946,210052946,doc/psbt.md
sipa,2018-08-14T18:16:33Z,"For the individual `getnewaddress` calls it doesn't matter, as they only communicate the pubkey anyway. For `addmultisigaddress` I've added a comment.",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r210053143,210053143,doc/psbt.md
achow101,2018-08-14T19:13:41Z,"Since `createmultisig` and `addmultisigaddress` may use different address types, you probably will need to add a comment here that different address types may be needed in order to get the correct address.",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r210071599,210071599,doc/psbt.md
achow101,2018-08-14T19:22:10Z,"nit: the preferred method of specifying outputs is to use an array of objects instead of a dictionary. So this should be `[{""Asend"":V}]`",https://github.com/bitcoin/bitcoin/pull/13941#discussion_r210073892,210073892,doc/psbt.md
