gmaxwell,2018-08-16T04:18:59Z,Interesting!  Benchmark results?,https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-413420935,413420935,
fingera,2018-08-16T05:19:24Z,"CPU: Intel(R) Xeon(R) Platinum 8163 CPU @ 2.50GHz\n\nhttps://github.com/fingera/bitcoin/tree/1-avx512-benchmark:\n\n```\n./src/bench/bench_bitcoin -filter=""FINGERA.+""\nFINGERA_MerkleRoot, 5, 800, 3.74455, 0.000933415, 0.000938638, 0.000937376\nFINGERA_MerkleRoot8Way, 5, 800, 6.24424, 0.00155711, 0.00157051, 0.00155929\nFINGERA_SHA256D64_1024, 5, 7400, 3.09212, 8.34755e-05, 8.36662e-05, 8.3",https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-413428842,413428842,
fingera,2018-08-16T06:28:16Z,ci error: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=79127,https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-413439727,413439727,
fingera,2018-08-16T07:47:23Z,Need to rebase?,https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-413456843,413456843,
laanwj,2018-08-27T11:23:30Z,so 40 to 46% faster? that's quite impressive,https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-416195640,416195640,
fingera,2018-08-28T01:37:49Z,"because avx512 added _mm512_rol_epi32 instrisic, may faster in the future.\ncan i do something for merge",https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-416422296,416422296,
DrahtBot,2018-11-30T08:22:53Z,<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nNo conflicts as of last run.,https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-443127459,443127459,
dongcarl,2019-05-21T21:38:15Z,@fingera Would you like to rebase and keep working on this? I'd be happy to rebase for you.,https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-494568745,494568745,
fingera,2019-05-24T08:09:25Z,"> @fingera Would you like to rebase and keep working on this? I'd be happy to rebase for you.\n\nThankyou. Just wait for ci-mingw updates :)",https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-495515276,495515276,
dongcarl,2019-05-24T15:22:50Z,"@fingera If I understand you correctly, the current `AC_LANG_PROGRAM` [here](https://github.com/bitcoin/bitcoin/pull/13989/files/2fa6fa40c34fea86ebd947ccf20da5a3049e5e62#diff-67e997bcfdac55191033d57a16d1408aR386) will not fail if `$host` is mingw. But if we use your longer `AC_LANG_PROGRAM` from https://github.com/fingera/bitcoin/commit/585a8c8b5b500ca8cb2bab4e2d231895a6298703, it will fail just l",https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-495675768,495675768,
fingera,2019-05-27T01:23:52Z,"> @fingera If I understand you correctly, the current `AC_LANG_PROGRAM` [here](https://github.com/bitcoin/bitcoin/pull/13989/files/2fa6fa40c34fea86ebd947ccf20da5a3049e5e62#diff-67e997bcfdac55191033d57a16d1408aR386) will not fail if `$host` is mingw. But if we use your longer `AC_LANG_PROGRAM` from [fingera@585a8c8](https://github.com/fingera/bitcoin/commit/585a8c8b5b500ca8cb2bab4e2d231895a6298703)",https://github.com/bitcoin/bitcoin/pull/13989#issuecomment-496049015,496049015,
