jonasschnelli,2018-09-06T20:24:59Z,utACK e11d7ea24b7c67793ab8e84b5ad05d233f43e7da,https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-419229227,419229227,
Sjors,2018-09-13T19:12:19Z,Perhaps @achow101 can use this in #14021?,https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-421119443,421119443,
achow101,2018-09-13T23:53:43Z,@Sjors I don't think this would be useful there. Instead we should have some new command that lets us import descriptors into the wallet.,https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-421187863,421187863,
sipa,2018-10-12T23:20:40Z,"Rebased, and expanded documentation to include key origin information.",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-429487788,429487788,
ryanofsky,2018-10-16T19:06:05Z,"Was there a problem with the last rebase? It seems like some changes that were previously made, like https://github.com/bitcoin/bitcoin/pull/14150#discussion_r215631128, have been reverted.",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430359968,430359968,
meshcollider,2018-10-16T21:46:05Z,"Concept ACK, will wait for the rebase to be fixed before reviewing then",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430412503,430412503,
sipa,2018-10-17T01:18:25Z,"@ryanofsky Wow, indeed, thanks for pointing that out. I don't know how that happened.\n\nI went through all comments again, and reapplied the fixed I made earlier where necessary. I've also expanded the documentation change a bit.",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430455453,430455453,
sipa,2018-10-17T21:12:57Z,"@ryanofsky Addressed all your comments except the syntax issue, which we should probably discuss at the PR level rather than buried inside a code comment.\n\nI agree that `fpr/path:key/path` doesn't perfectly map with intuition about precedence of operation. On the other hand, I'd prefer to keep ""key operations"" as pure syntax, separated from ""script operations"" which are functions.\n\nAfter t",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430791765,430791765,
ryanofsky,2018-10-17T22:24:52Z,"> Longer term this feature helps with a potential descriptors-based walletless PSBT updater, or for importing hardware wallet xpubs (once the wallet can import descriptors).\n\nCould you explain how these use-cases benefit from having origin information embedded inside descriptor expressions? It seems like it might be simpler if the descriptor language only described how things should be signed,",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430810840,430810840,
sipa,2018-10-17T22:27:48Z,"@ryanofsky A PSBT updater needs to add key origin information to the PSBT file, or future signers may not be able to find the key to sign with.\n\nI really think this information needs to be part of descriptors for them to be generally useful. Just listing the public keys is useless if those using the information don't know how to find the private key corresponding to said public key. In a way, ",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430811515,430811515,
sipa,2018-10-17T22:52:56Z,"Switched to the `[fpr/path]key/path` notation, updating the parser, serializer, tests, and documentation.\n\nAs far as other attributes go, I'm not sure descriptors are the right place (this may be getting philosophical, though):\n* a timestamp is more a descriptor-level property than a key specific thing (you care about when any output generated by the descriptor can be used at the earliest, n",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430816866,430816866,
instagibbs,2018-10-18T15:50:30Z,"~~concept ACK, if rebase is fixed I'll review further~~",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-431062031,431062031,
ryanofsky,2018-10-18T16:09:24Z,"> if rebase is fixed I'll review further\n\nI don't think there's a problem with current version of this PR (cfc812992da86d00406072fe8d3e7e2611c67882). The earlier comment https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-430359968 was referring to 605367580b582a6e9510a06670cfd4898168cea5.\n",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-431068876,431068876,
instagibbs,2018-10-18T16:16:02Z,"Oops, I reviewed 2 days ago and didn't refresh this page to see updates!",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-431071175,431071175,
sipa,2018-10-18T23:13:37Z,"Addressed further comments in separate commits, will squash when ready.",https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-431194475,431194475,
instagibbs,2018-10-18T23:29:27Z,re-ACK,https://github.com/bitcoin/bitcoin/pull/14150#issuecomment-431197256,431197256,
