gmaxwell,2018-09-14T16:48:49Z,ACK,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-421418352,421418352,
sipa,2018-09-16T01:39:23Z,utACK 52d9adcdfbf545cb9a9facb482cb3673578abfa0. I'll test this soon.,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-421669029,421669029,
sipa,2018-09-20T22:59:27Z,Here is a test that fails before and succeeds after this PR: https://github.com/sipa/bitcoin/commit/ce238f2aff3253cdde88d0f9b995b7e0016cb52b,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-423361061,423361061,
sipa,2018-09-22T17:53:54Z,"@achow101 Feel free to cherry-pick the test into this PR.\n\nThat RPC test is a reproduction of what I did to notice the issue in the first place, so Tested ACK from me.",https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-423761731,423761731,
achow101,2018-09-22T19:26:30Z,I've added @sipa's test,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-423767460,423767460,
DrahtBot,2018-09-22T20:04:49Z,"<!--e57a25ab6845829454e8d69fc972939a-->Reviewers, this pull request conflicts with the following ones:\n\n* #14588 (Refactor PSBT signing logic to enforce invariant and fix signing bug by gwillen)\n* #13932 (Additional utility RPCs for PSBT by achow101)\n\nIf you consider this pull request important, please also help to review the conflicting pull requests. Ideally, start with the one that should ",https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-423769700,423769700,
sipa,2018-09-23T20:26:28Z,ACK 862d159d635c1de219d94e030b186a745fe28eb9,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-423845382,423845382,
DrahtBot,2018-09-28T11:23:53Z,<!--32850dd3fdea838b4049e64f46995ea2-->\n| Coverage  | Change ([pull 14197](https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/14197/total.coverage/index.html)) | Reference ([master](https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/master/total.coverage/index.html))   |\n|-----------|-------------------------|--------------------|\n| Lines     | +0.0163 %            | 87.0361 %,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-425405685,425405685,
laanwj,2018-11-01T15:10:47Z,utACK 862d159d635c1de219d94e030b186a745fe28eb9,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-435071953,435071953,
fanquake,2018-11-30T14:30:05Z,862d159 will be backported in #14780.,https://github.com/bitcoin/bitcoin/pull/14197#issuecomment-443220076,443220076,
fanquake,2018-09-11T05:20:12Z,Travis is complaining about whitespace here.,https://github.com/bitcoin/bitcoin/pull/14197#discussion_r216548192,216548192,src/script/sign.cpp
achow101,2018-09-11T18:54:56Z,Fixed,https://github.com/bitcoin/bitcoin/pull/14197#discussion_r216782426,216782426,src/script/sign.cpp
promag,2018-09-17T14:08:46Z,"IIUC this could be\n```cpp\nassert(!utxo.IsNull());\ninput.witness_utxo = utxo;\n```",https://github.com/bitcoin/bitcoin/pull/14197#discussion_r218082962,218082962,src/script/sign.cpp
achow101,2018-09-22T19:26:09Z,Indeed. Done.,https://github.com/bitcoin/bitcoin/pull/14197#discussion_r219680266,219680266,src/script/sign.cpp
promag,2018-09-26T16:02:43Z,"nit, nit, nit, sort.",https://github.com/bitcoin/bitcoin/pull/14197#discussion_r220626143,220626143,test/functional/rpc_psbt.py
