practicalswift,2018-09-24T18:55:27Z,"Concept ACK\n\nNice first-time contribution!",https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-424085745,424085745,
MarcoFalke,2018-09-25T23:31:12Z,utACK 20442f617f7f86cbdde1c41c1165e2b750f756c7 (also run the test on the 0.16 branch to check that it passes without any code changes),https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-424535347,424535347,
achow101,2018-09-26T00:09:03Z,utACK 20442f617f7f86cbdde1c41c1165e2b750f756c7,https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-424541987,424541987,
murtyjones,2018-09-26T01:48:05Z,"ACK – tested on `master`, `0.17`, `0.16`",https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-424557314,424557314,
promag,2018-09-26T08:29:58Z,Tested ACK 20442f6.,https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-424631134,424631134,
gustavocoding,2018-10-03T18:14:23Z,"Although milestone was set to 0.17, I can't see the changes of this PR on 0.17.0 that was just released: \nhttps://github.com/bitcoin/bitcoin/blob/v0.17.0/test/functional/rpc_signrawtransaction.py\n",https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-426740941,426740941,
MarcoFalke,2018-10-03T21:47:53Z,"Indeed, #14328 missed the 0.17.0 and will likely be merged before 0.17.1",https://github.com/bitcoin/bitcoin/pull/14310#issuecomment-426815180,426815180,
MarcoFalke,2018-09-24T18:48:36Z,"Could add a second commit to remove the `restart_node`, which is not required on master, but on 0.17.",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r219948061,219948061,test/functional/rpc_signrawtransaction.py
gustavocoding,2018-09-24T19:40:35Z,done,https://github.com/bitcoin/bitcoin/pull/14310#discussion_r219963440,219963440,test/functional/rpc_signrawtransaction.py
gustavocoding,2018-09-24T20:11:39Z,"just need one more change, the signature method must be changed to be 0.16 compliant",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r219972552,219972552,test/functional/rpc_signrawtransaction.py
gustavocoding,2018-09-24T20:14:42Z,now it's properly backported,https://github.com/bitcoin/bitcoin/pull/14310#discussion_r219973348,219973348,test/functional/rpc_signrawtransaction.py
achow101,2018-09-25T01:02:59Z,`signrawtransaction` no longer exists in master. You should change this to `signrawtransactionwithwallet`. This will also fix travis.,https://github.com/bitcoin/bitcoin/pull/14310#discussion_r220033257,220033257,test/functional/rpc_signrawtransaction.py
gustavocoding,2018-09-25T06:02:41Z,"ok, fixed, thanks",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r220066740,220066740,test/functional/rpc_signrawtransaction.py
promag,2018-09-26T00:26:05Z,"Could create a transaction that the wallet could actually sign?\n\nWithout this fix, this test holds:\n```py\n        self.nodes[0].generate(101)\n        res = self.nodes[0].createrawtransaction([], {'mpLQjfK79b7CCV4VMJWEWAj5Mpx8Up5zxB': 0.1})\n        res = self.nodes[0].fundrawtransaction(res)\n        self.nodes[0].encryptwallet(""password"")\n        res = self.nodes[0].signrawtransacti",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r220395397,220395397,test/functional/rpc_signrawtransaction.py
gustavocoding,2018-09-26T07:55:26Z,"Yes, this test passes on master and 0.17, but the point of this PR is reporting the correct error *before* signing, so it's sufficient that the tx is well formed.",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r220459639,220459639,test/functional/rpc_signrawtransaction.py
promag,2018-09-26T08:00:05Z,"Yes, just saying because I had to write that to test the change is necessary.",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r220461056,220461056,test/functional/rpc_signrawtransaction.py
gustavocoding,2018-09-26T08:16:47Z,"Another way to verify the necessity of the change is to run this PR's ```test_with_lock_outputs``` in the ```0.16``` branch, it will pass. ",https://github.com/bitcoin/bitcoin/pull/14310#discussion_r220465940,220465940,test/functional/rpc_signrawtransaction.py
