DrahtBot,2018-10-20T09:57:37Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#12677](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/12677.html) (RPC: Add ancestor{count,size,fees} to listu",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-431566686,431566686,
sipa,2018-11-14T23:48:31Z,I wonder if it isn't just easier to support passing in a descriptor in `signrawtransactionwithkey` and using #14477 to get to get descriptors from listunspent etc? The various ways of passing around scripts in different RPCs looks like hard to solve mess.,https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-438861892,438861892,
ryanofsky,2018-12-04T20:32:21Z,"@MeshCollider is there an update on the status of this PR?\n\nc789fef8ca4739e2fb3c930bacad77543650b781 seems like an improvement to me, and has my ACK. But I do think it would be an easy win to replace ""redeemScript"" with ""witnessScript"" there, and tweak `signrawtransaction` to accept ""witnessScript"", so all RPCs could use these terms consistently.\n\nOr if we want to abandon this approach and",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-444247384,444247384,
meshcollider,2018-12-06T20:01:23Z,"@ryanofsky I plan on modifying this for terminology as above for now, and then I think we should look at RPC descriptor support as a whole after that. But I will come back to this PR in the next few days",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-445010253,445010253,
meshcollider,2019-02-05T20:35:21Z,"I've rebased this and addressed the terminology comments above, moving to a new witnessScript field with backwards compatibility",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-460793279,460793279,
meshcollider,2019-02-11T19:48:28Z,"Forgot to update the release notes, listunspent doesn't overload redeemScript anymore\n\nAgree about addmultisigaddress, and about squashing :+1:",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-462468413,462468413,
meshcollider,2019-02-11T23:09:26Z,"I've squashed and updated the release notes, but modifying `addmultisigaddress` to return a witnessScript as well as redeemScript would be a breaking change, because currently the witnessScript is returned as ""redeemScript"". It would be more confusing to use different terminology so unless a breaking change is worth it here, which I don't think it is, I'll leave it as is",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-462532115,462532115,
MarcoFalke,2019-02-12T23:54:55Z,Needs rebase (blame me),https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-462992939,462992939,
meshcollider,2019-02-13T01:27:09Z,"Rebased and addressed comments above. @MarcoFalke I expect a review from you then ;)\n\n`addmultisigaddress` change can be done in a followup PR to avoid adding extra review burden here so close to merge-readiness",https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-463015956,463015956,
MarcoFalke,2019-02-14T20:36:29Z,utACK 6ca836ab3abef5a90df0c3c4e4983f328b1afe00,https://github.com/bitcoin/bitcoin/pull/14481#issuecomment-463785004,463785004,
Sjors,2018-10-17T08:40:16Z,Why not a separate `witnessScript` field like in #14454? ,https://github.com/bitcoin/bitcoin/pull/14481#discussion_r225830355,225830355,src/wallet/rpcwallet.cpp
