ken2812221,2018-11-09T09:31:03Z,Concept ACK. ,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-437302385,437302385,
practicalswift,2018-11-09T13:58:36Z,"Concept ACK\n\nGood idea!\n\n@lucash-dev Would you be able to match other CVE:s against tests and include them in this PR? That would be really useful to have. It would be nice to be able to do `git grep CVE-N` on all issued Bitcoin Core CVE:s to be able to find the corresponding test case and/or fix\n\nPerhaps Bitcoin CVE guru @luke-jr can help in this matching? :-)",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-437367200,437367200,
lucash-dev,2018-11-09T15:49:24Z,I’ll do that. Sounds like a good  learning opportunity too. ,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-437401123,437401123,
Empact,2018-11-13T10:29:37Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-438215859,438215859,
DrahtBot,2018-11-13T15:22:51Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#15045](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/15045.html) ([test] Apply maximal flags to tx_valid test",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-438304819,438304819,
MarcoFalke,2018-11-22T18:07:16Z,Needs rebase (silent conflict),https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-441097199,441097199,
laanwj,2018-11-23T12:04:43Z,"Thanks for adding these tests!\nConcept ACK",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-441224652,441224652,
lucash-dev,2018-12-03T06:52:21Z,"Coudn't find much info on CVE-2012-4682, CVE-2012-4683. @luke-jr could you provide any pointers?",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-443606849,443606849,
lucash-dev,2019-01-07T06:47:10Z,Rebased. Also refactored to use the new invalid tx template.,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-451837632,451837632,
fanquake,2019-01-07T06:54:07Z,"@lucash-dev Could you cleanup the trailing whitespace. That's what's causing Travis to fail:\n```\n./test/functional/data/invalid_txs.py:204:1: W293 blank line contains whitespace\n./test/functional/data/invalid_txs.py:205:1: W293 blank line contains whitespace\n./test/functional/data/invalid_txs.py:210:10: E131 continuation line unaligned for hanging indent\n```",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-451838774,451838774,
laanwj,2019-01-31T13:42:36Z,"utACK a342ecd20afc422ece488dca43dd9086dd37798b\nCould squash some commits and fix spelling in commit messages",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-459348097,459348097,
lucash-dev,2019-02-01T01:54:10Z,"> utACK [a342ecd](https://github.com/bitcoin/bitcoin/commit/a342ecd20afc422ece488dca43dd9086dd37798b)\n> Could squash some commits and fix spelling in commit messages\n\nSorry, should've prefixed the PR with ""WIP"" while I was working adding more comments for more CVEs. It's been a while since I've had time to work on this PR, though. It has also already grown far beyond the original intention (",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-459576673,459576673,
lucash-dev,2019-02-01T05:43:41Z,Fixed the commit history.,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-459613336,459613336,
practicalswift,2019-02-01T19:57:35Z,utACK 203c3284eec263ac94339779e36f20a32c77f877 modulo nit and squash,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-459848523,459848523,
lucash-dev,2019-02-02T18:58:53Z,"> utACK [203c328](https://github.com/bitcoin/bitcoin/commit/203c3284eec263ac94339779e36f20a32c77f877) modulo nit and squash\n\nFixed nit. Further squashed to 2 commits. one for adding comments, other for new tests. Let me know if you'd like just one commit. just thought it would make sense to separate these two, but it's all the same to me.\nAnd thanks for reviewing!",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-459990085,459990085,
lucash-dev,2019-06-04T00:08:43Z,Rebased.,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-498470284,498470284,
Empact,2019-06-05T11:11:44Z,utACK https://github.com/bitcoin/bitcoin/pull/14696/commits/38bfca6bb2ad68719415e9c54a981441052da072,https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-499040984,499040984,
laanwj,2019-09-18T13:53:13Z,"ACK 0c62e3aa73839e97e65a3155e06a98d84b700a1e, checked the CVE numbers, thanks for adding documentation",https://github.com/bitcoin/bitcoin/pull/14696#issuecomment-532694671,532694671,
practicalswift,2018-11-09T17:39:16Z,"Should be ""consensus"" :-)",https://github.com/bitcoin/bitcoin/pull/14696#discussion_r232335023,232335023,test/functional/p2p_invalid_block.py
