DrahtBot,2018-12-29T18:13:52Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--2502f1a698b3751726fa55edcda76cd3-->\n\n### Coverage\n\n| Coverage  | Change ([pull 15057](https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/15057/total.coverage/index.html), a830d1c4d3eeac4c869c9a061d64e2722a1a252a) | Reference ([mas",https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450510367,450510367,
ch4ot1c,2018-12-29T18:34:36Z,utACK,https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450511701,450511701,
MarcoFalke,2018-12-29T18:51:57Z,"For reference:\n\n* https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/master/total.coverage/src/validation.cpp.gcov.html#2855\n* https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/15057/total.coverage/src/validation.cpp.gcov.html#2855",https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450512602,450512602,
gmaxwell,2019-01-01T02:38:29Z,"IIRC if you     have a chain  A B C D E and invalidate D then invalidate B, then reconsider  B you'll end back up on E.",https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450706123,450706123,
MarcoFalke,2019-01-01T17:04:50Z,"Added a test for this as well (and fixed up the help text). Maybe the method should have been called `reconsiderchain` with the description ""Reconsiders all chains the given block is in""",https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450743616,450743616,
laanwj,2019-01-02T14:22:13Z,utACK fa38d3df69851212fea7544badadc1c3e5369bf5,https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450875180,450875180,
promag,2019-01-05T16:00:53Z,"utACK fa38d3d, don't mind the above nits..\n\nCandidate for backport?",https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-451667126,451667126,
MarcoFalke,2019-01-05T16:11:18Z,I'd say no. User-facing it is only a minor documentation fixup of a method that should not casually be used in production.,https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-451667837,451667837,
promag,2019-01-02T21:04:18Z,s/previous/initial/,https://github.com/bitcoin/bitcoin/pull/15057#discussion_r244853885,244853885,test/functional/rpc_invalidateblock.py
promag,2019-01-02T21:06:25Z,remove?,https://github.com/bitcoin/bitcoin/pull/15057#discussion_r244854327,244854327,test/functional/rpc_invalidateblock.py
promag,2019-01-02T21:07:10Z,remove?,https://github.com/bitcoin/bitcoin/pull/15057#discussion_r244854544,244854544,test/functional/rpc_invalidateblock.py
MarcoFalke,2019-01-03T10:57:47Z,Why? This is exactly what the test should be testing for. See https://github.com/bitcoin/bitcoin/pull/15057#issuecomment-450706123,https://github.com/bitcoin/bitcoin/pull/15057#discussion_r244965661,244965661,test/functional/rpc_invalidateblock.py
promag,2019-01-03T11:18:04Z,Yap sorry.,https://github.com/bitcoin/bitcoin/pull/15057#discussion_r244970263,244970263,test/functional/rpc_invalidateblock.py
