gmaxwell,2019-02-26T09:57:33Z,"Concept ACK. \n\nTravis failure looks like some kind of timeout. ",https://github.com/bitcoin/bitcoin/pull/15481#issuecomment-467374301,467374301,
DrahtBot,2019-02-27T19:04:29Z,<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nNo conflicts as of last run.,https://github.com/bitcoin/bitcoin/pull/15481#issuecomment-467989059,467989059,
TheBlueMatt,2019-06-06T14:04:41Z,"Travis failures are wholly unrelated to this PR, it seems.",https://github.com/bitcoin/bitcoin/pull/15481#issuecomment-499508000,499508000,
TheBlueMatt,2020-07-29T03:40:22Z,"I haven't worked on any consensus cleanup logic in some time, and it seems unlikely to be picked back up. Until there's a direction there, this probably doesn't make sense.",https://github.com/bitcoin/bitcoin/pull/15481#issuecomment-665412514,665412514,
MarcoFalke,2019-02-26T21:51:06Z,"The test takes a long time, so better move it up to approx where `mining_getblocktemplate_longpoll` is",https://github.com/bitcoin/bitcoin/pull/15481#discussion_r260503692,260503692,test/functional/test_runner.py
practicalswift,2019-02-26T22:05:29Z,Nit: `for _ in range(2013)` is more idiomatic when the index is unused :-),https://github.com/bitcoin/bitcoin/pull/15481#discussion_r260508873,260508873,test/functional/mining_timewarp_fork.py
jnewbery,2019-02-27T16:36:05Z,Any reason not to generate all blocks with a singe call here: `self.nodes[0].generate(nblocks=2013)`?,https://github.com/bitcoin/bitcoin/pull/15481#discussion_r260835523,260835523,test/functional/mining_timewarp_fork.py
jnewbery,2019-06-06T14:11:13Z,Any reason not to generate all blocks with a singe call here: `self.nodes[0].generate(nblocks=2013)`?,https://github.com/bitcoin/bitcoin/pull/15481#discussion_r291202229,291202229,test/functional/mining_timewarp_fork.py
TheBlueMatt,2019-06-06T14:29:21Z,The call times out if you do that.,https://github.com/bitcoin/bitcoin/pull/15481#discussion_r291211228,291211228,test/functional/mining_timewarp_fork.py
jnewbery,2019-06-18T14:55:48Z,Why restart node here? Is this just to reset mocktime? Can you call `setmocktime(0)`?,https://github.com/bitcoin/bitcoin/pull/15481#discussion_r294868853,294868853,test/functional/mining_timewarp_fork.py
TheBlueMatt,2019-12-04T19:32:34Z,Its just easier than trying to figure out what the current time is and then make sure that its correct?,https://github.com/bitcoin/bitcoin/pull/15481#discussion_r353940400,353940400,test/functional/mining_timewarp_fork.py
