laanwj,2019-04-10T08:53:13Z,"Thanks for adding documentation!\nACK fb776446810e8f8d3cada1613a30c68d4d3a6fff",https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-481602179,481602179,
jnewbery,2019-04-10T13:22:17Z,rebased,https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-481688382,481688382,
DrahtBot,2019-04-10T15:06:43Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#15796](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/15796.html) (CReserveKey should not allow passive key re",https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-481730307,481730307,
jnewbery,2019-04-10T16:18:45Z,rebased,https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-481759773,481759773,
jnewbery,2019-04-29T20:45:19Z,Fixed @jonatack's comment.,https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-487737263,487737263,
jnewbery,2019-05-01T18:54:48Z,Thanks for the review @jonatack . I've taken all your suggestions.,https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-488378789,488378789,
jonatack,2019-05-06T12:04:25Z,"Thanks, John. Re-ACK f1a77b0c5176306ca9f6f30211e32d3502ed4281, doc-only changes with respect to previous review.",https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-489596547,489596547,
jb55,2019-05-14T06:35:30Z,ACK f1a77b0c5176306ca9f6f30211e32d3502ed4281,https://github.com/bitcoin/bitcoin/pull/15777#issuecomment-492098224,492098224,
jonatack,2019-04-15T10:28:51Z,"For my understanding: doc/developer-notes.md mentions using `//! Description before the member` syntax to describe member or variable use to be picked up by Doxygen. Is the `//` syntax used here with the intent to not be picked up, or for another reason?",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r275298315,275298315,src/wallet/wallet.h
jnewbery,2019-04-29T20:45:05Z,"No reason, I just got the doxygen syntax wrong. Thanks for pointing this out!",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r279531901,279531901,src/wallet/wallet.h
jonatack,2019-05-01T08:51:12Z,"Possibly: ""to provide addresses or receive change.""",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r280028332,280028332,src/wallet/wallet.h
jonatack,2019-05-01T08:55:13Z,"Possibly: ""that key's existence,"" or ""that key's generation,""",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r280028854,280028854,src/wallet/wallet.h
jonatack,2019-05-01T09:03:04Z,"/s/, or/ or of/` (missing ""of"")",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r280029986,280029986,src/wallet/wallet.h
jonatack,2019-05-01T09:14:19Z,"Beginner perspective: ran `git show 02592f4c` to see what ""HD-split"" meant more exactly. Perhaps ""The wallet with HD chain split feature (HD-split) added...""",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r280031600,280031600,src/wallet/wallet.h
jonatack,2019-05-01T09:15:50Z,"Seems this ought to be either ""a set of"" or ""sets of""",https://github.com/bitcoin/bitcoin/pull/15777#discussion_r280031806,280031806,src/wallet/wallet.h
