gmaxwell,2019-04-25T13:55:26Z,Sounds good to me.,https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-486683091,486683091,
harding,2019-04-25T13:56:54Z,"Yes, please.",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-486683641,486683641,
sdaftuar,2019-04-25T14:12:27Z,"Concept ACK.  \n\nFYI I found the title of the PR and the PR description a bit confusing, because it wasn't clear to me if this was going to make it so that we would be able to configure a regtest node to accept non-standard transactions, or if regtest would be treated the same as mainnet and it would not be allowed at all.",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-486689765,486689765,
MarcoFalke,2019-04-25T14:20:17Z,"Adjusted title as requested by @sdaftuar \n\n\n\nAlso, please review commit-by-commit. The first commit is a cleanup of (8d1de43f0c Remove internal miner), the others are explained in the commit subject line.\n",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-486692831,486692831,
jnewbery,2019-04-25T14:46:42Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-486703922,486703922,
DrahtBot,2019-04-25T16:21:43Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#16264](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/16264.html) (policy: Add experimental -mempoolreplacemen",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-486741941,486741941,
luke-jr,2019-05-01T06:19:41Z,Concept NACK. Tests affected by policy (other than tests for the policy itself) are broken. Not enforcing policy on such tests helps improve test quality.,https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-488218717,488218717,
laanwj,2019-05-06T10:12:31Z,"I don't particularly like re-introducing a chain type enumeration. The introduction of the ChainParams structure was supposed to make the entire chain information data-driven (with a possibility to add custom hybrid chain types for specific testing, for example, in the future), and this seems a step back from this by making it easier to match on ""chain type"" instead of add a bit/parameter to the s",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-489571419,489571419,
luke-jr,2019-05-06T12:28:35Z,Perhaps instead it should be toggled in the test framework's default options?,https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-489602678,489602678,
MarcoFalke,2019-05-06T13:10:21Z,"In this case the property really is `IsMainnet`, which does not have a bit allocated in the struct.\n\nPersonally, I don't see why an enumeration can not have an additional type `ChainType::CUSTOM_HYBRID` if needed. But if I am also happy to use string matching on the chain name (could lead to weird run-time behavior) or add a bit to indicate if the params are the mainnet params.",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-489614414,489614414,
MarcoFalke,2019-05-22T18:25:03Z,"Remove the two intermediate `enum class ChainType` refactoring commits (thanks for the review @sipa and @laanwj) and fixed up the release notes in the last commit (thanks for the review @practicalswift, @Sjors and @jnewbery)",https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-494912179,494912179,
MarcoFalke,2019-05-22T21:02:41Z,Sorry had to rebase due to silent merge conflicts in the tests,https://github.com/bitcoin/bitcoin/pull/15891#issuecomment-494971931,494971931,
