gmaxwell,2019-05-08 20:20:26,@jamesob  any chance you can benchmark?,https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-490635977,490635977,
jamesob,2019-05-08 20:21:27,"@gmaxwell yep, running now.",https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-490636325,490636325,
jamesob,2019-05-09 00:36:38,"Performance came back negligibly different, though I'm not totally sure this PR worked for me as intended. I double-checked to see if `-fstack-reuse=none` made it into the build parameters, and I don't see it in any Makefiles after configuration (gcc (Ubuntu 5.4.0-6ubuntu1~16.04.10) 5.4.0 20160609):\n\n```sh\nWed 8 20:32 james/.bitcoinperf/fad88bd6c9f85e6e7f8fb66a94aa75c67d26b7d8\n$ grep -R 'f",https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-490700321,490700321,
MarcoFalke,2019-05-09 12:04:57,"It should be supported for all versions of gcc we support: https://gcc.gnu.org/onlinedocs/gcc-4.8.0/gcc/Code-Gen-Options.html\n\nI had to run `./autogen.sh && ./configure` for it to end up in the CXXFLAGS (they are printed at the end of `./configure`)\n\nAlso, the results of the micro benchmarks would be useful.",https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-490875442,490875442,
MarcoFalke,2019-05-09 12:33:28,"See for example, how it is picked up on trusty: https://travis-ci.org/bitcoin/bitcoin/jobs/529914026#L2522",https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-490884039,490884039,
laanwj,2019-05-14 18:08:52,"- Tested that build with clang still works, it rejects the argument as expected:\n```\nconfigure:23543: checking whether C++ compiler accepts -fstack-reuse=none\nconfigure:23562: /opt/clang90/bin/clang++ -std=c++11 -c -g -O2  -fstack-reuse=none -ggdb -DLIBEVENT_EXPERIMENTAL -DHAVE_BUILD_INFO -D__STDC_FORMAT_MACROS conftest.cpp >&5\nclang-9: error: unknown argument: '-fstack-reuse=none'\nconfi",https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-492347458,492347458,
DrahtBot,2019-05-15 22:59:32,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#15985](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/15985.html) (Add test for GCC bug 90348 by sipa)\n\nIf y",https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-492854874,492854874,
fanquake,2019-06-07 08:01:14,Included for backport in #16035.,https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-499795044,499795044,
MarcoFalke,2019-06-07 08:01:58,@fanquake What about 17.2?,https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-499795232,499795232,
fanquake,2019-06-07 08:03:58,@MarcoFalke I'll do that now so it's not forgotten.,https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-499795743,499795743,
fanquake,2019-06-07 08:31:13,Done in #16163.,https://github.com/bitcoin/bitcoin/pull/15983#issuecomment-499803149,499803149,
ryanofsky,2019-05-15 19:03:08,"Should have a comment here linking to the bug, because otherwise it's not obvious why you'd want this flag.",https://github.com/bitcoin/bitcoin/pull/15983#discussion_r284405985,284405985,configure.ac
MarcoFalke,2019-05-15 19:15:28,Done,https://github.com/bitcoin/bitcoin/pull/15983#discussion_r284410515,284410515,configure.ac
ryanofsky,2019-05-15 19:38:10,Maybe mention that -fstack-reuse flag is gcc specific and won't affect other compilers like clang.,https://github.com/bitcoin/bitcoin/pull/15983#discussion_r284418680,284418680,configure.ac
