MarcoFalke,2019-05-22 18:38:03,"Great docs! Mind to add a test for this, so we don't accidentally regress on this?",https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-494915972,494915972,
torkelrogstad,2019-05-22 21:16:15,@MarcoFalke I have not written a line of C++ in my life. Would the test be in C++ or Python? With some pointers I might be able to get something done.,https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-494976379,494976379,
hebasto,2019-05-23 09:28:19,Concept ACK,https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-495141055,495141055,
JosuGZ,2019-05-26 12:34:31,Concept ACK,https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-495996212,495996212,
laanwj,2019-05-28 09:46:29,"> @MarcoFalke I have not written a line of C++ in my life. Would the test be in C++ or Python? With some pointers I might be able to get something done.\n\nI don't think writing a test is required as part of a documentation PR, can do that later.",https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-496445562,496445562,
laanwj,2019-06-13 13:17:23,"So if the documentation here is incorrect, and does not actually describe the working of the software, can you please improve it, or should we close it?",https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-501698421,501698421,
torkelrogstad,2019-06-14 07:54:32,"It is still a bit unclear to me how the documentation is incorrect. Asked a question about it a while ago: https://github.com/bitcoin/bitcoin/pull/16076/files#r288499268\n\nping @ryanofsky ",https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-502008648,502008648,
hebasto,2019-06-14 08:04:12,"@torkelrogstad \n> It is still a bit unclear to me how the documentation is incorrect.\n\nThe code itself does not give options prefixed with a chain name any precedence over options placed into sections with headers.\n\n",https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-502011582,502011582,
torkelrogstad,2019-06-14 09:42:44,"Updated the docs, I believe I have addressed your comments. ",https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-502044497,502044497,
ryanofsky,2019-06-27 17:28:30,Looks like a linter on travis is also failing due to a trailing whitespace error.,https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-506438692,506438692,
fanquake,2019-07-24 06:33:42,Picked this up in #16448.,https://github.com/bitcoin/bitcoin/pull/16076#issuecomment-514500038,514500038,
ryanofsky,2019-05-22 19:22:57,"I think this is only true because there's no syntax for ending sections in the config file. Options prefixed with a section name and options written inside a section aren't treated differently or given different precedence. The reason why the rpcport is 3000 instead of 4000, is that the 3000 line is above the 4000 line and when options are duplicated in the config file, the first value is usually ",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r286647719,286647719,doc/bitcoin-conf.md
torkelrogstad,2019-05-22 20:54:00,"That sounds correct to me. IMO it'd be a good idea to have syntax to end sections, but I'd say that's outside the scope of this PR.",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r286682822,286682822,doc/bitcoin-conf.md
hebasto,2019-05-27 17:51:30,https://github.com/bitcoin/bitcoin/blob/76e2cded477bc483ec610212bdadf21fe35292d4/src/util/system.cpp#L229-L237,https://github.com/bitcoin/bitcoin/pull/16076#discussion_r287855730,287855730,doc/bitcoin-conf.md
laanwj,2019-05-28 09:48:13,"`ini` format doesn't have a way to end sections, and IMO also doesn't particularly need it",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r288018461,288018461,doc/bitcoin-conf.md
ryanofsky,2019-05-28 11:39:12,"My comment is saying the new documentation is wrong. It is not saying that that format should have a way to end sections. It is not true that ""Options prefixed with a chain name take precedence over options placed into sections with headers."" In fact, `section.option=value` and `[section]↵option=value` are interpreted exactly the same and have the same precedence. The difference in the example jus",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r288058641,288058641,doc/bitcoin-conf.md
hebasto,2019-05-28 11:50:46,"> ... and zombie values\n\nIIIC, these zombie values appeared after 4d34fcc7138f0ffc831f0f8601c50cc7f494c197.",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r288062764,288062764,doc/bitcoin-conf.md
torkelrogstad,2019-05-29 10:30:32,@ryanofsky Do you have an example config file where what I described in this PR doesn't hold?,https://github.com/bitcoin/bitcoin/pull/16076#discussion_r288499268,288499268,doc/bitcoin-conf.md
ryanofsky,2019-06-27 16:49:39,"In commit ""Add note on precedence of options in bitcoin.conf"" (f6ba37508663237c6f9d72d2d71a0307cbc6b78d)\n\nI think this first sentence is long and awkward. I'd replace it with ""Network specific options take precedence over non-network specific options."" This new paragraph is under the ""Network specific options"" section, and the previous paragraph explains clearly what network specific options a",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r298272271,298272271,doc/bitcoin-conf.md
ryanofsky,2019-06-27 17:00:02,"In commit ""Add note on precedence of options in bitcoin.conf"" (f6ba37508663237c6f9d72d2d71a0307cbc6b78d)\n\nWould drop this paragraph. I think it's pointing out trivia that's not useful (and also kind of obvious if you think about it). I'm pretty sure no one has any need or desire to end network sections. The only reason I brought up ending network sections earlier is to explain why I couldn't w",https://github.com/bitcoin/bitcoin/pull/16076#discussion_r298276320,298276320,doc/bitcoin-conf.md
