DrahtBot,2019-07-18 23:28:35,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#16400](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/16400.html) (refactor: Rewrite AcceptToMemoryPoolWorker(",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-513031077,513031077,
jnewbery,2019-07-22 21:34:22,Please rebase so this only contains the single commit for this PR.,https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-513963835,513963835,
TheBlueMatt,2019-07-23 20:08:50,Rebased. Now just one commit + master.,https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-514364535,514364535,
TheBlueMatt,2019-07-29 18:36:09,"Rebased after #16471. Also, @sdaftuar noted that I (a) misunderstood the meaning of setConflicts so the description in the comment was wrong in a few ways, and also we were allowing an RBF transaction to get in via the carve-out even when it shouldn't be allowed to (ie when it has more than one mempool ancestor). Sadly, after talking through it it doesn't seem like we'll be able to get away with n",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-516111698,516111698,
TheBlueMatt,2019-07-30 18:46:50,"Rewrote the comment at the top of the new block to now be a Mega Comment (tm). Hopefully its sufficient, though I can break it up and move it to corresponding code if you really want @sdaftuar, I just didn't bother cause its easy to rewrite without.",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-516545624,516545624,
MarcoFalke,2019-07-30 21:06:06,"Concept ACK, though I'd prefer if this was solved for all mempool txs and not only for a special case of lightning txs.",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-516595758,516595758,
TheBlueMatt,2019-07-31 21:07:41,"@MarcoFalke This isn't *completely* targeted only at lightning/carve-out/contract applications, though it obviously ensures that carve-out transactions are a supported use-case. Mostly trying to implement this in the general case is Hard (tm), but this does work for any only-directly-conflicts-with-1-transaction tx.",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-517021531,517021531,
ajtowns,2019-09-02 04:27:30,"ACK b9dc087c99d327aaa194de31282fedde864b7740 ; changes since last ack are comments and dropping the ""no new ancestors"" check for this carve out; code review, checked compiled and tests pass.\n\nDropping the checks seems correct -- the original behaviour when conflicting with one tx should have been:\n\n```\nif (!has_new_ancestors && desc > LimitDesc+1) Invalid();\nif (has_new_ancestors && de",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-526996994,526996994,
TheBlueMatt,2019-09-04 19:54:55,Tweaked the increment to use GetSizeWithDescendants() instead and updated the comment (with some slight readability tweaks @instagibbs may appreciate).,https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-528059466,528059466,
instagibbs,2019-09-04 19:58:01,"re-ACK https://github.com/bitcoin/bitcoin/pull/16421/commits/5ce822efbe45513ce3517c1ca731ac6d6a0c3b54\n\ncomment clarification and `GetSizeWithDescendants` change only.",https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-528060551,528060551,
ajtowns,2019-09-05 01:16:56,ACK 5ce822efbe45513ce3517c1ca731ac6d6a0c3b54 ; GetSizeWithDescendants is only change and makes sense,https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-528154120,528154120,
sipa,2019-09-06 18:25:51,Code review ACK 5ce822efbe45513ce3517c1ca731ac6d6a0c3b54. I haven't thought hard about the effect on potential DoS issues this policy change may have.,https://github.com/bitcoin/bitcoin/pull/16421#issuecomment-528963361,528963361,
