emilengler,2019-08-12 19:22:32,"I like it but I NACK about the change in the header file.\nWhy do you remove this comment?",https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-520560376,520560376,
ariard,2019-08-12 21:57:23,"@emilengler ""Note that the functions below take a pindexPrev as input: they compute information for block B based on its parent."" you mean this one ? I've tried to incorporate it in both `GetStateFor` and `GetStateSinceHeightFor` ones but should I make it clearer?",https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-520610767,520610767,
laanwj,2019-08-14 12:48:58,"ACK, thanks for adding documentation\n\n> Why do you remove this comment?\n\nThe comment is moved from the cpp to the header file, where it should be. Public functions should be documented at declaration and not at the implementation as this keeps the API documentation better together.",https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-521231858,521231858,
ariard,2019-08-14 17:58:18,"Updated at 001b58b with typos and corrections, thanks all for reviews",https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-521352480,521352480,
jnewbery,2019-08-15 14:23:58,ACK 001b58b20413f692166aca19c8f21cab64b2a09a after @ajtowns's nit is addressed.,https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-521659708,521659708,
ariard,2019-08-15 15:05:00,Updated at 6576a87 with @ajtowns comment addressed.,https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-521674636,521674636,
jnewbery,2019-08-15 15:25:20,ACK 6576a8765f67716aa6b87a2f0296fbac5956bec0,https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-521682221,521682221,
ajtowns,2019-08-16 02:45:41,ACK 6576a8765f67716aa6b87a2f0296fbac5956bec0,https://github.com/bitcoin/bitcoin/pull/16587#issuecomment-521864660,521864660,
practicalswift,2019-08-14 07:36:48,"Should be ""in-progress"" :-)",https://github.com/bitcoin/bitcoin/pull/16587#discussion_r313740555,313740555,src/versionbits.h
fanquake,2019-08-14 08:52:54,These match the `States` definitions in [BIP9](https://github.com/bitcoin/bips/blob/master/bip-0009.mediawiki#states) 👍 ,https://github.com/bitcoin/bitcoin/pull/16587#discussion_r313769702,313769702,src/versionbits.h
fanquake,2019-08-14 08:53:57,"```suggestion\n/** BIP 9 allows multiple softforks to be deployed in parallel. We cache per-period state for every one of them\n```",https://github.com/bitcoin/bitcoin/pull/16587#discussion_r313770172,313770172,src/versionbits.h
jnewbery,2019-08-14 14:30:45,"nit: drop the part about 'a monotonic clock', since it's confusing. The chain is _not_ monotonic (timestamps of blocks may precede their ancestors' timestamps). Besides, BIP 9 doesn't have any dependence on clock time.",https://github.com/bitcoin/bitcoin/pull/16587#discussion_r313906718,313906718,src/versionbits.h
jnewbery,2019-08-14 14:31:38,s/Caches state for/Caches state from/,https://github.com/bitcoin/bitcoin/pull/16587#discussion_r313907233,313907233,src/versionbits.h
ariard,2019-08-14 17:57:28,"Sorry was thinking in MTP. ""The expression GetMedianTimePast(block.parent) is referred to as MTP in the diagram above, and is treated as a monotonic clock defined by the chain."" In the context of Median-Time-Past, I think BIP 9 envision the chain as a monotonic counter. Further, softfork timeout doesn't rely on it ? \n(dropped it anyway, maybe too much)\n\n",https://github.com/bitcoin/bitcoin/pull/16587#discussion_r314007043,314007043,src/versionbits.h
ajtowns,2019-08-15 08:57:31,"The FAILED description there is verbatim from BIP-9 but it's nevertheless not accurate -- it'll be all blocks once the first retarget period after the timeout time is reached, if LOCKED_IN wasn't already reached.",https://github.com/bitcoin/bitcoin/pull/16587#discussion_r314226688,314226688,src/versionbits.h
