DrahtBot,2019-11-19 15:19:57,<!--cf906140f33d8803c4a75a2196329ecb-->Needs rebase,https://github.com/bitcoin/bitcoin/pull/16948#issuecomment-555555407,555555407,
fanquake,2020-01-05 03:18:56,"Closing ""Up for Grabs"". There's a couple of improvements here that could be picked up.",https://github.com/bitcoin/bitcoin/pull/16948#issuecomment-570845536,570845536,
laanwj,2019-09-25 09:21:42,Can you give an example for all of these? (like the cases above),https://github.com/bitcoin/bitcoin/pull/16948#discussion_r328017599,328017599,doc/developer-notes.md
jonatack,2019-09-26 16:49:13,suggestion for readability: s/`argument`s/`argument` names/,https://github.com/bitcoin/bitcoin/pull/16948#discussion_r328719215,328719215,doc/developer-notes.md
jonatack,2019-09-26 16:55:28,"End all or none of these item sentences with a period/full stop, e.g. "".""; in this document the other item lists use periods/full stops. ",https://github.com/bitcoin/bitcoin/pull/16948#discussion_r328721948,328721948,doc/developer-notes.md
jonatack,2019-09-26 16:57:10,Wrapping lines at 80 or 120 characters for these changes could be nice for source code readability on smaller screens.,https://github.com/bitcoin/bitcoin/pull/16948#discussion_r328722667,328722667,doc/developer-notes.md
ch4ot1c,2019-10-02 06:36:48,"VSCode plugin ""Markdown All in One"" updated the ToC automatically, oops - shall we keep?",https://github.com/bitcoin/bitcoin/pull/16948#discussion_r330389783,330389783,doc/developer-notes.md
ch4ot1c,2019-10-02 06:41:15,Added some examples and simplified recommendations.,https://github.com/bitcoin/bitcoin/pull/16948#discussion_r330390813,330390813,doc/developer-notes.md
laanwj,2019-11-20 11:17:27,"TOC updates are welcome, but please keep the original spacing",https://github.com/bitcoin/bitcoin/pull/16948#discussion_r348425332,348425332,doc/developer-notes.md
jonatack,2020-01-05 05:42:41,The #debug_lockorder link should not have been changed; the changed version no longer works.,https://github.com/bitcoin/bitcoin/pull/16948#discussion_r363070948,363070948,doc/developer-notes.md
fanquake,2020-01-05 05:45:07,"There are a couple improvements in the table of contents, but any unneeded formatting changes can be dropped.",https://github.com/bitcoin/bitcoin/pull/16948#discussion_r363071000,363071000,doc/developer-notes.md
jonatack,2020-01-05 06:23:21,Agreed. Minimising.,https://github.com/bitcoin/bitcoin/pull/16948#discussion_r363072250,363072250,doc/developer-notes.md
