jamesob,2019-09-24 14:26:44,ACK,https://github.com/bitcoin/bitcoin/pull/16953#issuecomment-534584217,534584217,
MarcoFalke,2019-09-24 15:37:31,">  One thing I have been missing in the unit test logging description before is whether there is a good way to view the LogPrint() messages that go to debug.log when they are invoked from a unit test.\n\nIn theory they are written to the `debug.log` in the temp data dir (however that dir is deleted when the destructor of the testing setup is called).\n\nUsually I use `LogInstance().m_print_to_",https://github.com/bitcoin/bitcoin/pull/16953#issuecomment-534616463,534616463,
DrahtBot,2019-09-24 17:10:08,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#8994](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/8994.html) (Testchains: Introduce custom chain whose cons",https://github.com/bitcoin/bitcoin/pull/16953#issuecomment-534655708,534655708,
MarcoFalke,2019-09-25 18:27:54,"\nACK afdcfb237e0d86f65eaceff9c3abc181c6f5576e\n\n<details><summary>Show signature and timestamp</summary>\n\nSignature:\n\n```\n-----BEGIN PGP SIGNED MESSAGE-----\nHash: SHA512\n\nACK afdcfb237e0d86f65eaceff9c3abc181c6f5576e\n-----BEGIN PGP SIGNATURE-----\n\niQGzBAEBCgAdFiEE+rVPoUahrI9sLGYTzit1aX5ppUgFAlwqrYAACgkQzit1aX5p\npUixVgv+IiRmzeRMPczLxZhkhHVl+Q8rzkoEJbz79Ph/CZmUXz94LhDGyPi",https://github.com/bitcoin/bitcoin/pull/16953#issuecomment-535151714,535151714,
michaelfolkson,2019-09-26 12:44:10,ACK afdcfb237e0d86f65eaceff9c3abc181c6f5576e. Nice additions.,https://github.com/bitcoin/bitcoin/pull/16953#issuecomment-535485038,535485038,
laanwj,2019-09-30 07:26:50,ACK 43e7d576f590e90ad7d1ba3d550671a7958f1188,https://github.com/bitcoin/bitcoin/pull/16953#issuecomment-536438110,536438110,
practicalswift,2019-09-24 13:21:10,Nit: `s/bitcoin/Bitcoin Core/`,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327609917,327609917,src/test/README.md
practicalswift,2019-09-24 13:21:26,"Nit: Use `setup_common.cpp` instead of ""setup_common.cpp"".",https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327610045,327610045,src/test/README.md
MarcoFalke,2019-09-24 13:58:38,Why remove? Is this way no longer possible?,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327630835,327630835,test/README.md
fjahr,2019-09-24 14:09:46,It still works but getting the pid from within pdb is just much simpler. But I can add it back if we want to keep it in.,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327637165,327637165,test/README.md
fjahr,2019-09-24 14:14:59,done,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327640204,327640204,src/test/README.md
fjahr,2019-09-24 14:15:08,done,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327640295,327640295,src/test/README.md
MarcoFalke,2019-09-24 14:44:22,"Not everyone is running with pdb, so to keep the fallback would be nice",https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327657492,327657492,test/README.md
mzumsande,2019-09-24 14:51:50,typo: `gdb`,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327662047,327662047,src/test/README.md
mzumsande,2019-09-24 14:54:39,"typo: 2 spaces before ""The""",https://github.com/bitcoin/bitcoin/pull/16953#discussion_r327663728,327663728,src/test/README.md
fjahr,2019-09-25 13:26:13,done,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328120231,328120231,src/test/README.md
fjahr,2019-09-25 13:26:27,done,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328120348,328120348,src/test/README.md
fjahr,2019-09-25 13:31:37,"Hm, just curious: is there another practical way to pause a functional test besides pdb? Anyway, since it doesn't hurt, I added it back now :)",https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328123303,328123303,test/README.md
mzumsande,2019-09-25 15:37:28,"I rarely use pdb but often add some manual `input(""Pause"")` breakpoints. (while running the test directly, not via `test_runner`).",https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328195818,328195818,test/README.md
fjahr,2019-09-25 15:44:47,@mzumsande I see. Thanks!,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328199714,328199714,test/README.md
MarcoFalke,2019-09-25 17:11:58,"```py\nimport time; time.sleep(10000);",https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328240227,328240227,test/README.md
jonatack,2019-09-26 10:58:23,suggestion: s/examine/see/,https://github.com/bitcoin/bitcoin/pull/16953#discussion_r328558445,328558445,src/test/README.md
