b51bae1a5a4fa8ef7825dd1bb09e3f47f96d7a5a,2019-10-26 12:05:59,fanquake,"src/random.cpp,src/random.h"
cea3902015185adc88adbd031d919f91bc844fd7,2019-10-26 19:20:12,sipa,"src/Makefile.am,src/random.cpp,src/randomenv.cpp,src/randomenv.h"
723c79666770b30cce9f962bed5ece8cc7d74580,2019-10-27 19:52:31,sipa,"src/Makefile.am,src/compat/cpuid.h,src/crypto/sha256.cpp,src/random.cpp"
c2a262a78c3bcc4d5e13612ab0214874abe15de0,2019-10-27 00:14:21,sipa,src/randomenv.cpp
2554c1b81bb8c40e1989025c6f18e7935720b156,2019-10-27 01:05:10,sipa,src/randomenv.cpp
a81c494b4c9a8c2f1a319a03375826f12863706f,2019-10-28 17:42:25,sipa,"configure.ac,src/randomenv.cpp"
11793ea22e1298fa7d3b44a5b6d20830248d8cf4,2019-10-27 01:17:20,sipa,src/randomenv.cpp
483b94292e89587e5ab40a30b8a90e2f56e847f3,2019-10-27 19:36:05,sipa,src/randomenv.cpp
d61f2bb076d8f17840a8e79f1583d7f6e3e6d09a,2019-10-29 18:55:59,sipa,"src/init.cpp,src/random.cpp,src/random.h,src/scheduler.cpp"
64e1e022cedf6776c5dffd488ca2e766adca5dc3,2019-10-29 19:35:06,sipa,src/randomenv.cpp
d1c02775aa74a0610809ac54bb241ddad61d2d8c,2019-11-05 18:54:20,sipa,"src/crypto/sha512.h,src/random.cpp"
