paymog,2019-12-15 08:17:46,ACK 1f448777b76dfddf0e243f9bbf5dd08fea34f386,https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-565787613,565787613,
promag,2019-12-18 19:25:25,@kristapsk thanks! Have you benchmarked with skip=32k?,https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-567174855,567174855,
laanwj,2019-12-19 12:49:14,"Concept ACK, good to simplify this code, but does need careful review that it still does the same under all circumstances",https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-567476433,567476433,
jonasschnelli,2019-12-22 23:45:34,utACK 1f448777b76dfddf0e243f9bbf5dd08fea34f386,https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-568313397,568313397,
emilengler,2020-02-02 19:03:16,"tACK 1f44877, much more elegant way.\nI tested it and the results (in terms of return value) are the same, good work :+1: ",https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-581165915,581165915,
ryanofsky,2020-02-06 18:55:47,"Would be good to use ""refactor"" tag in PR / commit titles, and explicitly say no behavior is changing",https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-583056354,583056354,
laanwj,2020-02-13 15:32:39,"This seems so close to merge.\n(not sure it's worth invalidating existing ACKs for a comment / commit message change, but will leave it to @promag )",https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-585817437,585817437,
promag,2020-02-13 15:47:10,"Incorporated @ryanofsky suggestions, should be easy to re-ack since only change is adding back a comment.",https://github.com/bitcoin/bitcoin/pull/17746#issuecomment-585825201,585825201,
jonatack,2019-12-14 17:40:48,"This might be more explicit and has a simpler `push_backV`\n```diff\n+ const std::vector<UniValue, std::allocator<UniValue> >::const_reverse_iterator txs_end = txs.rend() - nFrom;\n  UniValue result{UniValue::VARR};\n- result.push_backV({ txs.rend() - nFrom - nCount, txs.rend() - nFrom });\n+ result.push_backV({txs_end - nCount, txs_end});\n```",https://github.com/bitcoin/bitcoin/pull/17746#discussion_r357929476,357929476,src/wallet/rpcwallet.cpp
promag,2019-12-18 15:17:48,I'll leave the suggestion open for others to weight in.,https://github.com/bitcoin/bitcoin/pull/17746#discussion_r359401525,359401525,src/wallet/rpcwallet.cpp
ryanofsky,2020-02-06 18:43:13,"> I'll leave the suggestion open for others to weight in.\n\nJust one opinion, but I prefer the current version without the extra variable",https://github.com/bitcoin/bitcoin/pull/17746#discussion_r376013810,376013810,src/wallet/rpcwallet.cpp
ryanofsky,2020-02-06 18:44:33,"In commit ""rpc: Remove vector copy from listtransactions"" (1f448777b76dfddf0e243f9bbf5dd08fea34f386)\n\nMaybe consider keeping the ""// Return oldest to newest"" comment here. Helps explain this line at a higher level, and it pairs together with the earlier ""// ret is newest to oldest"" comment in the code.",https://github.com/bitcoin/bitcoin/pull/17746#discussion_r376014488,376014488,src/wallet/rpcwallet.cpp
jonatack,2020-02-06 19:01:39,FWIW kudos on @promag's response to leave it open for others to weigh in -- I noted it as a good example to follow.,https://github.com/bitcoin/bitcoin/pull/17746#discussion_r376023042,376023042,src/wallet/rpcwallet.cpp
