jb55,2020-05-25 16:40:11,Concept ACK,https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-633647172,633647172,
practicalswift,2020-06-28 19:21:15,Anything left to do here? :)  The changes are limited to `src/test/fuzz/` and should hopefully be trivial to review.,https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-650809891,650809891,
Crypt-iQ,2020-07-14 02:13:46,"Fails to build with the same error as #19065 , rebasing it onto master reveals that `PushBlockHash` & `PushInventory` no longer exist since 344e831de54f7b864f03a90f6cb19692eafcd463.",https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-657924864,657924864,
practicalswift,2020-07-14 07:58:52,@Crypt-iQ Thanks for reporting. Should be fixed now. Would you mind retrying? :),https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-658032591,658032591,
Crypt-iQ,2020-07-17 22:26:30,@practicalswift Fuzzing with clang-10 libfuzzer. afl-gcc/g++ can also build on a22b42e.,https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-660363101,660363101,
Crypt-iQ,2020-08-16 18:45:40,Tested ACK a22b42e,https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-674562510,674562510,
practicalswift,2020-08-26 19:35:32,Ready for merge?,https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-681082086,681082086,
MarcoFalke,2020-08-27 14:35:47,needs rebase,https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-681989205,681989205,
practicalswift,2020-08-27 17:52:37,@jb55 @Crypt-iQ @MarcoFalke Thanks a lot for reviewing. Now rebased. Please re-review :),https://github.com/bitcoin/bitcoin/pull/19067#issuecomment-682099709,682099709,
practicalswift,2020-05-25 15:18:43,Note to self: `TestingSetup` introduces non-determinism and is way too heavy to use just to disable logging. Consider switching to something more lightweight which does exactly what we want and nothing more :),https://github.com/bitcoin/bitcoin/pull/19067#discussion_r429986672,429986672,src/test/fuzz/net.cpp
MarcoFalke,2020-05-26 12:05:32,"```suggestion\n    const NetPermissionFlags net_permission_flags = fuzzed_data_provider.ConsumeBool() ?\n    fuzzed_data_provider.PickValueInArray<NetPermissionFlags>({\n```\n\nCouldn't this start a new line after the `?` Seems overly wasteful to fill the screen with 8 * 90 pure whitespace",https://github.com/bitcoin/bitcoin/pull/19067#discussion_r430361390,430361390,src/test/fuzz/net.cpp
