practicalswift,2020-06-08 11:16:48,"Concept ACK\n\nNice first-time contribution @bliotti - welcome as a contributor! :)",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-640539908,640539908,
bliotti,2020-06-08 13:25:23,"Thanks, I have always wanted to contribute! I will follow up with the mentioned suggestions. :)",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-640601219,640601219,
bliotti,2020-06-08 20:05:34,"> Concept ACK, thanks for working on this. 6e4a07c83ccc099e3b60d644d58e3f6558dca021 works on macOS 10.15.4 for the standard set of binaries we download, release candidates, and for compiling v0.20.0.\n> \n> \n> \n> Can you squash your commits?\n> \n> \n> \n> You can also remove `previous_release.sh` and switch over to this Python version (in a separate commit).\n> \n> \n> \n> Are you using Python ",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-640857566,640857566,
fjahr,2020-06-18 14:05:08,"Concept ACK\n\nGreat first contribution @bliotti! I will take a closer look one you have squashed the commits. You can make yourself a co-author as well, I think. And I think @Sjors mistyped, it should be `script: ...`.",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-646041127,646041127,
DrahtBot,2020-07-02 23:46:36,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #19013 (test: add v0.20.0 to backwards compatibility test by Sjors)\n\nIf you consider this pull request important, please",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-653263182,653263182,
fjahr,2020-07-04 12:03:39,"I think for the ""co-authored-by:"" to work as intended it needs to be at the end of the commit message. You can check that it shows both profile pictures and in Github it says 'bliotti and bboot committed'. You also only need to list the additional co-authors, not the author of the commit itself (yourself in this case).\n\nSee [`4950e5d` (#19055)](https://github.com/bitcoin/bitcoin/pull/19055/com",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-653757509,653757509,
fjahr,2020-07-05 21:30:42,"re-ACK 9c34aff39309b8adc99d347e07b6ddb5366498e9\n\nSide-note: Waiting for author label can be removed.",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-653941603,653941603,
bliotti,2020-07-05 22:04:52,thanks for the help @fjahr :+1: ,https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-653944664,653944664,
Sjors,2020-07-09 16:22:07,tACK 9c34aff39309b8adc99d347e07b6ddb5366498e9,https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-656223736,656223736,
bliotti,2020-07-20 11:21:26,Is there anything I need to do now?,https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-660967066,660967066,
fjahr,2020-07-20 11:28:49,"> Is there anything I need to do now?\n\nNot really, but you could respectfully ping someone to get another review/ACK. With three ACKs this should be ready for merge and if maintainers don't take notice then you could post a message in IRC that this might be RFM after a few days.",https://github.com/bitcoin/bitcoin/pull/19205#issuecomment-660970470,660970470,
