laanwj,2020-06-09 14:08:48,Code review ACK 4c4df6bf61104a4946479fccc7885dc0fe05dbd8,https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-641322171,641322171,
sipa,2020-06-09 14:52:58,"@luke-jr I don't think that's necessary. They (by default) have a 24 hour limit only, and during that time, they will just be treated as a real ban instead of a discouragement.",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-641349507,641349507,
jnewbery,2020-06-10 00:08:18,"This seems like an improvement, but it leaves the `BanMan` with a slightly odd and inconsistent interface:\n\n- `Ban()` has an enum as its second parameter, but that parameter is only ever set to `BanReasonManuallyAdded`\n- If `IsBanned()` is called with an address, it returns whether an address is discouraged or banned. If it's called with a subnet, it returns if it's banned, but not discourag",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-641643725,641643725,
sipa,2020-06-10 00:12:53,"@jnewbery Most of those things are no longer true, apart from the BanReason being superfluous now (there is a separate IsBannedOrDiscouraged). I think a follow-up can remove BanReason altogether, but I think it's preferable to not have a SetBanLevel - discouragement and banning are very different concepts (and it wouldn't be unreasonable to move discouragement elsewhere entirely).",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-641644913,641644913,
DrahtBot,2020-06-10 01:24:53,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #19316 ([net] Cleanup logic around connection types by amitiuttarwar)\n* #19315 ([tests] Allow outbound & block-relay-only",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-641664852,641664852,
naumenkogs,2020-06-10 13:13:47,Concept ACK.,https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-641999691,641999691,
pstratem,2020-06-10 18:12:09,@jnewbery agreed that the interface is a little odd now but think that should be dealt with in a separate pr,https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642175291,642175291,
cculianu,2020-06-10 18:56:47,You really should add a benchmark for this..,https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642196131,642196131,
cculianu,2020-06-10 19:20:37,What happens if someone floods the filter with a big block of 1 million IPv6 addresses? ,https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642207388,642207388,
sipa,2020-06-10 19:33:10,"Rolling Bloom filters only keep the last N elements added; 50000 in this case. Their performance is not affected by how many elements are kept.\n\nSo worst case, being flooded with IPs would reduce the effectiveness of the filter in keeping broken peers out.",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642213438,642213438,
cculianu,2020-06-10 19:43:00,"Right, so you can flood the filter with even something like 150k inserts, saturate it to always return false positive, and then all peers are ""equally discouraged"" (meaning you have no ban policy anymore)....\n",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642218185,642218185,
sipa,2020-06-10 19:45:35,"No, the false positive rate never goes above the specified one (0.000001 in this case). The rolling aspect discards old entries.",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642219432,642219432,
jnewbery,2020-06-10 19:47:04,"@cculianu - I suggest you take a look at the `CRollingBloomFilter` implementation. The rolling bloom filter is actually multiple generations of bloom filters, so you can't saturate it by adding many entries. It'll just discard the oldest generation when it reaches (max entries * 3/2).",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642220132,642220132,
cculianu,2020-06-10 20:20:04,"Indeed, thanks for the explanation.",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642235845,642235845,
cculianu,2020-06-10 20:39:16,"Ok, so basically:\n\n- this is as if you had a typical hash table implementation clamped to 75k most recent entries\n- but it has no ability to unban\n- it only eats about 67k memory\n- small tiny chance of false positives.\n- slightly slower insertions and lookups than a hash table, but not monstrously so.\n\nGot it.  Thanks.\n",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642245289,642245289,
sipa,2020-06-10 20:44:09,"@cculianu Indeed. Your numbers are a bit off: it only guarantees 50000 entries (it keeps up to 75000, but the last 25000 are removed whenever that number is exceeded). It also uses around 528 KiB (at an fprate of 1/1000000).",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642247743,642247743,
cculianu,2020-06-10 20:49:37,"Oh right.. it's 67k uint64's -> 528KiB.  My bad.\n\nHmm.  For ~800KiB you could have just implemented a regular hash table (std::unordered_map, etc) or a std::unordered_set, clamped it to 50k items, and then had the ability to query it, iterate over it, show it in the UI, and/or remove individual items.\n",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642250414,642250414,
sipa,2020-06-10 20:53:48,"@cculianu Yeah, we do have a limitedmap data structure that implements effectively that. Its memory usage is significantly worse though (because every entry in the map needs several pointers, plus dynamic allocation overhead). If I recall the number correctly it would be 4 MiB at least for 50000 entries.",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642252444,642252444,
cculianu,2020-06-10 21:33:43,"I'm aware of that data structure but it's not a hash table, it's a red-black tree based map, which also stores a reverse-map as well.  It's not very efficient for this situation...\n\nYou can probably get away with just a straight hash table (unordered_map) with some wrapper that periodically sweeps it to clamp it to some max size -- probably just remove the oldest entries by creation time.  Whi",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642279750,642279750,
sipa,2020-06-10 21:38:15,"Hash table or red-black tree doesn't matter much. It's (table size + 2 pointers + alloc overhead per entry) or (3 pointers + 1 int + alloc overhead per entry), and in both cases you need a way to iterate efficiently in order of insertion (either through a separate map like limitedmap does, or by doubly-linking the elements together like is supported by boost::multi_index). Even if you don't do tha",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642281599,642281599,
pstratem,2020-06-10 23:51:14,ACK 4131caf2431054adf9ad6641386dfbe922af0dc5,https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642324926,642324926,
sipa,2020-06-11 00:52:47,"I've made a few changes suggested by @jnewbery. The PR is now split into two commits:\n* The first is a minimal change that implements the new behavior (smaller than the previous PR), plus release notes and RPC documentation changes.\n* The seconds makes the distinction between discouraging and banning much cleaner in the interface, removing BanReason altogether.\n\nI'm happy to split off the ",https://github.com/bitcoin/bitcoin/pull/19219#issuecomment-642341655,642341655,
