MarcoFalke,2020-11-17 07:33:29,How is this different from includeconf with the rpcauth in it as the only content?,https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-728743668,728743668,
promag,2020-11-17 08:48:39,"@MarcoFalke I thought about suggesting that but main issue is that `-includeconf` can't be specified in the command line. Also the file pointed by `-includeconf` can have more configurations.\n\nMaybe @ruimarinho and @NicolasDorier can weight on the the approach.",https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-728781240,728781240,
promag,2020-11-17 13:43:01,Your approach doesn't support multiple credentials. I also see the cookie as a local authentication mechanism.,https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-728935177,728935177,
laanwj,2020-11-18 10:29:40,"Kind of meh on adding yet another RPC authentication method that's only a slight variation from the other ones, but as long as it (and all combinatorial options it opens up) are tested sufficiently I'm not strongly against it either.\n",https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-729586864,729586864,
promag,2020-11-18 11:36:22,"@laanwj while @ryanofsky approach is indeed simple (just misses the detail of not erasing cookie file on shutdown) it doesn't support different users with different whitelists. Also note that @ryanofsky approach changes cookie semantic - the cookie is available while the daemon is running. I'd even limit cookie authentication to loopback interface.\n\n> the cookie value would be automatically pi",https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-729622254,729622254,
ryanofsky,2020-11-18 12:40:03,"@promag sure, and thanks for implementing this. I just suggested the [`-rpccookiegenerate`](https://github.com/bitcoin/bitcoin/pull/20407#pullrequestreview-532347871) boolean option because it seemed to directly address the reported issue, because it seemed simple to implement as a ~one-line change, and because it seemed like a simpler configuration to set up: not requiring any scripting or hashin",https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-729651383,729651383,
promag,2020-11-18 12:48:40,I'd say the advantage of `-rpcauthfile` is to have a file with just the token and so more suitable as a shared secret.,https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-729655483,729655483,
promag,2020-11-18 12:49:46,"> I do agree with you that it would probably make sense to stop allowing cookie authentication from non-local connections by default.\n\nOk, this can be submitted on a separate branch.",https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-729656006,729656006,
DrahtBot,2020-11-23 22:17:12,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #20461 (rpc: Validate -rpcauth arguments by promag)\n\nIf you consider this pull request important, please also help to re",https://github.com/bitcoin/bitcoin/pull/20407#issuecomment-732457946,732457946,
ryanofsky,2020-11-17 13:15:51,"I guess it's a preexisting problem, but lack of any error feedback when the syntax is wrong seems like a usability nightmare",https://github.com/bitcoin/bitcoin/pull/20407#discussion_r525144140,525144140,src/httprpc.cpp
promag,2020-11-17 13:40:34,"Yeah it is, can be improved.",https://github.com/bitcoin/bitcoin/pull/20407#discussion_r525159841,525159841,src/httprpc.cpp
