jamesob,2021-04-27 19:24:28,"Concept ACK, will review soon",https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-827858324,827858324,
practicalswift,2021-04-27 20:42:44,Concept ACK,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-827916374,827916374,
fanquake,2021-04-28 03:00:03,Concept ACK,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-828104932,828104932,
DrahtBot,2021-04-28 06:14:29,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #20487 by practicalswift\n* #20331 by LarryRuane\n* #19438 by ajtowns\n* #18685 by jnewbery\n* #16981 by LarryRuane\n* #15",https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-828175301,828175301,
kiminuo,2021-04-28 06:25:05,"Concept ACK.\n\nIt looks like a very nice simplification which makes it harder to make a mistake.",https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-828180540,828180540,
DrahtBot,2021-05-03 09:31:33,<!--4a62be1de6b64f3ed646cdc7932c8cf5-->\n🕵️ @sipa has been requested to review this pull request as specified in the REVIEWERS file.,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-831141389,831141389,
kiminuo,2021-06-03 07:32:15,"The main change in the first commit (fa216cc7) seems to be: ""refactor: Add `CChainState` member to `CChainState` class"" rather than ""refactor: Remove ::Params() global from CChainState"".\n\nAlso, the changes like this https://github.com/bitcoin/bitcoin/pull/21789/commits/fa216cc79267ba25fa3709982626def61f4abe2a#diff-97c3a52bc5fad452d82670a7fd291800bae20c7bc35bb82686c2c0a4ea7b5b98R2284 in the fir",https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-853647837,853647837,
jnewbery,2021-06-09 10:58:43,Concept ACK,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-857598265,857598265,
MarcoFalke,2021-06-10 09:49:46,"I think the two commits are nicely split up. The first one removes it from *inside* the functions, the second removes the *arg* of the functions.",https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-858480192,858480192,
jnewbery,2021-06-10 10:24:26,ACK 2222da832066d06be3ff8752e49008fef71eb668,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-858504434,858504434,
MarcoFalke,2021-06-14 07:22:20,Rebased,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-860448446,860448446,
jnewbery,2021-06-14 08:40:15,ACK fa0d9211ef87a682573aaae932c0c440acbcb8a8,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-860505153,860505153,
kiminuo,2021-06-14 09:40:32,utACK fa0d9211,https://github.com/bitcoin/bitcoin/pull/21789#issuecomment-860547652,860547652,
kiminuo,2021-04-28 06:18:59,"nit: This member variable looks like the only one without a Doxygen comment in this section. Maybe add one?\n\nIs `protected` better here than `private`? It compiled for me even when the variable is `private`.",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r621846942,621846942,src/validation.h
MarcoFalke,2021-04-28 06:38:37,"Thanks, fixed. Also fixed up some typos.",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r621857362,621857362,src/validation.h
MarcoFalke,2021-04-28 06:54:17,"Actually, changing to `private` didn't compile, so I left this as-is for now.",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r621866700,621866700,src/validation.h
kiminuo,2021-04-28 07:03:54,I moved only `const CChainParams& m_params;` to `private` section and it did compile for me. It confuses me but ok.,https://github.com/bitcoin/bitcoin/pull/21789#discussion_r621872474,621872474,src/validation.h
MarcoFalke,2021-04-28 07:21:53,"`private` and `protected` are the same anyway, unless the class is derived ",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r621884029,621884029,src/validation.h
kiminuo,2021-06-02 10:18:06,"(For the sake of completeness, context for the change is [here](https://github.com/bitcoin/bitcoin/pull/21816).)",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r643821771,643821771,src/chain.h
jnewbery,2021-06-10 10:22:15,"If you touch this branch again, consider removing the local `chainparams` reference and just calling `Params()` in the call to `PeerManager::make()` below.",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r649053272,649053272,src/test/util/setup_common.cpp
MarcoFalke,2021-06-13 07:46:42,"The line will be touched again in the follow-up that removes `::Params()`, so I'll leave it as is for now.",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r650485213,650485213,src/test/util/setup_common.cpp
kiminuo,2021-06-14 09:56:25,Is `#include <chainparams.h>` still needed?,https://github.com/bitcoin/bitcoin/pull/21789#discussion_r650808375,650808375,src/test/interfaces_tests.cpp
MarcoFalke,2021-06-14 13:57:53,"Thanks, will try to remove if I have to force push",https://github.com/bitcoin/bitcoin/pull/21789#discussion_r650972460,650972460,src/test/interfaces_tests.cpp
