hebasto,2021-04-30 18:46:03,"It'd be nice to update the [`doc/files.md`](https://github.com/bitcoin/bitcoin/blob/master/doc/files.md) as well:\n\nhttps://github.com/bitcoin/bitcoin/blob/2b45cf0bcdb3d2c1de46899e30885c953b57b475/src/index/coinstatsindex.cpp#L100\n",https://github.com/bitcoin/bitcoin/pull/21818#issuecomment-830292464,830292464,
jonatack,2021-04-30 19:21:36,"Good idea @hebasto. Thanks, done. ",https://github.com/bitcoin/bitcoin/pull/21818#issuecomment-830321077,830321077,
Sjors,2021-05-01 12:23:37,utACK 54133c59b80ccac85eaebb0668cd2f0fe360b323,https://github.com/bitcoin/bitcoin/pull/21818#issuecomment-830624358,830624358,
MarcoFalke,2021-05-01 16:27:47,cr ACK 54133c59b80ccac85eaebb0668cd2f0fe360b323,https://github.com/bitcoin/bitcoin/pull/21818#issuecomment-830657866,830657866,
clarkmoody,2021-05-01 16:40:44,utACK 54133c5,https://github.com/bitcoin/bitcoin/pull/21818#issuecomment-830659386,830659386,
MarcoFalke,2021-05-01 07:22:26,"test/functional/rpc_blockchain.py:        # muhash should not be included in gettxoutset unless requested.\n",https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624436391,624436391,src/init.cpp
MarcoFalke,2021-05-01 07:23:06,"This is wrong. Indexes are compatible with pruning, if done right.",https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624436490,624436490,share/examples/bitcoin.conf
MarcoFalke,2021-05-01 07:23:37,"(same mistake in the test, that can be fixed as well)",https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624436533,624436533,src/init.cpp
jonatack,2021-05-01 11:40:57,"If I understand correctly, @fjahr is working on that but for the moment it isn't the case yet\n\nsrc/init.cpp#L403\n```cpp\n    argsman.AddArg(""-prune=<n>"", strprintf(""Reduce storage requirements by enabling pruning (deleting) of old blocks. This allows the pruneblockchain RPC to be called to delete specific blocks, and enables automatic pruning of old blocks if a target size in MiB is provide",https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624497873,624497873,share/examples/bitcoin.conf
MarcoFalke,2021-05-01 11:51:48,"I presumed that #15946 changed this for all index types, but maybe I am mistaken.",https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624499115,624499115,share/examples/bitcoin.conf
jonatack,2021-05-01 11:55:41,"In principle it seems it should be doable: https://github.com/bitcoin/bitcoin/pull/19521/#discussion_r603607663 (not sure this GitHub link is working so provided in code markdown too)\n\n`https://github.com/bitcoin/bitcoin/pull/19521/#discussion_r603607663`",https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624499528,624499528,share/examples/bitcoin.conf
jonatack,2021-05-01 11:58:46,updating,https://github.com/bitcoin/bitcoin/pull/21818#discussion_r624499948,624499948,src/init.cpp
