luke-jr,2013-01-27T01:08:52Z,Isn't this redundant with #1816 / 46888e6abca27dd6d2132aab7cd63f25363057c6 ?\n,https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12745685,12745685,
sipa,2013-01-27T01:21:12Z,"@luke-jr seems I completely forgot about that. Shouldn't be hard to integrate rejection reasons into this, though.\n",https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12745825,12745825,
BitcoinPullTester,2013-01-27T01:46:14Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/a54f890b0ece69a2174c02ac8b877011595e93fc for binaries and test log.\n",https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12746090,12746090,
sipa,2013-01-28T14:46:49Z,This closes #2206 \n,https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12784712,12784712,
Diapolo,2013-01-28T15:05:08Z,Should also address #2146\n,https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12785654,12785654,
gavinandresen,2013-01-28T18:34:10Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12796437,12796437,
sipa,2013-01-29T00:49:47Z,"I added a commit to deal with LevelDB errors. It seems to work, but I don't like it. The exception is being caught in several places inside main to do be able to do a graceful shutdown, but it's unclear if all cases are covered (though the worst case is a lesser clean shutdown...). The reported error on stderr can end up being ""Error: Error: system error: Database corrupted"", followed by shutdown.",https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12814537,12814537,
BitcoinPullTester,2013-01-29T01:08:17Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/b054775da97a5db0f1cebd3fc8baf92f280a87d3 for binaries and test log.\n",https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12815123,12815123,
gavinandresen,2013-01-29T16:23:52Z,ACK if you also fix this bug in init.cpp (otherwise I get a core dump starting with a corrupted database):\nhttps://gist.github.com/4665513\n,https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12843002,12843002,
sipa,2013-01-30T03:18:02Z,Updated.\n,https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12872253,12872253,
BitcoinPullTester,2013-01-30T03:28:27Z,"Automatic sanity-testing: FAILED BUILD/TEST, see http://jenkins.bluematt.me/pull-tester/1e21fd0f8f887740152f2339189aabc679cd983f for binaries and test log.\n\nThis could happen for one of several reasons:\n1. It chanages paths in makefile.linux-mingw or otherwise changes build scripts in a way that made them incompatible with the automated testing scripts\n2. It does not build on either Linux i386",https://github.com/bitcoin/bitcoin/pull/2224#issuecomment-12872489,12872489,
