theStack,2021-06-27 14:43:39,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22349#issuecomment-869174903,869174903,
DrahtBot,2021-06-27 16:43:16,<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nNo conflicts as of last run.,https://github.com/bitcoin/bitcoin/pull/22349#issuecomment-869192018,869192018,
luke-jr,2021-06-27 19:06:47,"Why are there double links to the webchat? If two links are desirable, it seems better to have the first be an irc:// URI?",https://github.com/bitcoin/bitcoin/pull/22349#issuecomment-869210743,869210743,
jonatack,2021-06-27 19:28:08,"IDK why the first one was linked twice, but it looked nice so I followed that. Dropped the first link in both.",https://github.com/bitcoin/bitcoin/pull/22349#issuecomment-869213203,869213203,
DrahtBot,2021-06-28 07:31:28,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/22349#issuecomment-869435427,869435427,
MarcoFalke,2021-06-28 07:32:38,GitHub is broken,https://github.com/bitcoin/bitcoin/pull/22349#issuecomment-869437804,869437804,
MarcoFalke,2021-06-27 14:58:21,I don't think anyone of us can change the title of an unaffiliated channel,https://github.com/bitcoin/bitcoin/pull/22349#discussion_r659334208,659334208,doc/release-process.md
jonatack,2021-06-27 15:36:34,"Ah ok, thanks--updated.",https://github.com/bitcoin/bitcoin/pull/22349#discussion_r659339240,659339240,doc/release-process.md
luke-jr,2021-06-27 16:48:46,"While #bitcoin still exists on freenode, it's much quieter than Libera, so this seems reasonable.",https://github.com/bitcoin/bitcoin/pull/22349#discussion_r659347881,659347881,doc/README.md
luke-jr,2021-06-27 16:51:18,"Not sure removing this is a good idea.\n\nOn one hand, [Noodle] is no longer a Freenode user (the NickServ database got reset)\n\nOn the other, it's not clear if this might be a copyright attribution?\n\nDo we have a way to reach [Noodle] and ask?",https://github.com/bitcoin/bitcoin/pull/22349#discussion_r659348218,659348218,share/examples/bitcoin.conf
jonatack,2021-06-27 17:18:05,It was added in 68ba85fd750e94861440ef15047d571d6b518217 / #4317 in 2014 with no other explanation.  Happy to drop the change if people think it's better to keep it.,https://github.com/bitcoin/bitcoin/pull/22349#discussion_r659351299,659351299,share/examples/bitcoin.conf
jonatack,2021-06-27 18:36:12,Done. It's not directly relevant.,https://github.com/bitcoin/bitcoin/pull/22349#discussion_r659360004,659360004,share/examples/bitcoin.conf
