0xB10C,2021-08-10 14:48:10,"Concept ACK\n\nTIL Witness Replacement",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-896093753,896093753,
glozow,2021-08-10 16:33:51,"A new circular dependency `policy/rbf -> txmempool -> validation -> policy/rbf` is introduced here, so I've added it to `EXPECTED_CIRCULAR_DEPENDENCIES` to suppress the issue. I understand this is not ideal. The main problem, I think, is the txmempool -> validation part (which already exists), so I've taken a crack at it in #22677.",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-896133317,896133317,
DrahtBot,2021-08-10 18:53:29,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#22539](https://github.com/bitcoin/bitcoin/pull/22539) (Re-include RBF replacement txs in fee estimation by darosior)\n\n",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-896233882,896233882,
fanquake,2021-08-11 02:45:47,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-896457050,896457050,
mjdietzx,2021-08-12 01:24:32,crACK 6a0a8ef791400d78fb4192a81a392131be78270b,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-897274755,897274755,
theStack,2021-08-12 12:11:06,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-897587220,897587220,
mjdietzx,2021-08-13 14:49:24,Tested ACK 6a0a8ef791400d78fb4192a81a392131be78270b,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-898510534,898510534,
glozow,2021-08-16 09:58:00,"\n> To be extra-cautious, I also compiled and ran unit tests + the functional test feature_rbf.py on every commit.\n> Left some more suggestions considering const-correctness and passing by reference rather than by value. On the second-to-last commit [a30b027](https://github.com/bitcoin/bitcoin/commit/a30b0270d0129f16573827d45250aa42912803d3) the test feature_rbf.py currently fails, see comment ",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-899381767,899381767,
glozow,2021-08-20 10:20:23,"> That said, why not proceed the other way around to avoid introducing the circular dependency at all?\n\nTrue, I just did it this way because this PR is a bit further along (other one is still looking for approach feedback), and I have some branches depending on this refactor.",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-902593124,902593124,
glozow,2021-08-24 15:14:54,Addressed @jnewbery comments,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-904732562,904732562,
theStack,2021-08-25 11:44:29,"I tend to agree with @ariard that splitting this PR into different ones would make a lot of sense here:\n\n> I think the changes proposed by this PR are sizeable enough to be splitted off in different PRs. Especially about the replace-by-fee check rules, beyond the better-feerate-than-directly-replaced transaction present in the code but not in the spec, iirc they're still minor discrepancies wo",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-905425602,905425602,
jnewbery,2021-08-25 12:19:21,"Code review ACK a33fdd0b981965982754b39586eedb7ae456ba57\n\nI'm very happy to review any new PRs if you split this up.",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-905450118,905450118,
glozow,2021-08-25 13:31:28,I've split off the first few commits into #22796.,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-905504286,905504286,
glozow,2021-09-01 09:08:51,"Rebased and split off the documentation changes. Ready for review.\nPlease note that this is move-only, and I'm happy to add any doc suggestions to #22855.",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-910090999,910090999,
glozow,2021-09-02 15:42:43,Changed the functions to return `std::optional<std::string>` instead of `bool` in response to https://github.com/bitcoin/bitcoin/pull/22796#discussion_r700944084,https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-911820767,911820767,
mjdietzx,2021-09-03 01:46:38,"ACK 32748da0f47f7aa9fba78dfb29aa426b14f15624\n\nI tested this again by running some additional test coverage around BIP125 (this PR #22867) on this branch. All good ✅",https://github.com/bitcoin/bitcoin/pull/22675#issuecomment-912188277,912188277,
mjdietzx,2021-08-11 09:45:21,"Any reason this shouldn't go in `policy/policy.h`? It would get rid of the circular dependency as well\n\nAs precedent, we do have at least one BIP 125 specific constant there:\n```c++\n/** Default for -incrementalrelayfee, which sets the minimum feerate increase for mempool limiting or BIP 125 replacement **/\nstatic const unsigned int DEFAULT_INCREMENTAL_RELAY_FEE = 1000;\n```",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686672590,686672590,src/policy/rbf.h
mjdietzx,2021-08-11 09:52:42,"re 76354e503c039ae9c7e0d0f93191b211d699478c, nice 👍 I had the same thought when reading this code that it'd be more efficient to do something like this",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686678031,686678031,src/validation.cpp
mjdietzx,2021-08-11 10:41:33,I guess the reason it may overestimate here is due to the same descendant being counted multiple times when multiple conflicting parents share that same descendant?,https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686711392,686711392,src/policy/rbf.cpp
mjdietzx,2021-08-11 10:43:07,"Is this necessary? Can't we just use `!SignalsOptInRBF` from `util/rbf.h`?\n\nNote: I realize this is a move only PR, but I'm just wondering, maybe it's a minor refactor later",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686712403,686712403,src/policy/rbf.cpp
mjdietzx,2021-08-11 10:51:05,"nit: I'm sure if `util/rbf.h` existence is justified in the first place, but if we go with the current convention, `IsRBFOptOut` would seem to belong there",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686717457,686717457,src/policy/rbf.cpp
mjdietzx,2021-08-11 10:57:29,"We are populating `setConflictsParents` in this method, but we never use it",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686721462,686721462,src/policy/rbf.cpp
mjdietzx,2021-08-11 10:58:27,"Now we are populating `setConflictsParents` again, the same way we did in `GetEntriesForRBF`, but we use it here",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686722096,686722096,src/policy/rbf.cpp
mjdietzx,2021-08-11 11:03:17,Note: `nConflictingSize` is an unused variable,https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686725070,686725070,src/policy/rbf.cpp
glozow,2021-08-11 13:59:36,"Hm, I think everything in util/rbf should be moved to policy/rbf actually :thinking: There's no reason to have two places for RBF (I think) and organization-wise, all RBF logic and code is policy.",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686859852,686859852,src/policy/rbf.cpp
glozow,2021-08-11 14:02:25,"It wouldn't get rid of the circular dependency unfortunately, because it's caused by validation.cpp including policy/rbf.h",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686862622,686862622,src/policy/rbf.h
glozow,2021-08-11 14:02:51,"Yes, that's exactly right.",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686863065,686863065,src/policy/rbf.cpp
darosior,2021-08-11 14:25:20,"Not sure, it would make all users of policy/rbf depend on txmempool. Eg not sure the standalone binaries `wallet-util` and friends depend on it although they use util/rbf.",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686883898,686883898,src/policy/rbf.cpp
glozow,2021-08-11 15:00:07,"Ahh good point @darosior. I was wrong. I think it makes sense for policy/* to depend on mempool, but I see how util/rbf is needed now.",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686916506,686916506,src/policy/rbf.cpp
glozow,2021-08-11 15:08:44,"Oopsie good catch! did a few different attempts at moving BIP125, this is leftover from a previous one :sweat_smile: ",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686924148,686924148,src/policy/rbf.cpp
glozow,2021-08-11 15:09:05,Removed - thanks!,https://github.com/bitcoin/bitcoin/pull/22675#discussion_r686924532,686924532,src/policy/rbf.cpp
theStack,2021-08-13 17:12:07,"I guess for performance reasons, we should pass `setIterConflicting` by reference, rather than by value?\n```suggestion\n                      const CTxMemPool::setEntries& setIterConflicting,\n```",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r688663550,688663550,src/policy/rbf.cpp
theStack,2021-08-13 17:18:42,"This header doesn't seem to be directly needed in this compilation unit (strings _are_ used as return values/parameters for `uint256.ToString()` and `strprintf`, but it's the job of the headers offering those functions to already also include `<string>`).\n```suggestion\n```",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r688667057,688667057,src/policy/rbf.cpp
theStack,2021-08-14 18:04:08,"```suggestion\nbool HasNoNewUnconfirmed(const CTransaction& tx, const CTxMemPool& m_pool,\n                         const CTxMemPool::setEntries& setIterConflicting, TxValidationState& state)\n```",https://github.com/bitcoin/bitcoin/pull/22675#discussion_r688975344,688975344,src/policy/rbf.cpp
