Zero-1729,2021-08-13 12:34:39,"Concept ACK \n\nThanks for splitting up the changes!",https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-898427713,898427713,
DrahtBot,2021-08-13 14:15:57,<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nNo conflicts as of last run.,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-898489060,898489060,
theStack,2021-08-13 14:19:35,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-898491499,898491499,
amitiuttarwar,2021-08-14 00:54:45,concept ACK ,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-898784453,898784453,
practicalswift,2021-08-15 18:33:07,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-899092918,899092918,
jnewbery,2021-08-17 08:48:48,rebased on master,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-900113407,900113407,
jnewbery,2021-08-18 08:30:57,Rebased on master and addressed review comments from @jonatack and @fanquake.,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-900925684,900925684,
jnewbery,2021-08-18 09:57:48,Thanks for the review @MarcoFalke. I've addressed all your comments.,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-900982749,900982749,
jnewbery,2021-08-18 13:04:08,Rebased,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-901097570,901097570,
laanwj,2021-08-18 14:50:59,"Concept ACK on getting rid of the `Clear()` function, seems more robust this way.",https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-901180854,901180854,
amitiuttarwar,2021-08-18 20:02:02,"looks like both failing builds are failing in `addrman_tests` -> `addrman_serialization`\n\n[AppVeyor](https://ci.appveyor.com/project/DrahtBot/bitcoin/builds/40428513#L61):\n```\nC:\projects\bitcoin\src\test\addrman_tests.cpp(758): Entering test case ""addrman_serialization""\nunknown location(0): fatal error: in ""addrman_tests/addrman_serialization"": stack overflow\n```\n\n[Win64](https://",https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-901392680,901392680,
jnewbery,2021-08-19 10:31:38,Thank you for the review @laanwj @amitiuttarwar @vasild @MarcoFalke. I believe that I've addressed all of your review comments.,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-901801141,901801141,
laanwj,2021-08-19 13:34:20,Code review ACK 4d2fa97031a6f31da984d4c2c105447ed692c6ed,https://github.com/bitcoin/bitcoin/pull/22697#issuecomment-901920506,901920506,
