prayank23,2021-08-23 05:49:17,Concept ACK. Will try today.,https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903462180,903462180,
meshcollider,2021-08-23 06:14:58,"Approach ACK, definitely prefer this over #22751 👍 ",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903475162,903475162,
MarcoFalke,2021-08-23 06:33:31,"How is the user going to use this? Call the RPC thrice and compare the results?\n\n* Fist time to get the balances before\n* Second time to get the balances with the tx included\n* Third time to verify no other thread added a wallet tx in-between, which would invalidate the result",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903483400,903483400,
kallewoof,2021-08-23 07:23:06,"@MarcoFalke The transaction is supposedly not yet broadcasted. They'd only need to call getbalances once. The existing output would give the wallet's balance as it is (excluding the transaction), and the added ""changes"" would show how the balance would change, if the transaction was broadcasted.\n\nI.e. I get a coin-join with 100 other inputs and a bunch of outputs. I call `getbalances [hex]`, a",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903511253,903511253,
MarcoFalke,2021-08-23 07:31:20,"Oh I didn't see the changed result, because the documentation wasn't updated.",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903515954,903515954,
kallewoof,2021-08-23 07:38:50,"Good point, documentation updated.",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903520236,903520236,
DrahtBot,2021-08-23 13:32:51,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#23532](https://github.com/bitcoin/bitcoin/pull/23532) (test: add functional test for -startupnotify by brunoerg)\n* [#22",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-903773012,903773012,
achow101,2021-08-25 23:54:13,"-0 on this.\n\nAs I commented in https://github.com/bitcoin/bitcoin/pull/22751#issuecomment-905950000, I would prefer a broader ""see how transactions modify the wallet without actually modifying it"" RPC rather than trying to jam that functionality into an existing one.\n\nBut if this is the approach that others prefer, then I would also prefer this to accept multiple transactions (as an array)",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-905951544,905951544,
kallewoof,2021-08-26 05:32:16,"Switched to array of raw transactions.\n\nI am neutral on whether to add this here or create a new simulaterawtransaction as in #22751.",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-906107800,906107800,
luke-jr,2021-09-20 01:45:27,"#22751 seems to make more sense IMO\n\nIf users need both pieces of information, they can just batch them.",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-922590409,922590409,
kallewoof,2021-09-21 10:54:13,I think #22751 is emerging as the superior option here. Ping if you disagree and I'll reopen this.,https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-923866347,923866347,
kallewoof,2021-09-21 23:53:02,"Some prefer this over #22751, so reopening this for now.",https://github.com/bitcoin/bitcoin/pull/22776#issuecomment-924470466,924470466,
luke-jr,2021-09-20 01:46:21,It seems weird to have an array of raw transactions as a positional argument here.,https://github.com/bitcoin/bitcoin/pull/22776#discussion_r711840120,711840120,src/wallet/rpcwallet.cpp
MarcoFalke,2021-11-09 11:30:40,"```suggestion\n        self.generatetoaddress(...\n```",https://github.com/bitcoin/bitcoin/pull/22776#discussion_r745527553,745527553,test/functional/wallet_balance_getbalances.py
MarcoFalke,2021-11-09 11:31:12,"after a rebase, that is",https://github.com/bitcoin/bitcoin/pull/22776#discussion_r745527921,745527921,test/functional/wallet_balance_getbalances.py
kallewoof,2021-11-14 12:06:27,Thanks!,https://github.com/bitcoin/bitcoin/pull/22776#discussion_r748844753,748844753,test/functional/wallet_balance_getbalances.py
