ghost,2014-05-21T21:41:22Z,"Yes, much better. This is good use of placeholders.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-43817984,43817984,
wtogami,2014-05-22T00:30:31Z,Do not merge until after 0.9.2 is released.\n,https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-43834471,43834471,
laanwj,2014-05-22T01:51:52Z,"@wtogami well we can merge, no problem, we just can't update the English translations from master. I'm not going to do that until there is some solution in place to make Transifex work with two different branches for example my proposal in #4006.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-43840404,43840404,
wtogami,2014-05-22T02:01:45Z,Transifex auto-grabs English strings from https://raw.github.com/bitcoin/bitcoin/master/src/qt/locale/bitcoin_en.ts \nI assume you mean merging string changes is OK as long as bitcoin_en.ts is not modified?\n,https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-43841088,43841088,
laanwj,2014-05-22T02:03:38Z,That's exactly what I mean by not updating the English translation.\n,https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-43841207,43841207,
grue0,2014-06-02T02:52:32Z,"This does not localize well with other non-Latin languages, since ""e.g."" is left untranslated.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-44798213,44798213,
laanwj,2014-06-02T13:23:33Z,"@gruez No it isn't? It uses `QObject::tr(""Enter a Bitcoin address (e.g. %1)"").` so the entire sentence apart from the bitcoin address can be translated.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-44835965,44835965,
Diapolo,2014-06-05T15:52:31Z,"@laanwj To understand, you block this until official 0.9.2 is out? But AFAIK there were also string change-related pulls merged, e.g. the one which allows max orphan block size.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-45237432,45237432,
laanwj,2014-06-05T16:11:37Z,"@Diapolo No, not really. Once this is tested it can be merged IMO.\nWe're blocking English language updates for now (so of bitcoin_en.ts). Strings in the source code in master can be changed, no problem.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-45239963,45239963,
Diapolo,2014-06-23T13:25:56Z,"I fixed a merge-conflict, if @BitcoinPullTester is happy this can get in IMHO.\n",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-46844209,46844209,
BitcoinPullTester,2014-06-23T14:18:32Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/p4208_6a5c124b849ac1e9e5cfb99e72ae483eeb3e8cad/ for binaries and test log.\nThis test script verifies pulls every time they are updated. It, however, dies sometimes and fails to test properly.  If you are waiting on a test, please check timestamps to verify that the test.log is moving at http://jenkins.bluematt.me/pull-te",https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-46850671,46850671,
Diapolo,2014-06-27T09:03:33Z,@laanwj Guess this can be merged now also?\n,https://github.com/bitcoin/bitcoin/pull/4208#issuecomment-47322463,47322463,
laanwj,2014-05-21T13:27:27Z,"Seems like the correct direction, though I'd personally prefer \n\n```\nwidget->setPlaceholderText(QObject::tr(""Enter a Bitcoin address (e.g. %1)"").arg(BITCOIN_EXAMPLE_ADDRESS));\n```\n\nThis makes it clearer to the translators what the entire message is, instead of having to translate a fragment like 'e,g,'.\n",https://github.com/bitcoin/bitcoin/pull/4208#discussion_r12895358,12895358,src/qt/guiutil.cpp
Diapolo,2014-05-21T13:30:46Z,"As this seems to be the only once place left where we need to set the example address, I agree :).\n",https://github.com/bitcoin/bitcoin/pull/4208#discussion_r12895499,12895499,src/qt/guiutil.cpp
Diapolo,2014-05-21T13:38:21Z,@laanwj Updated :).\n,https://github.com/bitcoin/bitcoin/pull/4208#discussion_r12895835,12895835,src/qt/guiutil.cpp
laanwj,2014-06-23T13:56:47Z,Keep this placeholder text please (minus the address)\n,https://github.com/bitcoin/bitcoin/pull/4208#discussion_r14076015,14076015,src/qt/signverifymessagedialog.cpp
Diapolo,2014-06-24T06:42:24Z,"This is done via `GUIUtil::setupAddressWidget(ui->addressIn_VM, this);`.\n",https://github.com/bitcoin/bitcoin/pull/4208#discussion_r14115063,14115063,src/qt/signverifymessagedialog.cpp
laanwj,2014-06-27T10:42:00Z,OK\n,https://github.com/bitcoin/bitcoin/pull/4208#discussion_r14287474,14287474,src/qt/signverifymessagedialog.cpp
