luke-jr,2014-09-02T22:26:59Z,Sounds like a compiler bug. I'm surprised Bitcoin Core builds in MSVC at all.\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54227382,54227382,
TheBlueMatt,2014-09-02T22:33:21Z,"Looks like a legitimate ""doesnt compile"" with old gcc. @theuni should Travis not also run with such an old gcc to catch this?\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54228140,54228140,
ENikS,2014-09-02T22:36:58Z,It builds quite well. I have list of warning to cleanup (4018;4101;4146;4999;4244;4267;4345;4503;4717;4786;4800;4804;4805;4996;) but otherwise it is fine.\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54228514,54228514,
theuni,2014-09-03T03:52:20Z,"@TheBlueMatt I'm all for adding different compilers in order to maintain portability (cleaning up the warnings from clang -Weverything could keep someone busy for months), but I don't see much utility in adding outdated compilers just so that we can see if we hit their bugs. If we're going to add different compiler configs, imo clang/msvc/icc would be more real-world useful.\n\nUnless, of course, ",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54249128,54249128,
TheBlueMatt,2014-09-03T05:40:35Z,@theuni I was under the impression the compiler on pull-tester's windows build was the same as the Ubuntu LTS's max mingw version?\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54254287,54254287,
ENikS,2014-09-03T17:27:45Z,I am actually quite surprised you don’t target MSVC tool chain. There are a lot mere developers working with Visual Studio than with gcc in Windows. Cost of entry (in terms of learning and setup) is much smaller with VS IDE as opposed to all these cross compiler and since Windows still predominant OS on desktop you do the math.\nIf wider adoption is a goal code should be buildable on VS so more pe,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54333647,54333647,
theuni,2014-09-03T18:30:16Z,"@TheBlueMatt Not sure about pull-tester. Travis uses the same as Gitian.\n\n@ENikS we don't target any toolchains, but we do test and support-ish some. Due to the nature of Bitcoin, most devs work in Linux, some in OSX, some in the BSDs, and few in Windows. Official builds must be created using an entirely free/open stack, including the toolchain. mingw is much easier to automate for c-i and deplo",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54343684,54343684,
TheBlueMatt,2014-09-03T18:35:04Z,"@theuni pull-tester uses the same that gitian used to, I suppose it was updated?\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54344479,54344479,
ENikS,2014-09-03T18:53:38Z,"@theuni Well, I guess my point was that it is about time MSVC be support-ish-ed as well as other compilers. \n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54347252,54347252,
laanwj,2014-09-04T12:33:21Z,"@ENikS It's simple - there is no developer regularly building master on MSVC, so MSVC problems don't get caught. If you're willing to volunteer for that, you're welcome!\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54466713,54466713,
ENikS,2014-09-05T17:03:36Z,"If someone walks me through your automated build process perhaps I could help to set something similar for the msvc free tool set. Something like VS Express of MSBuild with SDK. \nI don't have much time, have to work for living but this would be worth some effort.\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54652829,54652829,
