gavinandresen,2014-10-28T19:17:41Z,How did you test this?\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-60814787,60814787,
rdponticelli,2014-10-28T19:59:04Z,"I tested this by running it over a derivative of #4701 on syncing, reindexing and up-to-date nodes. Those cases were broken before this patch, and work well after.\n\nThe dependence on local time is ugly, but that was there before, anyway...\n",https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-60821107,60821107,
gmaxwell,2014-10-28T23:06:16Z,"This gets rid of the nLastUpdate static, I'm happy about that. This seems reasonable to me. utACK.\n",https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-60847400,60847400,
sipa,2014-11-04T12:55:26Z,"In what ways is IsInitialBlockDownload broken now? Not a criticism, just trying to understand :)\n",https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-61635359,61635359,
rdponticelli,2014-11-04T15:00:59Z,It randomly returns true or false during all the  IBD.\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-61652023,61652023,
rdponticelli,2014-11-06T13:08:16Z,Added a commit implementing @laanwj suggestion to deal with @gmaxwell's concern.\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-61975939,61975939,
sipa,2014-11-06T13:13:57Z,"A single boolean would suffice, no?\n",https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-61976576,61976576,
rdponticelli,2014-11-06T14:32:29Z,Simplified to use a single boolean.\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-61986638,61986638,
gmaxwell,2014-11-06T17:48:02Z,utACK.\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-62020492,62020492,
TheBlueMatt,2014-11-06T23:56:58Z,utACK: http://bitcoin.ninja/TheBlueMatt-5158.txt\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-62073900,62073900,
gmaxwell,2014-11-07T20:21:58Z,still ACK  (though only tested pretty lightly)\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-62206048,62206048,
sipa,2014-11-17T16:22:02Z,Note that #5241 reduces the number of conditionals that are based on IsInitialBlockdownload().\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-63330057,63330057,
sipa,2014-11-17T16:23:07Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-63330258,63330258,
TheBlueMatt,2014-11-20T05:07:37Z,utACK only commithashes 9ec75c5ef4182a38e261beaafdc94325785cc7c5 + a2d0fc658a7b21d2d41ef2a6c657d24114b6c49e: http://bitcoin.ninja/TheBlueMatt-5158.txt\n,https://github.com/bitcoin/bitcoin/pull/5158#issuecomment-63761943,63761943,
TheBlueMatt,2014-10-30T05:15:06Z,"Shouldnt you just check if the best header index has received the block contents? Nodes could be mean and not relay contents, but that means either they're running an incredibly expensive annoyance or you're behind a strange sybil.\n",https://github.com/bitcoin/bitcoin/pull/5158#discussion_r19588127,19588127,src/main.cpp
gmaxwell,2014-10-30T05:18:36Z,"I don't think we want to eroniously think we're caught up when the best tip is far behind the local time (e.g. because we're broken for some reason).\n\nOTOH, there is a ... somewhat corner case that might be wort worring about:  With this proposed code, if the network goes 24 hours without a block (uh what?) everyone running this will stop mining. :P\n",https://github.com/bitcoin/bitcoin/pull/5158#discussion_r19588188,19588188,src/main.cpp
TheBlueMatt,2014-10-30T05:21:18Z,"Sorry, I meant just like walk pindexBestHeader back N blocks, if we still havent received the data for that block, consider us to be in IBD.\n",https://github.com/bitcoin/bitcoin/pull/5158#discussion_r19588225,19588225,src/main.cpp
gmaxwell,2014-10-30T06:22:43Z,"I'm not sure what behavior we want here. If the best header is still a day back, then we know we're not in sync.\n",https://github.com/bitcoin/bitcoin/pull/5158#discussion_r19589282,19589282,src/main.cpp
TheBlueMatt,2014-10-30T06:38:06Z,I wasnt suggesting it exclusively...sorry if that was unclear.\n,https://github.com/bitcoin/bitcoin/pull/5158#discussion_r19589525,19589525,src/main.cpp
