sipa,2011-09-19T09:34:15Z,ACK on the changes to core. I haven't reviewed the UI code itself.\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2131830,2131830,
tcatm,2011-09-19T12:46:18Z,This seems to break the wxgui (error in AppInit()). Either that should be fixed or wxgui removed IMHO.\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2133176,2133176,
laanwj,2011-09-19T12:48:07Z,Didn't notice it yet. I'll fix that. The changes should not affect the wx GUI.\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2133191,2133191,
laanwj,2011-09-19T13:32:25Z,tcatm: I'm unable to reproduce this (on Linux). The Wx still works as it did before. Can you get a traceback for the error?\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2133552,2133552,
tcatm,2011-09-19T13:39:16Z,"sorry, my fault: I forgot to run make clean and thus part of bitcoin was usind bdb 4.7 and bdb 4.8 \n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2133621,2133621,
gavinandresen,2011-09-19T14:19:57Z,"ACK, I did a quick review and setup a qt build environment.  Looks good.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2134059,2134059,
TheBlueMatt,2011-09-21T19:02:00Z,"I'm assuming no one cares about adding non mit pictures to bitcoin, but I might as well bring up the issue.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159636,2159636,
TheBlueMatt,2011-09-21T19:10:04Z,"Also, it might just be me but I really hate having two sets of translations, is it not possible to redefine some translation functions and make a script to convert the format of the files?\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159728,2159728,
laanwj,2011-09-21T19:15:41Z,"This is exactly what I did (see scripts/qt/extract_strings_qt.py). When\nrunning with Qt UI, the _ function is redirected to Qt.  The Wx translations\nare not used by the Qt UI.\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159783,2159783,
laanwj,2011-09-21T19:20:42Z,Feel free to add or replace your own images if you think that's a concern...\n,https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159840,2159840,
TheBlueMatt,2011-09-21T19:26:00Z,"Well look at me not paying attention, but I also meant for qt files to use _ so that translation programs will pick up strings from qtui as well (or did you do that too, im on my phone and the browser lags out if I try to load the diff tab).\nAlso I'm assuming you have some strings specific to qtui already, how were those handled in the existing translations for qt?\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159905,2159905,
TheBlueMatt,2011-09-21T19:31:50Z,"In URI handling, why does it not parse the message field?\n",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159974,2159974,
laanwj,2011-09-21T19:32:03Z,"Nothing special has to be done for that; Qt uses tr() instead of _, and\nrecognizes the qtui-specific strings (which are indeed a lot) in\nlupdate/lrelease, the qt translation tools, automatically.\n\nIt does not pick up _(), that's why the python script exists. It converts\nthe strings in _() to QT_TRANSLATE_NOOP strings which are recognized.\n\nThis means that qt translator can be used to transl",https://github.com/bitcoin/bitcoin/pull/521#issuecomment-2159977,2159977,
