gavinandresen,2014-12-03T14:40:24Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-65417087,65417087,
gmaxwell,2014-12-03T17:02:19Z,"ACK.  I note that transactions with present inputs but missing signatures return -25 and message """", maybe that case should be covered to (I'm not sure what in particular inspired this particular improvement).\n",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-65446719,65446719,
sipa,2014-12-03T17:14:10Z,"Missing signatures? That should result in script failure, which should be reported with #5394.\n",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-65448706,65448706,
gmaxwell,2014-12-03T17:32:29Z,"Well kinda, it logs non-standard transaction inputs. :)  it's okay, I didn't mean to start a tangent. I just wasn't sure what motivated this.\n",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-65451854,65451854,
sipa,2014-12-03T17:33:20Z,"What motivated this: doing a `sendrawtransaction` that reported a -25 """" status, which is pretty unhelpful. Turns out, there were just missing inputs.\n",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-65451993,65451993,
laanwj,2014-12-04T11:56:01Z,utACK commithash 178e796a38c6b04cf7f6ee15e5b5c1f94248abd0 ([signature](https://dev.visucore.com/bitcoin/acks/5418))\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-65621662,65621662,
jonasschnelli,2014-12-29T19:18:29Z,Tested. ACK.\nYou might pull in my just written RPC test:\nhttps://github.com/jonasschnelli/bitcoin/commit/4f0743db5dafa86af21525f73578f948edddef6f\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-68291078,68291078,
EagleTM,2015-02-27T15:58:12Z,"I've applied this patch to 0.10.0 for debugging purposes and it works well and detects lots of {u'message': u'Missing inputs', u'code': -26} on a public electrum server. I believe these were reported as code -25 before applying the patch, because this is the only error code I can find in logs which does not have a message. Moreover ""Missing inputs"" accounts for 70% of u'code': -26 messages and the",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-76417416,76417416,
sipa,2015-03-01T11:02:12Z,Rebased and cherry-picked @jonasschnelli's RPC test.\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-76592113,76592113,
laanwj,2015-04-28T08:10:23Z,"utACK, needs rebase though\n",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-96968216,96968216,
sipa,2015-04-28T14:17:21Z,Rebased and nit addressed.\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-97078023,97078023,
laanwj,2015-05-01T13:02:46Z,"Fails travis, the test needs to be updated to use `generate`:\n\n```\nRunning testscript rawtransactions.py...\nInitializing test directory /tmp/testtgQ972\nJSONRPC error: Use the generate method instead of setgenerate on this network\nFile ""/home/travis/build/bitcoin/bitcoin/bitcoin-i686-pc-linux-gnu/qa/rpc-tests/test_framework.py"", line 119, in main\nself.run_test()\nFile ""/home/travis/build/bit",https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-98128667,98128667,
jonasschnelli,2015-05-01T13:08:11Z,New test is here: https://github.com/jonasschnelli/bitcoin/commit/70eccdf6e29f83de4f239107bbf9d21ee44401b5\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-98129493,98129493,
sipa,2015-05-01T13:34:15Z,Updated.\n,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-98134883,98134883,
land-pack,2018-07-23T06:07:34Z,It's fixed?,https://github.com/bitcoin/bitcoin/pull/5418#issuecomment-406949307,406949307,
luke-jr,2014-12-05T12:55:40Z,Shouldn't this be a RPC_TRANSACTION_ERROR?\n,https://github.com/bitcoin/bitcoin/pull/5418#discussion_r21370366,21370366,src/rpcrawtransaction.cpp
sipa,2014-12-08T14:47:59Z,No opinion.\n,https://github.com/bitcoin/bitcoin/pull/5418#discussion_r21456164,21456164,src/rpcrawtransaction.cpp
laanwj,2014-12-08T15:41:48Z,"For RPC_TRANSACTION_REJECTED I'd prefer to keep to the `""%i: %s"" % (code,reason)` convention used above. So if it doesn't fit within that, RPC_TRANSACTION_ERROR may be better.\n",https://github.com/bitcoin/bitcoin/pull/5418#discussion_r21460154,21460154,src/rpcrawtransaction.cpp
sipa,2014-12-09T22:38:13Z,"The current RPC_TRANSACTION_ERROR is for cases where there is no ""IsInvalid"", so that should really just be system errors. \n",https://github.com/bitcoin/bitcoin/pull/5418#discussion_r21569090,21569090,src/rpcrawtransaction.cpp
laanwj,2014-12-10T06:53:32Z,"If you keep using RPC_TRANSACTION_REJECTED, can you add a reject code, to keep the format?\n",https://github.com/bitcoin/bitcoin/pull/5418#discussion_r21586639,21586639,src/rpcrawtransaction.cpp
sipa,2015-04-28T14:17:09Z,Changed to RPC_TRANSACTION_ERROR.\n,https://github.com/bitcoin/bitcoin/pull/5418#discussion_r29246450,29246450,src/rpcrawtransaction.cpp
