paveljanik,2014-12-20T19:48:24Z,What about waiting for 12 days? ;-)\n,https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67747371,67747371,
sandakersmann,2014-12-20T19:52:04Z,The script only updates the files that are changed this year. That is why we should merge this before the new year :)\n,https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67747482,67747482,
Diapolo,2014-12-20T23:05:31Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67753285,67753285,
laanwj,2014-12-21T10:17:59Z,"NACK, try again in a few months.\n\nI know I just merged #5470 and #5494, but my intention was not to encourage regular mass updates to the headers.\nAn infinite number of these pulls could be generated.\nI'd prefer waiting with this until well into 2015, as it's especially in the beginning of the year that people forget it.\n",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67765777,67765777,
laanwj,2014-12-21T10:34:54Z,"On a higher level: why do we have years in the copyright headers per file at all?\n\nGit provides an exact history of who contributed what, when. The possibility of a script like this _at all_ shows that is isn't necessary. If we can do it, a law firm can too, in the oft case that it would ever be necessary.\n",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67766106,67766106,
petertodd,2014-12-21T16:21:09Z,"@laanwj +1 A good article on the topic is here: http://softwarefreedom.org/resources/2012/ManagingCopyrightInformation.html Their recommended license notice for the ""centralized"" model of copyright notice is:\n\n> This file is part of Foo Project. It is subject to the license terms in the LICENSE file found in the top-level directory of this distribution and at http://www.example.org/foo/license.h",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67775374,67775374,
laanwj,2014-12-22T15:33:58Z,So if we remove the years and keep the reference to the LICENSE file that'd be enough. Great! Every bit of micro-management avoided is a win.\n,https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67850005,67850005,
petertodd,2014-12-22T17:12:23Z,"Who would have thought giving data away with almost no strings attached would be so easy?\n\nOn 22 December 2014 10:34:32 GMT-05:00, ""Wladimir J. van der Laan"" notifications@github.com wrote:\n\n> So if we remove the years and keep the reference to the LICENSE file\n> that'd be enough. Great! Every bit of micro-management saved is a win.\n> \n> ---\n> \n> Reply to this email directly or view it on",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-67862775,67862775,
fanquake,2014-12-26T06:28:07Z,"@petertodd So we should be able to turn this\n\n```\n// Copyright (c) 2010 Satoshi Nakamoto\n// Copyright (c) 2009-2014 The Bitcoin Core developers\n// Distributed under the MIT software license, see the accompanying\n// file COPYING or http://www.opensource.org/licenses/mit-license.php.\n```\n\ninto just this ?\n\n```\n// Distributed under the MIT software license, see the accompanying\n// file C",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-68126203,68126203,
sandakersmann,2014-12-26T19:23:02Z,This would certainly simplify everything. I am all for it :)\n,https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-68154304,68154304,
Diapolo,2014-12-26T21:39:32Z,"@fanquake +1 and an update to the COPYING file still mentioning Satoshi, The Bitcoin Core developers and with updated years?\n",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-68159305,68159305,
laanwj,2014-12-27T04:36:33Z,"I'd say keep the names, remove the dates.\n",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-68168621,68168621,
jgarzik,2014-12-27T05:50:53Z,"Ask a lawyer rather than guessing.  We have plenty of them around the bitcoin space, including working at the Bitcoin Foundation.\n",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-68169871,68169871,
laanwj,2014-12-27T09:46:07Z,"Ok, closing this one at least.\n",https://github.com/bitcoin/bitcoin/pull/5519#issuecomment-68173954,68173954,
