gavinandresen,2011-10-05T14:30:00Z,Does this work on Windows?\n,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2298474,2298474,
TheBlueMatt,2011-10-05T15:11:23Z,Better question - does this even compile on Windows?\n,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2298962,2298962,
luke-jr,2011-10-05T15:14:50Z,"Good question. No idea. I don't use Windows... Anyone want to step up to test, or should I resubmit this with non-Windows #ifdefs?\n",https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2298997,2298997,
shadders,2011-10-06T10:19:53Z,I didn't think there was such a thing as SIGUSR1 on windows.  \n\nWhilst this is the current implementation many pushpool pools use now it has a couple of limitations that are relevant to pools and some extras that are specific to java based pools (i.e. poolserverj).\n\n1/ it requires the pool engine to be on the same machine as the bitcoin daemon\n2/ Java is flaky enough with SIGUSR1 and cannot d,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2308367,2308367,
laanwj,2011-10-11T19:23:28Z,"I do think bitcoin needs a mechanism to send asynchronous notifications of incoming transactions, new blocks, whatever a client wants to subscribe to.\n\nHowever, I agree with @shadders, and don't think signals are the preferred interprocess communication method here. Signals are specific to UNIX and pretty annoying to handle at that, as they interrupt system calls, and have many other tricky corn",https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2369974,2369974,
d33tah,2011-10-14T04:44:37Z,How about dbus?\n,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2403325,2403325,
luke-jr,2011-10-14T05:12:40Z,Dbus is a desktop technology. This would primarily be used on servers...\n,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2403443,2403443,
laanwj,2011-10-14T05:35:46Z,"DBUS, featurewise would be exactly what we need here. It supports both\nsynchronous and asynchronous calls and async notifications/subscriptions, so\nwe could implement the entire bitcoin API plus notifications in it. It also\nhas some rudimentary security features which could come in useful.\n\nHowever it also has some drawbacks:\n- It is bound to one machine: I have tried in the past to use it a",https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2403524,2403524,
TheBlueMatt,2011-10-14T13:19:09Z,"I completely agree with luke here.  DBus really isnt the best choice here, primarily because it is really mostly used as a desktop technology.  Additionally, does java have a good DBus library?  One of the complaints about sending a USR1 signal was poor java support therefor.  Although this is largely platform-specific (again, does this compile on windows?) I would say this, it is still worth merg",https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2406446,2406446,
d33tah,2011-10-14T15:21:34Z,How about the callback URL's then?\n,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2407849,2407849,
TheBlueMatt,2011-10-14T15:28:56Z,At that point its getting much too complicated for what it is designed to do.\nIf we use SIGUSR1 some applications (like poolservj) will have to implement a wrapper which receives the signal and forwards it on in another method.\nIf we use callback URLs then other applications either get much more complex or write a wrapper which receives the callback and forwards on a SIGUSR1.\nThere really is no,https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2407911,2407911,
luke-jr,2011-10-14T15:35:29Z,"They don't have to be exclusive, either...\n",https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2407982,2407982,
TheBlueMatt,2011-10-14T15:37:31Z,"True, though I would really prefer to KISS here instead of implementing a large new addition for such a simple feature.\n",https://github.com/bitcoin/bitcoin/pull/555#issuecomment-2408004,2408004,
