sipa,2015-01-04T15:17:03Z,Untested ACK\n,https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-68636215,68636215,
jtimon,2015-01-04T18:45:16Z,@Diapolo Added a squashme commit to fix the include nit.\n,https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-68643644,68643644,
jtimon,2015-01-07T23:30:28Z,Squashed @diapolo's nit. Also rebased.\nDoes people agree that InitPolicyFromCommandLine() is a good idea to squash its commit?\n@luke-jr ?\nNow there's 3 more commits from #5180 that I think you can agree with. You also moved main::IsStandardTx() and main::AreInputsStandard() in the more advanced policy branch you showed me (luke-jr/nodepolicy2).\nThe difference is that I'm also moving some const,https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-69111822,69111822,
luke-jr,2015-01-08T15:57:22Z,"ACK, although I don't think we ought to be claiming copyright on policy.h yet as it contains no copyrightable content.\n",https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-69199704,69199704,
jtimon,2015-01-08T20:29:39Z,"Thanks.\nWell, making later commits smaller is the whole point and putting the copyright text already serves that purpose.\nShould I squash the second commit then?\n",https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-69243816,69243816,
jtimon,2015-01-10T18:17:21Z,Squashed to a single commit. \n,https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-69465782,69465782,
jtimon,2015-01-21T02:00:16Z,"I'm sorry for changing the PR again but the goal was always to find a common base and hopefully make later policy-code movements cleaner.\nI think IsStandard(CStript) with luke's commits is a good example that will likely be easy to maintain.\nAll those functions and interfaces like Policy(""standard"") allow you to easily create your own crazy policy and activate it with `-policy=custom` as shown i",https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-70771918,70771918,
jtimon,2015-01-21T12:02:36Z,"Well, I'm sorry, the latest version is actually failing on windows...\nEDIT: found the bug: https://travis-ci.org/bitcoin/bitcoin/builds/47773190\nNow squashing and updating the initial description.\n",https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-70825678,70825678,
jtimon,2015-01-21T13:21:48Z,There was a bug in src/test/test_bitcoin.cpp. I updated the code and the initial description.\n,https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-70835231,70835231,
jtimon,2015-01-23T16:31:13Z,Rebased on top of #5696 and updated the initial description adding new links to commits.\n,https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-71220436,71220436,
jtimon,2015-02-13T20:10:39Z,"@dexX7 this is just a proof of concept branch to make sure everyone is in the same page when it comes to the interface (the abstract class), the functions to initialize the policy, etc.\nIt is not complete. See #5768 for a more complete branch (which includes your suggestion).\nI'm mostly waiting for @luke-jr ack/nack on the interface to rebase and reduce the scope of this PR to something relative",https://github.com/bitcoin/bitcoin/pull/5595#issuecomment-74318492,74318492,
