jonasschnelli,2015-01-08T20:52:29Z,Nice!\n\nutACK\n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69247098,69247098,
btcdrak,2015-01-08T20:55:02Z,Can someone restart the travis build please https://travis-ci.org/bitcoin/bitcoin/jobs/46357658 - the job timed out. \n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69247485,69247485,
sipa,2015-01-08T21:18:11Z,Can you use the env variables for user and repository name? This script is\nnot solely used for Bitcoin Core.\n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69250878,69250878,
btcdrak,2015-01-08T21:59:51Z,Done.\n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69257403,69257403,
btcdrak,2015-01-08T22:28:07Z,@sipa can we assume this script is always for github projects? Otherwise we'd need something like this https://gist.github.com/btcdrak/bd20efaec5ac3e5e6a92\n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69261629,69261629,
laanwj,2015-01-09T10:25:52Z,"@btcdrak it's called github-merge.sh ;)\n\nConcept ACK, haven't tested.\n",https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69317205,69317205,
btcdrak,2015-01-11T09:10:24Z,Example tested here: https://github.com/btcdrak/bitcointest/commit/87582f4e35997e7d6beef6578438a0dab252debe from btcdrak/bitcointest#2\n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-69488044,69488044,
laanwj,2015-01-19T16:06:32Z,"E.g. I've tried merging https://github.com/btcdrak/bitcointest/pull/4 using your script, which results in a chopped-off title:\n\n```\nMerge #4: \\n```\n\nI'm kind of distrustful of these kinds of constructions in bash script. It's very hard to make them cope with all given input without introducing bugs. As this is data coming from the network this problem is compounded, and may even result in vu",https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-70517860,70517860,
btcdrak,2015-01-19T16:37:11Z,"@laanwj Bash certainly isn't ideal here, and maybe I should use a helper python script to fetch the data, check it's valid json and can then extract the correct field. The current solution is just trying to identify the following pattern from the API call rather than parse the json.\n\n```\n""title"": ""pr title goes here"",\n```\n",https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-70522801,70522801,
laanwj,2015-02-04T11:00:18Z,"Another idea in this direction (but even hackier to implement in shellscript - maybe we should bite the bullet and rewrite this script in Python some day) would be to include the pull request message in the body of the pull merge message. For larger projects, developers tend to write 'higher level' context information in the pull request message, that's not in the commits themselves.\n\nNot arguin",https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-72836317,72836317,
laanwj,2015-02-20T09:02:28Z,"Had to revert this (aaba10f) due to various issues\n- Pull request names get cut off at "", see e.g. a026a56\n- Merge script no longer copes with pulls that have a milestone\n    attached, due to a duplicate 'title' in JSON that is not handled by the\n    ad-hoc parsing.\n\nIf anyone is still interested in doing this, I'd suggest rewriting the script in a language that can do real JSON parsing, pre",https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-75207926,75207926,
sipa,2016-04-03T20:58:44Z,For posteriority: this was improved in #7378 \n,https://github.com/bitcoin/bitcoin/pull/5623#issuecomment-205053695,205053695,
fanquake,2015-01-11T01:41:56Z,"This needs to have the organisation in the URL. i.e api.github.com/repos/bitcoin/bitcoin/pulls/5623 As is, it just returns ""Not Found"" messages.\n",https://github.com/bitcoin/bitcoin/pull/5623#discussion_r22763573,22763573,contrib/devtools/github-merge.sh
btcdrak,2015-01-11T07:42:49Z,$REPO is supposed to be something like `bitcoin/bitcoin` as per [this](https://github.com/btcdrak/bitcoin/blob/master/contrib/devtools/github-merge.sh#L15-L18)\n,https://github.com/bitcoin/bitcoin/pull/5623#discussion_r22764935,22764935,contrib/devtools/github-merge.sh
fanquake,2015-01-11T07:49:25Z,"Right, forgot we already had that defined. Although I still can't get the script to run. Only get ""ERROR: Creating merge failed (already merged?).""\n",https://github.com/bitcoin/bitcoin/pull/5623#discussion_r22764967,22764967,contrib/devtools/github-merge.sh
btcdrak,2015-01-11T08:39:38Z,"Disregard last message, there is a problem.\n",https://github.com/bitcoin/bitcoin/pull/5623#discussion_r22765166,22765166,contrib/devtools/github-merge.sh
btcdrak,2015-01-11T09:09:56Z,Fixed. TIL: bash has scoping.\n,https://github.com/bitcoin/bitcoin/pull/5623#discussion_r22765294,22765294,contrib/devtools/github-merge.sh
laanwj,2015-01-16T11:10:14Z,"I think this will fail with ""'s in the pull title?\n",https://github.com/bitcoin/bitcoin/pull/5623#discussion_r23074791,23074791,contrib/devtools/github-merge.sh
btcdrak,2015-01-16T16:46:22Z,@laanwj It works for me. I posted the test merge examples above.\n,https://github.com/bitcoin/bitcoin/pull/5623#discussion_r23092097,23092097,contrib/devtools/github-merge.sh
btcdrak,2015-01-16T16:47:16Z,Another example \nPR: https://github.com/btcdrak/bitcointest/pull/3\nMerge commit: https://github.com/btcdrak/bitcointest/commit/fb41e01abcca2ca0e52ed64e7cd04dd256cf7ad4\n,https://github.com/bitcoin/bitcoin/pull/5623#discussion_r23092171,23092171,contrib/devtools/github-merge.sh
laanwj,2015-01-19T15:54:24Z,"But none of those titles has a "" (or quote) symbol in it, or am I missing something? I'm worried about escaping here.\n",https://github.com/bitcoin/bitcoin/pull/5623#discussion_r23167729,23167729,contrib/devtools/github-merge.sh
