gavinandresen,2015-01-10T02:35:28Z,"ACK: code reviewed, and fixes unit test errors running on OSX with OpenSSL 1.0.1k\n",https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69434780,69434780,
sipa,2015-01-10T02:48:07Z,untested ACK\n,https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69435258,69435258,
jgarzik,2015-01-10T02:53:02Z,tested ACK\n,https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69435438,69435438,
theuni,2015-01-10T03:03:32Z,"@sipa afaik the iterator isn't guaranteed to be a pointer to the element there. Added an early return instead, you ok with that?\n",https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69435836,69435836,
gmaxwell,2015-01-10T03:21:31Z,Tested ACK. (tests and a invalidate/reconsider loop back to 338221. Reindexed without checkpoints from 0 to 198k (still in progress))\n\nAlso +1 Tested ACK from an anonymous tester on IRC.\n,https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69436676,69436676,
petertodd,2015-01-10T03:25:58Z,ut ACK\n,https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69436938,69436938,
fanquake,2015-01-10T04:04:51Z,"Tested ACK. As mentioned by Gavin, verified this fixes the unit tests on OSX when building with 1.0.1k\n",https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69439140,69439140,
ghost,2015-01-10T04:07:38Z,Un\n,https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69439222,69439222,
pstratem,2015-01-10T04:20:18Z,"tested ack, invalidated to 322000 reconsidered upto 327086 (still running)\n",https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69439752,69439752,
petertodd,2015-01-10T19:16:34Z,"tested ACK, -checkpoints=0 reindexes on testnet and mainnet.\n",https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69468017,69468017,
ghost,2015-01-11T03:15:02Z,"This patch serves no purpose other than providing a ""hack"" around a flaw in the Bitcoin core. Previously OpenSSL did not look for invalid DER encoded data with possible trailing garbage but in the latest version it does. The actual problem is that Bitcoin accepts invalid DER encoded signatures and this is completely unrelated to OpenSSL. Now you are taking the invalid-DER encoded data and DER enco",https://github.com/bitcoin/bitcoin/pull/5634#issuecomment-69481908,69481908,
