wtogami,2015-01-29T20:24:45Z,0.10?\n,https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72097442,72097442,
sipa,2015-01-30T04:28:45Z,"Untested ACK (after squash), including 0.10.\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72152682,72152682,
TheBlueMatt,2015-02-02T19:02:36Z,"utACK, after squash\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72516080,72516080,
sdaftuar,2015-02-02T19:36:01Z,"Now that I've eliminated the empty commit I used to bump travis (after it initially failed for reasons I think are unrelated to my pull), travis is again showing the initial failed run.  Is there a better way for me to handle this in the future?\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72522033,72522033,
theuni,2015-02-02T21:19:51Z,"@sdaftuar creating a new commit on top forces travis to test that commit. But when you pop it back off, it's already built that exact revision, so it doesn't bother trying again.\n\nRather than that, just re-commit the change in some way that generates a new commit hash. Edit the commit message somewhat, git format-patch -1 + git am, something like that. Then force-push to overwrite the old one.\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72540062,72540062,
theuni,2015-02-02T21:38:15Z,"CCheckQueue should be able to drop its friendship with CCheckQueueControl after this change (sorry CCheckQueueControl...)\n\nThat should keep something like this from happening again, since the member vars would be guarded.\nutACK after that.\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72543293,72543293,
ghost,2015-02-03T00:39:42Z,utACK\n\nThe following was observed on testnet in one of the initial syncs at height 224873:\n\nbitcoind: checkqueue.h:183: CCheckQueueControl<T>::CCheckQueueControl(CCheckQueue<T>*) [with T = CScriptCheck]: Assertion `pqueue->nTotal == pqueue->nIdle' failed.\n,https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72569768,72569768,
laanwj,2015-02-03T07:57:08Z,"Weird, it failed travis again. \n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72608908,72608908,
jonasschnelli,2015-02-03T09:51:59Z,"Travis reports during `make check` (a.k.a src/test/test_bitcoin):\n\n```\n2015-01-28 20:27:11 Unlocked: cs_Shutdown  init.cpp:141\nmake[2]: *** [check-local] Error 1\n```\n\nIt looks like test_bitcoin crashes at `init.cpp:141` (`Shutdown()`)\nThis like is `TRY_LOCK(cs_Shutdown, lockShutdown);` (https://github.com/bitcoin/bitcoin/blob/master/src/init.cpp#L141)\n\nAnd this pull introduces a mutex.\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72622342,72622342,
sdaftuar,2015-02-03T15:24:34Z,"To clarify -- this pull doesn't introduce an actually new mutex, but does it acquire a lock based on the existing mutex that is already used to synchronize access to the member variables in CCheckQueue.\n\nThe travis failure was unrelated to the pull; the travis log (https://travis-ci.org/bitcoin/bitcoin/builds/48672519) shows the java comparison tool test failed with:\n\n`08:27:09 14 BitcoindComp",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72669147,72669147,
theuni,2015-02-03T21:55:23Z,"I've tested this a good bit locally, since although it doesn't look like it should be able to break anything, the random travis failure on the DEBUG_LOCKORDER test is rather scary.\n\nI've re-run the comparison tool test dozens of times now, with the exact same conditions (built from depends, NO_QT=1 NO_UPNP=1 DEBUG=1, configured with --enable-glibc-back-compat CPPFLAGS=-DDEBUG_LOCKORDER).\n\nNo p",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72743505,72743505,
TheBlueMatt,2015-02-03T23:07:15Z,"I'd bet this is related to https://github.com/bitcoin/bitcoin/pull/5433#issuecomment-67916872 (probably the same issue), try with https://github.com/TheBlueMatt/bitcoin/commit/e21269e04cbc5e1e0e3a3f7e3bd906bb5c74ca82 merged in.\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-72755856,72755856,
sdaftuar,2015-02-06T15:46:09Z,"@TheBlueMatt Just to clarify is there anything more to be done on this pull?  Since travis ran cleanly  with the current code, I thought I'd just keep your workaround in mind if that travis issue comes up again, but not necessarily change anything now.\n",https://github.com/bitcoin/bitcoin/pull/5721#issuecomment-73256729,73256729,
sipa,2015-01-28T20:02:32Z,"Can you avoid having an effectful statement inside an assert? We're requiring NDEBUG now, but that may not remain the case.\n",https://github.com/bitcoin/bitcoin/pull/5721#discussion_r23718108,23718108,src/checkqueue.h
sdaftuar,2015-01-28T20:19:52Z,Good point -- fixed so that the function gets called outside the assert (commit squashed).\n,https://github.com/bitcoin/bitcoin/pull/5721#discussion_r23719718,23719718,src/checkqueue.h
