paveljanik,2015-02-20T20:41:43Z,"utACK, I like this style of cleanup.\n",https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75315486,75315486,
theuni,2015-02-20T20:53:25Z,nits addressed.\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75317275,75317275,
jtimon,2015-02-20T23:58:31Z,ut ACK\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75341634,75341634,
laanwj,2015-02-23T09:47:05Z,"Agree on the idea, although I'm wondering whether `src/allocators` should be a first-class directory or this stuff should be in the more general `src/support`. \n",https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75513619,75513619,
theuni,2015-02-23T19:31:29Z,"@laanwj To clarify, what do you intend `src/support` to house?\n\nEither way, I'm happy to move it if you'd prefer it there.\n",https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75614011,75614011,
jtimon,2015-02-23T20:14:08Z,Maybe we can move some utils there or maybe we will find out what else to move there later. Just thinking out loud...\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75622230,75622230,
laanwj,2015-02-25T12:26:02Z,"@theuni Let me try: `src/support` is for OS support that means lower-level utility functions that depend on calls to the OS, with potential side effects.\n- Currently `cleanse` is in there, which makes sense. \n- Allocators also fall squarely into that category (also isn't cleanse mostly/only used by the allocators?).\n- Low-level synchronization primitives would also fit here. \n- Pure utility fu",https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-75951498,75951498,
theuni,2015-02-25T19:09:18Z,"@laanwj Ok, that sounds good. To me, 'support' implied that the functionality within would be provided by 3rd party libs. Your description makes sense and I follow now, thanks.\n\nIf there were more allocators, or more planned, I'd argue that they make sense by themselves. But 2 really isn't enough to justify that.\n\nI'll move and rename to fit.\n",https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-76032826,76032826,
theuni,2015-02-26T21:13:51Z,Moved to support.\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-76274695,76274695,
jtimon,2015-02-26T23:17:55Z,re-utACK\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-76296810,76296810,
sipa,2015-03-01T11:03:37Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-76592152,76592152,
jgarzik,2015-03-11T14:00:57Z,ut ACK\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-78267815,78267815,
sipa,2015-03-12T13:45:51Z,Needs rebase.\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-78481736,78481736,
laanwj,2015-03-20T11:33:02Z,Merged via d7d187e8a451ae946fa14cead7962edbe0046f12 (only conflict was a #include in the tests)\n,https://github.com/bitcoin/bitcoin/pull/5810#issuecomment-83990567,83990567,
