jgarzik,2015-03-11T13:52:09Z,"What is a good way to test this in isolation, sans autoprune?\n",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-78266182,78266182,
sdaftuar,2015-03-11T19:52:46Z,"I don't know of a great answer to that question...  I have been separately working on creating a python p2p framework for testing, and I have a test coded up in that framework that exercises this code for blocks received on the network (I manually tested the -reindex case of reading blocks from disk).  If you'd like to take a look, you can see it in my repo at:\n\nhttps://github.com/sdaftuar/bitco",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-78357016,78357016,
sipa,2015-03-12T13:14:27Z,"Concept ACK. I think it should be safe to even never process unrequested blocks, but things like @TheBlueMatt's fast relayer would probably stop working without it.\n",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-78476572,78476572,
sdaftuar,2015-03-12T16:02:28Z,Fixed to re-include the BLOCK_HAVE_DATA check as well.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-78510610,78510610,
spinza,2015-03-25T10:39:06Z,@sipa If the relayer is whitelisted it should still work?  I see this treats blocks from whitelisted peers as if they were requested.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-85976773,85976773,
TheBlueMatt,2015-03-26T10:48:47Z,Is there no better way to check if we would want to request this block before we just ignore it? It seems to me that it is not ideal that we would jsut ignore data we get from a peer because they're using a /very/ loose interpretation of the protocol.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-86449470,86449470,
sdaftuar,2015-03-26T17:20:27Z,"@TheBlueMatt I've thought about that a bit; I was concerned about that as well.  I believe the test we'd like to perform is whether the block we're processing is on some headers chain that is further along than our tip -- if so, we should process it (because this is a block that we'd like to download).  The options I could think of to try calculating that, using our existing data structures, are:\",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-86630759,86630759,
TheBlueMatt,2015-03-26T22:39:30Z,"What about just connecting if it happens to be a logical next block on our current tip? It's a simple heuristic and would work for one common ""loose interpretation"" that you see in mining clients/servers/the relay network. More generally, if the peer is making a ""loose interpretation"", there are no guarantees it has a sane header chain, so maybe it's not worth the complexity there.\n\nOn March 26,",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-86743016,86743016,
sdaftuar,2015-03-26T22:55:14Z,"Unless I'm misunderstanding you, this code does do that -- this does accept an unrequested, non-duplicate block if it has more work than our tip.  So in particular a new block that builds on the tip would be processed, even if unrequested.\n",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-86746229,86746229,
sdaftuar,2015-03-26T22:57:56Z,Also I pushed up a commit which rewrites the AcceptBlock code as @gavinandresen suggested -- I can squash if this looks good.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-86747137,86747137,
TheBlueMatt,2015-03-26T23:08:01Z,"Heh, oops, I saw that code and looked right through it :/\n\nOn March 26, 2015 6:55:22 PM EDT, Suhas Daftuar notifications@github.com wrote:\n\n> Unless I'm misunderstanding you, this code does do that -- this does\n> accept an unrequested, non-duplicate block if it has more work than our\n> tip.  So in particular a new block that builds on the tip would be\n> processed, even if unrequested.\n> \n",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-86749758,86749758,
sdaftuar,2015-03-31T19:10:10Z,Squashed the second commit\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-88211934,88211934,
sdaftuar,2015-04-09T14:03:59Z,"I am not sure how to proceed regarding the return value in AcceptBlock; if we return state.Invalid or state.DoS (I think it does make sense to ban in the case of an unrequested block with too little work), then the code in ProcessMessages would generate a reject message, which could be inconsistent with BIP 61, if I am reading this correctly:\n\n> Note: blocks that are not part of the server's ide",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-91241911,91241911,
sdaftuar,2015-04-09T18:29:58Z,Rebased.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-91319713,91319713,
sdaftuar,2015-04-13T16:19:39Z,Rebased.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-92414774,92414774,
sdaftuar,2015-04-24T14:04:44Z,Rebased\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-95943627,95943627,
sipa,2015-04-27T13:32:34Z,Lightly-tested ACK\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-96653160,96653160,
sdaftuar,2015-05-04T15:23:11Z,Rebased off master and added a p2p regression test that exercises this logic.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-98751222,98751222,
gavinandresen,2015-05-13T14:21:23Z,Tested ACK.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-101683505,101683505,
sdaftuar,2015-05-21T13:51:53Z,"@laanwj That sounds reasonable, thanks for reviewing; I've pushed a commit that addresses, I can squash if this looks good.\n",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-104283580,104283580,
laanwj,2015-05-21T14:57:16Z,"Looks good to me.\nTested ACK (code reviewed, synced up to block 320700 with #5875 and #5927)\n",https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-104308724,104308724,
sdaftuar,2015-05-21T15:09:49Z,Squashed back down to two commits.\n,https://github.com/bitcoin/bitcoin/pull/5875#issuecomment-104313686,104313686,
