jgarzik,2015-04-09T21:02:13Z,Any possibility to use the timer stuff being added in #5964 ?\n,https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-91355456,91355456,
pstratem,2015-04-10T03:38:02Z,"@jgarzik maybe later, porting wont be difficult\n",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-91418767,91418767,
sipa,2015-04-11T09:55:13Z,Concept ACK. I love getting rid of the vSendTrickle logic...\n,https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-91811198,91811198,
gavinandresen,2015-04-24T15:18:39Z,"I'm with @jgarzik: this could be much cleaner built on top of #5964. All of the pnode->nNext\* variables could go away; just schedule a task that takes a NodeId and Does The Right Thing at some (random) time in the future.\n\n(the tasks would lock cs_vNodes and do the NodeId to CNode\* lookup... probably don't need to optimize that lookup, looping through even a 1,000-peer vector isn't a significa",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-95964175,95964175,
sipa,2015-04-24T15:29:56Z,"Unsure. I don't think running the scheduled operations makes sense if there\nis nothing else to do for a node, and there almost always is, at which time\nwe already hold the necessary locks.\n\nSmall benefit, small cost.\n",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-95967446,95967446,
gavinandresen,2015-04-24T17:18:21Z,"@sipa : benefit would be clearer logic. I find the ""set a variable here, test it over there and then do something"" hard to review/follow.\n",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-95998172,95998172,
pstratem,2015-04-24T17:55:12Z,@gavinandresen As I said to @jgarzik it's easy enough to back port this logic into CSchedule.\n\nI would rather not tie the two PR's together.\n,https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-96012620,96012620,
sipa,2015-04-25T22:06:10Z,"@gavinandresen Yes, that's the small benefit. The small cost is extra locking/work. Not opposed to it, but it's not as clear an advantage as replacing the several pieces of code we had that were already using their own thread. This one doesn't need it.\n",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-96286291,96286291,
sipa,2015-04-27T13:07:37Z,"Can you fix the integer overflow, and perhaps rebase on top of #6066?\n",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-96643520,96643520,
sipa,2015-05-05T13:25:12Z,Rebase please?\n,https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-99076924,99076924,
sipa,2015-06-14T14:16:59Z,"Needs rebase, and fixing the integer overflow.\n",https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-111829865,111829865,
sipa,2015-06-14T14:38:27Z,Did a rebase and fix: https://github.com/sipa/bitcoin/commits/trickle_fix\n,https://github.com/bitcoin/bitcoin/pull/5989#issuecomment-111835675,111835675,
