laanwj,2015-04-15T08:29:57Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-93259998,93259998,
jgarzik,2015-04-15T14:50:05Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-93431226,93431226,
jonasschnelli,2015-04-15T15:36:24Z,Concept ACK.\nMisses RPC test.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-93452926,93452926,
paveljanik,2015-04-15T17:06:22Z,"Yup, I plan to add them in the evening or tomorrow.\n",https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-93488146,93488146,
paveljanik,2015-04-15T19:12:18Z,"nit addressed, squashed, ready.\n",https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-93535975,93535975,
jonasschnelli,2015-04-21T18:14:36Z,Tested ACK.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-94893325,94893325,
paveljanik,2015-04-28T20:40:18Z,"Other reviews, please?\n",https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-97201104,97201104,
jgarzik,2015-06-11T19:37:10Z,tested ACK\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-111255120,111255120,
jonasschnelli,2015-06-11T19:38:29Z,Needs rebase.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-111255526,111255526,
paveljanik,2015-06-11T20:08:28Z,Rebased (changed the header style in README to match the other entries).\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-111262380,111262380,
paveljanik,2015-06-15T20:56:41Z,Needs to be adapted to UniValue. Tomorrow.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112208983,112208983,
paveljanik,2015-06-16T06:29:13Z,Travis CI build fails only in one environment because of the comparison tool.\nReady for merge.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112308718,112308718,
jonasschnelli,2015-06-16T07:03:34Z,"I like this PR.\n\nBut, am i alone with the feeling that calling a RPC method (`getrawmempool`, `getmempoolinfo`) will end up in REST/RPC dependency and smells after a unideal design? Duplicating code would also be kinda stupid. Maybe factoring out some code to a independent helper class/file?\n\nBut however reACK.\n",https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112314779,112314779,
paveljanik,2015-06-16T11:49:14Z,"@jonasschnelli Something like `CTxMemPool::toJSON` factored out from `get*mempool*`? Or do you prefer interface similar to `TxToJSON` (defined in rpc, used in rest)?\n\nI do not have a problem to refactor once agreed, but in the next PR please.\n",https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112395859,112395859,
sipa,2015-06-16T11:53:30Z,"No JSON conversion code inside core classes, please. That's something that belongs in the RPC glue layer.\n",https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112397854,112397854,
jonasschnelli,2015-06-16T14:57:21Z,For sure we don't want json code within core classes. But i think calling a RPC function within REST should be avoided. Maybe something like `blockToJSON` or similar. Just factor out the json encoding and  for now – place it within the `rpcblockchain.cpp`.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112461432,112461432,
paveljanik,2015-06-17T07:17:26Z,@jonasschnelli Please review. Thanks.\n,https://github.com/bitcoin/bitcoin/pull/6013#issuecomment-112686852,112686852,
