jgarzik,2015-09-15T17:32:11Z,Seems quite reasonable - ut ACK\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-140474419,140474419,
MarcoFalke,2015-09-20T16:57:22Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-141810898,141810898,
morcos,2015-10-16T16:48:34Z,"OK I reworked this to be a bit better, and combined it with the patch that increases the success threshold to 95%.\n\n@jonasschnelli I did something much simpler in the interface.  The slider just indicates the # of blocks for which your fee estimate was valid.  Perhaps we need to consider some kind of additional UI element that would explain to people why they aren't able to get an estimate for a",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-148765848,148765848,
morcos,2015-11-10T23:29:53Z,"The last commit is as of yet untested, but should resolve some of the issues around accidentally generating transactions that wouldn't be accepted to your own mempool\n",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-155601549,155601549,
jonasschnelli,2015-11-13T19:58:03Z,"Needs rebase (trivial `main.h` conflict).\nTested a bit.\n\nQT: Probably not related to this PR, but is there a reason why the slider – by default – is on the left side ""slow confirmation time"" and not at the very right side? I guess less then <1% of transactions aim for confirmation >=25blocks.\n\nQT: In my case (mainnet at current height), num-blocks 25 till 18 had the same fee. This feels bad f",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-156541793,156541793,
morcos,2015-11-13T22:04:28Z,"@jonasschnelli This PR should prevent getting a -1 unless you directly call the RPC call estimatefee.  I might still expose estimateapproxfee, but for anyone using GUI or wallet code that automatically generates fee, they should now get the best answer possible.  I figured that for outside users, they could emulate the logic of estimateapproxfee themselves for now.  In the future I agree there sho",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-156571950,156571950,
morcos,2015-11-14T19:02:27Z,Rebased\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-156734259,156734259,
gmaxwell,2015-11-14T20:56:52Z,Concept(s) ACK.\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-156745548,156745548,
morcos,2015-11-15T17:59:42Z,added some checks in the unit test and exposed the functions via RPC (with a warning) and tested in the RPC test.\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-156839819,156839819,
jonasschnelli,2015-11-16T20:07:16Z,Concept ACK. Plans to test this soon.\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-157154908,157154908,
morcos,2015-11-16T20:44:46Z,Rebased with a name change to estimateSmartFee instead of Approx\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-157163803,157163803,
sdaftuar,2015-11-17T17:50:14Z,ACK apart from those nits\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-157451133,157451133,
jtimon,2015-11-18T15:49:20Z,"Concept ACK with a very fast review. Again, this would be simpler if there was no priority...\n",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-157755539,157755539,
sdaftuar,2015-11-24T13:52:57Z,Addressed nits.\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-159274080,159274080,
jtimon,2015-11-24T14:28:26Z,"My main nit hasn't been addressed, which is not creating a new circular dependency (currently CTxMemPool depends on CBlockPolicyEstimator, but CBlockPolicyEstimator doesn't depend on CTxMemPool until this PR) that is unnecessary (as shown in https://github.com/jtimon/bitcoin/commit/6963b9ccb2c889564a2e0239aa73f03f6d406784 ).\n",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-159282982,159282982,
jtimon,2015-11-27T12:42:39Z,I guess I'll create a new PR removing the new and unnecessary circular dependency introduced...\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160132043,160132043,
jtimon,2015-11-27T14:04:55Z,Opened #7115 to fix the new circular dependency introduced despite my insistence and despite coding the commit to be squashed here to avoid that circular dependency...\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160146271,160146271,
jtimon,2015-12-01T12:07:19Z,"For future reference NACK this PR. I'm really disappointed about @morcos being so stubborn and insisting on introducing the unnecessary circular dependency and that he can even accept the most minimal way to remove it (see the first commit in #7115 ), but I like circular discussions even less than I like circular dependencies and nobody else seems to care enough. So let's leave the circular depend",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160948893,160948893,
laanwj,2015-12-01T12:11:35Z,"> but then I need to at least do what I should have done from the beginning and will do next time: nack instead of coding nits to be ignored. NACK nack nacking...\n\nThe practical problem is that we can't hold up required changes forever because they have some coding nits. There's, unfortunately, a compromise between accumulating some technical debt or having any single change take forever because",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160949619,160949619,
jtimon,2015-12-01T12:16:41Z,"This was merged without my nit and morcos insists on nacking any code that removes the circular dependency he unnecessarily introduced. I think it has little to do with ""prs taking forever"".  But hey I'm in favor of merging bip68 and other PRs that are taking forever if you want to change the subject.\n",https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160950671,160950671,
sipa,2015-12-01T12:28:03Z,He does not nack removing the circular dependency. He disagrees with making\nthe estimation code users responsible for knowing there is a limit.\n,https://github.com/bitcoin/bitcoin/pull/6134#issuecomment-160954041,160954041,
